Model,File Name,File Size,Download Link
Advan i10,Advan_i10_MT6735_S9016G_V5.0_20170626_7.0.zip,1.66 GB,https://drive.google.com/file/d/1CA7URNXY6dGr7mJS5WHNy1em8UTatm4z/view
Advan T3E,Advan_T3E_MT6582_V0.5_131220.zip,288 MB,https://drive.google.com/file/d/1QtrDBiwUcGFKYJyOEgN4utQ24ErkZ96k/view
Advan T4i,Advan_T4i_PTM805MC_V1.0.5_120714_Amlo.zip,146 MB,https://drive.google.com/file/d/1sGRiHa0Weu8fk3qh1D46ee7eIF3fFymB/view
Advan T6,Advan_T6_PTM1005HN_V2.0.2_131227_4.0.3_RBT.zip,213 MB,https://drive.google.com/file/d/1ivB2FsAds58CYTkZuKKvZa-XE37pGBmh/view
Advan T2H,Advan_T2H_RK3126_V1.1_160709_4.4.4_RBT.zip,306 MB,https://drive.google.com/file/d/1mP7JyF5uBF97aEidLTaaK-RfneiBXUYm/view
Advan T3B,Advan_T3B_MT6589_V1.0_130914.zip,320 MB,https://drive.google.com/file/d/1Zy5RBy0ky_ohLQXajb7B8suB62Cfww18/view
Advan T3A,Advan_T3A_MT6577_V15_140115.zip,298 MB,https://drive.google.com/file/d/1gF2JIEOyRE-ELufKg04cFI3ncitkul4V/view
Advan T2F,Advan_T2F_RK3188_V2.0_140901_4.4.2_RBT.zip,313 MB,https://drive.google.com/file/d/18umXQa0v0GSLd7B3o9ADs8m9raRRVZ0d/view
Advan T2F Plus,Advan_T2F_Plus_RK3126_V1.0_150612_4.4.4_RBT.zip,313 MB,https://drive.google.com/file/d/1MNePyIjWrS05kP1VanyHS3sNcGOIGvVz/view
Advan T2E,Advan_T2E_RK3026_V9.0_140630_4.4.2_RBT.zip,287 MB,https://drive.google.com/file/d/1gfYBnqv-kdlH5eoOnhvMBgwXK4qtH2Ku/view
Advan T2Ci,Advan_T2Ci_V1.0.4_111130_RBT.zip,150 MB,https://drive.google.com/file/d/1T3ip0EcpOEwL2EGVw35SvP4n4XxVh7Kt/view
Advan T2B,Advan_T2B_V2.0.14_130524_4.1.1_PS.zip,282 MB,https://drive.google.com/file/d/1Zmobk3irbjwJVUOx4tKfuF6NuPI_dwWl/view
Advan T3C,Advan_T3C_MT6589_V1.19_130904.zip,399 MB,https://drive.google.com/file/d/16SyuUHWTM1agVuGBoWS1CBRccbLb83al/view
Advan T4A,Advan_T4A_V1.1.2_130205_Amlo.zip,185 MB,https://drive.google.com/file/d/1AaHcFmAhex3bGKKlYHki8hRgdt5farBT/view
Advan T2C,Advan_T2C_120808_PS.zip,810 MB,https://drive.google.com/file/d/1SDLiWJUXEmoL_dSnVAOv1OM6fgg5EXmO/view
Advan T2i,Advan_T2i_060516_RBT.zip,208 MB,https://drive.google.com/file/d/1JCGCWb10PguKMqAgub7kXbHUYV1BOVGi/view
Advan T3E Plus,Advan_T3E_Plus_MT6582_V02_140530_4.2.2.zip,489 MB,https://drive.google.com/file/d/1I_I5lSYDc7J2gSawxLUDK4JmoGL4QNP1/view
Advan T1Q,Advan_T1Q_MT6577_V02_140923_4.4.2.zip,341 MB,https://drive.google.com/file/d/1sNsYhkDJ2NeWRAPJs9MBmgaOZ4UQOuCC/view
Advan T2V,Advan_T2V_MT6573_V01_090812.zip,155 MB,https://drive.google.com/file/d/1Xqm8ZNY7nQXjz9ecCe4BC4KyAkqbcjw3/view
Advan T2A,Advan_T2A_V2_131023_4.2.2_RDA.zip,503 MB,https://drive.google.com/file/d/1I57vwvNil_1E1W0S3_PdupNzNKrOTeoB/view
Advan T2,Advan_T2_V2.0.8_130417_4.1.1_RBT.zip,286 MB,https://drive.google.com/file/d/1bAo3UZfqoVk6in9RwwHewTdrZ_kcNUIU/view
Advan T1Z,Advan_T1Z_MT6592_V10_140912.zip,568 MB,https://drive.google.com/file/d/1BvPGZ-Zc3STSz1tQbmp6aflMFxpkIlOz/view
Advan T1X Plus P7058T,Advan_T1X_Plus_P7058T_MT6592_V03_141011_4.4.2.zip,568 MB,https://drive.google.com/file/d/1ndcy41C00iIvHCE6pHEl4gerYzi_JMZg/view
Advan T1S P7021B,Advan_T1S_P7021B_MT6589_V12_150721_4.4.2.zip,483 MB,https://drive.google.com/file/d/1GJs4jTYW6SKpywUyiB2RgQsOqRU5TmhU/view
Advan T1M,Advan_T1M_MT6582_V01_140910_4.4.2.zip,508 MB,https://drive.google.com/file/d/1ILZ5MulbplCXXJfus5aUi6g27mc0d4TT/view
Advan T1L,Advan_T1L_MT6582_V02_140605_4.4.2.zip,479 MB,https://drive.google.com/file/d/1eAwBykRtzBBBSZ9ojhMuf0Ds3UUeEqMB/view
Advan T1K,Advan_T1K_BCM23550_V04_140418_BMD.zip,325 MB,https://drive.google.com/file/d/1mYqKKdMdcjO0ftonw53KtIu4DFU6Zgv2/view
Advan T1K Plus,Advan_T1K_Plus_BCM23550_V0.4_140930_BMD.zip,475 MB,https://drive.google.com/file/d/13YVmx55K9I5YxIbeEpfSfeK6hWEU_66Y/view
Advan T1J P7032QD,Advan_T1J_P7032QD_MT6582_V02_140912_4.4.2.zip,496 MB,https://drive.google.com/file/d/1u367AZ1DdcLrZy7qNit_GD_Kov4oaD-P/view
Advan T1J,Advan_T1J_MT8382_V01_140429_4.4.2.zip,487 MB,https://drive.google.com/file/d/1eoXDKgwZbik3uwQf9Aeaz99j0pVqQWBW/view
Advan T1Q Plus,Advan_T1Q_Plus_MT6572_512MB_V1.0_152015_4.4.2.zip,446 MB,https://drive.google.com/file/d/1-hOYYrkvkagNeV0UovVyekV3fHnBOR3Q/view
Advan T1R,Advan_T1R_MT6589_V06_150121_4.4.2.zip,539 MB,https://drive.google.com/file/d/1zpq0Nhm-2Xhi5bo_i9xEOGVpBZioGdce/view
Advan T5E,Advan_T5E_BCM23550_140121_BMD.zip,563 MB,https://drive.google.com/file/d/1ip0HV5bJPKzZ7ulcNoZUNMjbosVm53G0/view
Advan T6i,Advan_T6i_V1.0.9_120607_LS.zip,187 MB,https://drive.google.com/file/d/1Fd23AUUXA4kHJ_PsY-SMzccfyggaQDMy/view
