Model,File Name,File Size,Download Link
Blu Bold K30 K0010,Blu_Bold_K30_K0010_V14.0.G.04.02_Generic_250311_SPD.zip,2.34 GB,https://drive.google.com/file/d/1Z33KowPvmvaC55SBGPjM-dTc9TiQwo_V/view?usp=sharing
Blu G44 Plus G0971,Blu_G44_Plus_G0971_V14.0.G.04.00_Generic_271224_SPD.zip,2.23 GB,https://drive.google.com/file/d/1yyaVYc1pUHJcEEDh0s0LH_jrg-3E5Arz/view?usp=sharing
Blu G53 G0851,Blu_G53_G0851_MT6761_V13.0.03.05_Generic_010823.zip,2.15 GB,https://drive.google.com/file/d/17W7KeTh_Cwm8Q0Rz6YMdbpWHKsmrCiDS/view?usp=drive_link
Blu G35 G1110,Blu_G35_G1110_V14.0.G.04.01_Generic_200125_SPD.zip,1.79 GB,https://drive.google.com/file/d/1UGq4QOzecIiQCxZbkZ4scUKlHwgSyvo6/view?usp=sharing
Blu J12 J0230,Blu_J12_J0230_V14.0.G.04.04_Generic_020125_SPD.zip,1.61 GB,https://drive.google.com/file/d/1LVeN_hCQOx6O_AVdHv-xvngbVsw-eGfs/view?usp=sharing
Blu G84 G1050,Blu_G84_G1050_MT6768_V14.0.04.02_Generic_241212.zip,2.72 GB,https://drive.google.com/file/d/1L6qMICNbdIIkFKL6Joh_SMZ6MTc6V6ME/view
Blu G43 G0950WW,Blu_G43_G0950WW_V13.0.G.04.02_190324_SPD.zip,1.46 GB,https://drive.google.com/file/d/1gpinPpX_5gSahlp3YvOfivl4ab0k5JcQ/view
Blu G64L G0990,Blu_G64L_G0990_V14.0.04.04_Generic_121024_SPD.zip,2.62 GB,https://drive.google.com/file/d/1BTKsS9tUD1xbV2ia-KSLgwq1lvIGpj6W/view
Blu G72 Max G0770,Blu_G72_Max_G0770_MT6765_V12.0.04.12_Generic_230424.zip,2.10 GB,https://drive.google.com/file/d/17UpufvkZpzB_MT3Ak26jZL_AtB6Un-dq/view
Blu G74 G1030,Blu_G74_G1030_V14.0.04.07_Generic_311024_SPD.zip,2.76 GB,https://drive.google.com/file/d/16EqnkOh8UeTeUGYo0jYCQd72sXuQQF79/view
Blu M10L Pro M0215,Blu_M10L_Pro_M0215_MT6761_ND_V13.0.04.14_GENERIC_300124.zip,1.89 GB,https://drive.google.com/file/d/1xS2FfJ1X-rOAA5uSBjRNTnDKQrP1lOQG/view
Blu M10L Plus M0223,Blu_M10L_Plus_M0223_V12.0.04.08_GENERIC_210524_SPD.zip,1.94 GB,https://drive.google.com/file/d/1xyfROKccRfiD16RWhDteNR0JsQgek6xi/view
Blu G44 G0970,Blu_G44_G0970_V14.0.G.04.03_Generic_230824_SPD.zip,1.65 GB,https://drive.google.com/file/d/1gO_CX1h00_u4k7OSLn7u_j40hXv7G234/view
Blu Bold K10,Blu_Bold_K10_V13.0.03.02_Generic_240510_SPD.zip,2.55 GB,https://drive.google.com/file/d/1cwuTqTQRq3ZB7xf55jd5p-9fiX7jjIZJ/view
Blu M10L Plus M0224,Blu_M10L_Plus_M0224_MT6761_ND_V13.0.04.09_Generic_240322.zip,2.32 GB,https://drive.google.com/file/d/1md7XiWL6D5sLzH-j-fTeRv3jP6fRi0Ro/view
Blu M10L M0214,Blu_M10L_M0214_V12.0.04.09_GENERIC_040324_SPD.zip,1.91 GB,https://drive.google.com/file/d/1Xxw3bPPv31zIHWiyEntlgMxmKss60t7O/view
Blu J10L J0150,Blu_J10L_J0150_V13.0.G.04.05_GENERIC_241123_SPD.zip,2.14 GB,https://drive.google.com/file/d/1zH9PkyymHvWA0t22fYFHDa0hF_P-Fdm0/view
Blu G71 Plus G0570WW,Blu_G71_Plus_G0570WW_V11.0.04.04_220211_SPD.zip,1.79 GB,https://drive.google.com/file/d/1C1LdkOa2nO-jTBInnZIqz2tlM07au9EC/view
Blu G33 G0890,Blu_G33_G0890_V13.0.G.04.03_110923_SPD.zip,1.95 GB,https://drive.google.com/file/d/12jNrm1t8fBZNi27hWNSJPliRWAitDTDC/view
Blu Studio View XL S790Q,Blu_Studio_View_XL_S790Q_MT6580_V7.0.04.05_Generic_180829.zip,1.4 GB,https://drive.google.com/file/d/1SRGPZ57eYMCg0VD7lmjfh3WY_9GK10qi/view
Blu J2 J150L,Blu_J2_J150L_C110_V8.1.G.04.13_Generic_080421_SPD.zip,776 MB,https://drive.google.com/file/d/1MMwN7C-gvbjS2R9PqYmH-Jyjq_bUYr8p/view
Blu C5 Plus C130EQ,Blu_C5_Plus_C130EQ_SP7731E_V8.1.G.04.07_Generic_091220_8.1.0_MIRA.zip,768 MB,https://drive.google.com/file/d/1zGo4DEi7Ow3oTBgoJiwbWiU6lR-1RCUM/view
Blu Studio 5.3 D510,Blu_Studio_5.3_D510_MT6580_V8.1.G.05.04_KUDAE_190315.zip,768 MB,https://drive.google.com/file/d/1JLu6JUQuHLXg5seCWcUS1QPXGYDjFGC7/view
Blu K101,Blu_K101_MT6765_V9.0.05.12_KUDAE_190323.zip,1.40 GB,https://drive.google.com/file/d/1ijipGTtSFbBVzgsRX1a-6HZ1--U2guBz/view
Blu Samba TV,Blu_Samba_TV_MT6260_Q170T_MIRA.zip,3 MB,https://androiddatahost.com/tyjh6
BLU Grand X3 G270Q,BLU_Grand_X3_G270Q_MT6570_V6.0.03.00_180426.zip,969 MB,https://drive.google.com/file/d/1A4QLNfLuk0yMkOUZUb-knqRxj9SK4STz/view
Blu Studio X9 HD S950P,Blu_Studio_X9_HD_S950P_MT6580_V8.1.G.04.02_050720.zip,772 MB,https://drive.google.com/file/d/1oCI46loWRm31dOwcdqDUgMzg4D_q702M/view
Blu C5L C0051LL,Blu_C5L_C0051LL_V9.0.G.04.01_Generic_290520_SPD.zip,905 MB,https://drive.google.com/file/d/1Cc0xN0ZW_fz2NnbcOnLzOkDrMCY8FVrQ/view
Blu G70 G0250WW,Blu_G70_G0250WW_MT6763_V9.0.04.03_170820.zip,1.34 GB,https://drive.google.com/file/d/1cxezqDlBqI9j-963y3tC9gjv89PcVDHv/view
Blu Grand 5.5 HD II G210Q,Blu_Grand_5.5_HD_II_G210Q_MT6580_V7.0.04.01_Generic_160418.zip,1.31 GB,https://drive.google.com/file/d/1DzuFe8IDj_ZSkXsOIZl6IX8-id5B23dZ/view
Blu Pure View P0050WW,Blu_Pure_View_P0050WW_MT6753_V7.0.03.02_Generic_290118.zip,1.49 GB,https://drive.google.com/file/d/1FUcl2nWwr-3oYdmjvFl2DgBpwR3CCbLT/view
Blu Dash L5 LTE D0090WW,Blu_Dash_L5_LTE_D0090WW_MT6737M_V7.0.03.07_Generic_081217.zip,1 GB,https://drive.google.com/file/d/1e-qMsfrKbbPu5YBk18YMgrglnhkrKcsO/view
Blu G5 G0090VV,Blu_G5_G0090VV_V9.0.04.16_Generic_251120_SPD.zip,1.42 GB,https://drive.google.com/file/d/1E_tmCSsxTxE0ixpf0c0x6uuUneSWAZwx/view
Blu J4 J170EQ,Blu_J4_J170EQ_V8.1.G.04.07_GENERIC_091220_SPD.zip,768 MB,https://drive.google.com/file/d/139hYvnFmav1NW52B60d1OEDYPpaPbHbz/view
BLU View 2 B130DL,BLU_View_2_B130DL_MT6761_00TF_0_390_190711_10.zip,1.25 GB,https://drive.google.com/file/d/16huMPBN4KT7ymzxJEPtHSajmAuwqzDvw/view
Blu Studio X12 S050EQ,Blu_Studio_X12_S050EQ_V10.0.G.04.00_Generic_SPD.zip,1.01 GB,https://www.mediafire.com/file/2c443taayejvefd/Blu_Studio_X12_S050EQ_V10.0.G.04.00_Generic_SPD.zip/file
Blu Studio X10 S970EQ,Blu_Studio_X10_S970EQ_V10.0.G.03.03_Generic_SPD.zip,1015 MB,https://www.mediafire.com/file/keflo4ohkh1mil1/Blu_Studio_X10_S970EQ_V10.0.G.03.03_Generic_SPD.zip/file
Blu Studio G D790,Blu_Studio_G_D790_MT6582_V12_Generic_051216.zip,485 MB,https://www.mediafire.com/file/7mv6uyaqo4curh1/Blu_Studio_G_D790_MT6582_V12_Generic_051216.zip/file
Blu G91 Max G0690WW,Blu_G91_Max_G0690WW_MT6785_V11.0.03.01_Generic_211222.zip,1.96 GB,https://drive.google.com/file/d/1aBTYxp2VTBbrKJ9_0WOjOftnM5S-nrKi/view
Blu Advance A4 A130Q,Blu_Advance_A4_A130Q_MT6570_V6.0.04.04_Generic_250718.zip,927 MB,https://www.mediafire.com/file/pwbmkmsudmaaqvq/Blu_Advance_A4_A130Q_MT6570_V6.0.04.04_Generic_250718.zip/file
