Model,File Name,File Size,Download Link
BQ BQ-1022L,BQ_BQ-1022L_V1.0_S108_LPDDR3_667_2G_MDF_20200928_9.0_SPD.zip,1.57 GB,https://drive.google.com/file/d/1BfMZnQKxARbmg03uW39LBuaY_r9pRmeF/view?usp=drive_link
BQ 32S01B,BQ_32S01B_V5_20230109.zip,799 MB,https://drive.google.com/file/d/1gYS7EYVqc0Xdg3awuyzLdTPjQbAaGU1k/view
BQ Mobile Fusion BQ-7064G,BQ_Mobile_Fusion_BQ-7064G_MT6580_20160606_5.1.zip,582.6 MB,https://drive.google.com/file/d/1CwhA3MVsUMZWBuWZ1HKNjZouOE1r-3U6/view
BQ Mobile BQ-8006G,BQ_Mobile_BQ-8006G_SC7731_V1.6_20151120_SPD.zip,274.4 MB,https://drive.google.com/file/d/1Pet_E1i9Utt6fvtLA4qjvHR70Gb8NDvR/view
BQ Mobile BQ-8002G,BQ_Mobile_BQ-8002G_MT6582_20140805_4.4.2.zip,569.7 MB,https://drive.google.com/file/d/1vBQjsP9-lM6icHB3fED-m_4EXK6rLlZU/view
BQ Mobile BQ-7054G,BQ_Mobile_BQ-7054G_20200413_PS.zip,408.9 MB,https://drive.google.com/file/d/1IV8MpO_hY5X1Jw87edO5kHVXOx3PwT4D/view
BQ Mobile BQ-7022G Canion,BQ_Mobile_BQ-7022G_Canion_V1.0_20170315_5.1_SPD.zip,515 MB,https://drive.google.com/file/d/1abfgdAqgLAgJzHVsum-WtmvxYu9hddwc/view
BQ Mobile BQ-7036L Hornet,BQ_Mobile_BQ-7036L_Hornet_20210127_SPD.zip,1.97 GB,https://drive.google.com/file/d/10-A-7goXyAnWeooCzZ60xEx92QsXDCac/view
BQ Mobile BQ-7040G Charm Plus,BQ_Mobile_BQ-7040G_Charm_Plus_20200911_SPD.zip,1 GB,https://drive.google.com/file/d/1PCOX3vj6C4OsuvoOZRBxRhXeBUpvN3U_/view
BQ Mobile BQ-7063G Disco,BQ_Mobile_BQ-7063G_Disco_V1.3_20170113_SPD.zip,348 MB,https://drive.google.com/file/d/1CXSphnSE2Qol-tjXE8xRIP9Vs89m_CbT/view
BQ Mobile BQ-7021G Hit,BQ_Mobile_BQ-7021G_Hit_SC7731_V1.8_20170109_5.1_SPD.zip,466.1 MB,https://drive.google.com/file/d/1lTaiwRFGxS5yEKtJJMMG1_8B4Y0HMoni/view
BQ Mobile BQ-7051G Elba,BQ_Mobile_BQ-7051G_Elba_MT6582_20140922_4.4.2.zip,696 MB,https://drive.google.com/file/d/1kA4pof_9aUJpugV5CSjMzQmFxmPphbeW/view
BQ Mobile BQ-7053G,BQ_Mobile_BQ-7053G_MT6589_20131105_4.2.2.zip,424 MB,https://drive.google.com/file/d/1_DAT0tqt5hm6k8bt4SYC1Vi11xy5ANR9/view
BQ Mobile BQ-7057G,BQ_Mobile_BQ-7057G_MT6582_20140318_4.2.2.zip,405 MB,https://drive.google.com/file/d/11Q3L_ufpscmVjdr6P1QnhBhOAmO1mQsj/view
BQ Mobile BQ-7058G,BQ_Mobile_BQ-7058G_MT6582_20140318_4.2.2.zip,410 MB,https://drive.google.com/file/d/1y53NPD5TmlOVAeRG4yhyYrf-ZqJUnjNH/view
BQ Mobile BQ-7059G,BQ_Mobile_BQ-7059G_MT6582_20140802_4.2.2.zip,410 MB,https://drive.google.com/file/d/1QJ2-VcLo5wO1ADVX9K3to1RRyZU0N-0R/view
BQ Mobile BQ-7061G,BQ_Mobile_BQ-7061G_MT6572_20151007_4.4.2.zip,369 MB,https://drive.google.com/file/d/1CdPlZz6rCmIR3U9V7H7n7l-iOm_kQ7g2/view
BQ Mobile BQ-7062G Fiji,BQ_Mobile_BQ-7062G_Fiji_MT6572_RU_V6.2_20151106.zip,467 MB,https://drive.google.com/file/d/1ArmCGiE-yJFHvvprmGEwH5NQyrMOCRjt/view
BQ Mobile BQ-7081G Charm,BQ_Mobile_BQ-7081G_Charm_MT6580_V04_20170721_7.0.zip,1.19 GB,https://drive.google.com/file/d/1_fUV5ECjJzOFNBjluFMqnL3yBBZkFGul/view
BQ 7101G,BQ_7101G_MT6577_RU_20130801_4.1.1.zip,470 MB,https://drive.google.com/file/d/1tKEkQrYaGsGSssvRdAf99Efm_5DFYLN-/view
BQ 7010G Max 3G,BQ_7010G_Max_3G_SW_V1.0_20161124_SPD.zip,318 MB,https://drive.google.com/file/d/1loOcNM09Lc7EynZ3qlRRg5CfBliEcdSH/view
