Model,File Name,File Size,Download Link
Boxput Lemon TV Mini,Boxput_Lemon_TV_Mini_H618_V12.1.1.88_240821_LS.zip,1 GB,https://drive.google.com/file/d/1y4TQ9VGlOnsvV6jRNPA-Q8TdKdjph4E3/view
Boxput iATV Q8,Boxput_iATV_Q8_S905Y4_v11.1.1.97_240118_Amlo.zip,933 MB,https://drive.google.com/file/d/18JNAcm4iRUogCWXV1JEm7F54w9S7rtDz/view
Boxput X96S,Boxput_X96S_S905Y2_180610_9.0_Amlo.zip,838.7 MB,https://drive.google.com/file/d/1ylmv-ZVY801sW9AEwEzXhmbGUFPEhEki/view
Boxput H98 Mini,Boxput_H98_Mini_221230_10_LS.zip,1 GB,https://drive.google.com/file/d/1-Z54xgU4jCSel9KFZIxpQB-VPgNYCv8F/view
Boxput BP2,Boxput_BP2_S905W2_220907_11_Amlo.zip,1.19 GB,https://drive.google.com/file/d/1Kqrtr36wdyrVNeIk83Jp9HWreupAwZrM/view
Boxput BP4,Boxput_BP4_S905X4_230105_11_Amlo.zip,1.17 GB,https://drive.google.com/file/d/1-UNeIf8oAs2RhL2BPyXqka7rGqoQ8qmx/view
Boxput BP6,Boxput_BP6_221228_12_PC.zip,1 GB,https://drive.google.com/file/d/1HojhSmVU1gsIWvkVYbsX4Mceu3IQK9rz/view
Boxput X96 X4,Boxput_X96_X4_211001_11_Amlo.zip,829 MB,https://drive.google.com/file/d/14ub8mJj68xdHTOpg_7YwVowqzcIPuBtI/view
Boxput iATV Q5 Plus,Boxput_iATV_Q5_Plus_v11.1.1.40_230726_11_Amlo.zip,848 MB,https://drive.google.com/file/d/1Ga9rwZw5GaNFIVnDoFT3WjvDxIpiASXL/view
Boxput iATV Q5,Boxput_iATV_Q5_v10.112.1.150_230103_10_LS.zip,903 MB,https://drive.google.com/file/d/1YMOXAfsKKYmnjTIUyO6SKMEXTipM4t8I/view
