Model,File Name,File Size,Download Link
Cherry Mobile Fusion Aura 3S,Cherry_Mobile_Fusion_Aura_3S_V04_20181016_8.1_Allwinner.zip,620 MB,https://drive.google.com/file/d/1hbaNa_7Q_Jaju7sEtHgMDj3mX5kfBkid/view
Cherry Mobile A161,Cherry_Mobile_A161_MT6580_14072016_5.1.zip,836 MB,https://drive.google.com/file/d/1dFGZ628TZH3acqsR6HhV07KuwtHagzZU/view
Cherry Mobile Desire R6 Lite,Cherry_Mobile_Desire_R6_Lite_MT6580_V08_06212018_8.1.0.zip,580 MB,https://drive.google.com/file/d/1E-IAEkdWTFSvjvxw3JzANe0erfRbLyB7/view
Cherry Mobile Desire R6 Plus,Cherry_Mobile_Desire_R6_Plus_MT6580_V05_20171030_7.0.zip,1.51 GB,https://drive.google.com/file/d/1R0NSBvyDNkydlNYeBQPXz_gQlgxTNqNU/view
Cherry Mobile Flare J3S,Cherry_Mobile_Flare_J3S_V07_22112018_SPD.zip,715 MB,https://drive.google.com/file/d/1yuG-3E8njYSxBqdRIg-QeiCXxrjOgxyc/view
Cherry Mobile Flare S4 Lite,Cherry_Mobile_Flare_S4_Lite_MT6592_23112015_5.1.zip,660 MB,https://drive.google.com/file/d/1PmqcukZKBK_5zFlA3vDsEQ4s-HHQZVTR/view
Cherry Mobile Flare S5 Lite DTV,Cherry_Mobile_Flare_S5_Lite_DTV_MT6580_26112016_6.0.zip,871 MB,https://drive.google.com/file/d/1qcStCDqINeg87i10WqxpOFTcvjNsQcvz/view
Cherry Mobile Flare S8 Pro,Cherry_Mobile_Flare_S8_Pro_MT6765_V03_20190805_9.0.zip,1.54 GB,https://drive.google.com/file/d/1gPKJ1QnskSM479MIh9pwY8-NhoqBmmkn/view
Cherry Mobile Omega Lite 3S,Cherry_Mobile_Omega_Lite_3S_V05_10182018_SPD.zip,689 MB,https://drive.google.com/file/d/16JKFJrARoTw9-wNAe_JfhVVPDXT43NoI/view
Cherry Mobile Omega X,Cherry_Mobile_Omega_X_MT6763_07292019_9.0.zip,1.45 GB,https://drive.google.com/file/d/1a74Ob_nChUf0Bcle1Ch9GpOjn4lhS-Bd/view
Cherry Mobile S910,Cherry_Mobile_S910_MT6572_03032015_4.4.2.zip,404 MB,https://drive.google.com/file/d/1lPeoRxb99Y-JHteTnqR2QY3VfJAUMvG3/view
Cherry Mobile Flare Y3,Cherry_Mobile_Flare_Y3_MT6580_V06_083118_8.1.0.zip,642.3 MB,https://drive.google.com/file/d/1Pz2vPuGlDr4BPAg4tB0L4wnInJPlifgS/view
Cherry Mobile W12,Cherry_Mobile_W12_MT6260_PH_130808_MIRA.zip,9.90 MB,https://androiddatahost.com/yughj
Cherry Mobile DSWD,Cherry_Mobile_DSWD_MT6582_V1_150428_4.4.2.zip,460 MB,https://drive.google.com/file/d/16pSvkAUwbqgB-hNky14obRb2swZuPkCx/view
Cherry Mobile Flare HD 5.0,Cherry_Mobile_Flare_HD_5.0_MT6580_062421.zip,711 MB,https://drive.google.com/file/d/1ep0sfEJA1Wy7tBIJo6g4VZbJZFZgvbmK/view
Cherry Mobile Flare Y6 Pro,Cherry_Mobile_Flare_Y6_Pro_MT6739_V06_042519_9.0.zip,1.20 GB,https://drive.google.com/file/d/1X4ZsB9cRH8b1vdmB3jalqfUXocNDQGAL/view
Cherry Mobile Omega Icon 2,Cherry_Mobile_Omega_Icon_2_MT6580_230217_7.0.zip,1.13 GB,https://drive.google.com/file/d/1AClvT6QIf0XPiNcaY19py7-wpMiuJhXx/view
Cherry Mobile Spin Max 2,Cherry_Mobile_Spin_Max_2_MT6580_V08_181225_8.1.0.zip,609 MB,https://drive.google.com/file/d/1kxJLIsvCqxIvlkyP46sHCPU6L98DDRqy/view
Cherry Mobile Superion S1 Plus DTV,Cherry_Mobile_Superion_S1_Plus_DTV_MT6580_210127_8.1.0.zip,636 MB,https://drive.google.com/file/d/1tmaTYJwvere9ORoDVI7zYD5dDxpAD7t2/view
Cherry Mobile Flare J2 Max,Cherry_Mobile_Flare_J2_Max_V09_091118_SPD.zip,700 MB,https://www.mediafire.com/file/6jnfnbe0jy13hf4/Cherry_Mobile_Flare_J2_Max_V09_091118_SPD.zip/file
Cherry Mobile Y3S,Cherry_Mobile_Y3S_SP7731E_V07_08192019_MIRA.zip,835 MB,https://drive.google.com/file/d/14L2jkOJgt6yj1xrCULM7cEJPfTa7kyag/view
Cherry Mobile Flare Y6,Cherry_Mobile_Flare_Y6_MT6580_,673 MB,https://drive.google.com/file/d/1fOFRYKvprOC_qf02cHyOluK9graZRw63/view
Cherry Mobile J2 Prime,Cherry_Mobile_J2_Prime_MT6580_060519.zip,588 MB,https://drive.google.com/file/d/1J87pMyh8Zd3uvmWEUbfyyFdeih00XDR1/view
Cherry Flare S7,Cherry_Flare_S7_MT6739_V12_10152018.zip,1 GB,https://drive.google.com/file/d/1ZjV4fz2i-BNLFW0kGEjhF3SMQhTrQMNE/view
Cherry Mobile Superion S2,Cherry_Mobile_Superion_S2_V06_082720_10_SPD.zip,966 MB,https://drive.google.com/file/d/1F3r92lkTT8YzhY6oOI40HiFL9kRwJ7PT/view
Cherry Mobile Flare J5 Mini,Cherry_Mobile_Flare_J5_Mini_V03_09052018_SPD.zip,682.70 MB,https://drive.google.com/file/d/1L1zLjERl41HkkES48ShRX-RV25rbQsQq/view
Cherry Mobile Flare S8 Lite,Cherry_Mobile_Flare_S8_Lite_MT6763_20190729.zip,1 GB,https://drive.google.com/file/d/1uOuEosaM-4qK1YHiz2qmolarFkmruT8D/view
Cherry Mobile Astro Q490,Cherry_Mobile_Astro_Q490_V05_08192016_SPD.zip,500 MB,https://drive.google.com/file/d/172WZLaMaKdAPBYTnFaAuUIY2XjVBB53O/view
Cherry Mobile Astro 2,Cherry_Mobile_Astro_2_V05_08192016_SPD.zip,500 MB,https://drive.google.com/file/d/1EL-txYHgRQ3Gtvm1BpimLYUnT-NsX-MG/view
Cherry Mobile Flare J1S C,Cherry_Mobile_Flare_J1S_C_V05_11262016_6.0_SPD.zip,959 MB,https://drive.google.com/file/d/1FCpBfA9l4K78hTpe0JX1lOCekpJ-C4IO/view
Cherry Mobile Flare J1S A,Cherry_Mobile_Flare_J1S_A_MT6580_06122017_6.0.zip,1 GB,https://drive.google.com/file/d/1Dsf9rgv58SXaai_fc92HLy_gXrVcCnnd/view
Cherry Mobile Flare S8,Cherry_Mobile_Flare_S8_MT6763_20190729.zip,1 GB,https://drive.google.com/file/d/1u5Sb3rwm9_LHVi8sYUC9g89bZ1u1CSpg/view
Cherry Mobile Superion Voyager,Cherry_Mobile_Superion_Voyager_20130916_BMT.zip,329 MB,https://drive.google.com/file/d/1WFdednqWzZL-1CEGedhMybLmkg5Hp0G6/view
