Model,File Name,File Size,Download Link
Energizer Energy E520 LTE,Energizer_Energy_E520_LTE_MT6737M_20170425_6.0.zip,926 MB,https://drive.google.com/file/d/16tixmopPord9-x7rQ0iv18nG2YwZFXDp/view
Energizer Power Max P490S,Energizer_Power_Max_P490S_MT6739_EU_HW1.0_V12_180828_8.1.0.zip,1.02 GB,https://drive.google.com/file/d/1wrX-ypJ4DeAVBdY4jompr_Z7TMInHXBM/view
Energizer Hard Case H620S,Energizer_Hard_Case_H620S_MT6765_HW1.0_V06_210425_10.zip,1.37 GB,https://drive.google.com/file/d/1GsgsgFKcfSZNrmN0BbrO7qOBg7fEDTge/view
Energizer Energy E500,Energizer_Energy_E500_MT6580_EU_HW1.0_V1.0_181109_8.1.0.zip,635 MB,https://drive.google.com/file/d/1ZSdtN-XbwqwEC8TNEwXTH_qOGZBlu6Gm/view
Energizer Energy E500S,Energizer_Energy_E500S_MT6737M_EU_HW1.0_V05_190712_8.1.zip,675 MB,https://drive.google.com/file/d/1wf0Lmv6zRXMqmFjcaF55pJz3oz8JNvPr/view
Energizer Power Max P550S,Energizer_Power_Max_P550S_MT6737M_HW1.0_V09_171019_7.0.zip,1 GB,https://drive.google.com/file/d/1cglR-jSSzJIF3gQKkCusRqQ-jZ9jkM_M/view
Energizer Ultimate U710S,Energizer_Ultimate_U710S_MT6763_,1.32 GB,https://drive.google.com/file/d/1b4bzKoBUyxKp_u1vbwWyImhhNQwJfwer/view
Energizer Power Max P600S,Energizer_Power_Max_P600S_MT6757_HW1.0_V22_180712_7.1.1.zip,1.11 GB,https://drive.google.com/file/d/1F8HUSieL4W0NihJsTLx0I5qZZvUP-Am0/view
Energizer Hard Case H621S,Energizer_Hard_Case_H621S_MT6765_HW1.0_V05_210429_11.zip,1.43 GB,https://drive.google.com/file/d/1OuMtfKStWI0Oct7TdBi2ApjZrRWPggxv/view
Energizer Energy S600,Energizer_Energy_S600_MT6737M_HW1_V004_161108_6.0.zip,1.16 GB,https://drive.google.com/file/d/1O4F3lGDYFQX3XJaeB_a6_6k3bwyURete/view
Energizer Energy 500 LTE,Energizer_Energy_500_LTE_MT6735_HW1_V03_160928_6.0.zip,1 GB,https://drive.google.com/file/d/19iCU26cmfON1pW82f-7vlV2cMADUmIwf/view
Energizer Energy 400,Energizer_Energy_400_MT6580_HW2_V0.5_161205_6.0.zip,920 MB,https://drive.google.com/file/d/1EyvXMqNImgYnhKcbhbhTl8eRlvzEZfqA/view
Energizer Power Max P490,Energizer_Power_Max_P490_V01_180413_8.1.zip,567 MB,https://drive.google.com/file/d/1E3urRL5xQhxRN5KPd-8GHU2mUm3UtekV/view
Energizer Hardcase H500S,Energizer_Hardcase_H500S_MT6737M_EU_HW0.2_,1 GB,https://drive.google.com/file/d/1PgJyPnHd9aV_uzA-wSNPr_WV0TTVBi0_/view
Energizer Hardcase E520 LTE,Energizer_Hardcase_E520_LTE_MT6737M_250417_6.0.zip,926 MB,https://drive.google.com/file/d/1AzBgwGY4IDmziOxbHacUcWs5Zef2LJoP/view
