Model,File Name,File Size,Download Link
Eurostar ePad 7,Eurostar_ePad_7_SP7731GEA_SW05CB_HDR_V1.0.0_170106_6.0_SPD.zip,921 MB,https://www.mediafire.com/file/dxr380dsbx5ucrw/Eurostar_ePad_7_SP7731GEA_SW05CB_HDR_V1.0.0_170106_6.0_SPD.zip/file
Eurostar ePad 5 ET754-B13,Eurostar_ePad_5_ET754-B13_RK2928_MID-A008_130322_4.1.1_RBT.zip,310 MB,https://www.mediafire.com/file/ieah4h8bzo3qt7c/Eurostar_ePad_5_ET754-B13_RK2928_MID-A008_130322_4.1.1_RBT.zip/file
Eurostar ET7182G-HM15,Eurostar_ET7182G-HM15_MT6571_SW05_V2_030116_4.4.2.zip,573 MB,https://www.mediafire.com/file/cs5wmyyfktgie82/Eurostar_ET7182G-HM15_MT6571_SW05_V2_030116_4.4.2.zip/file
Eurostar ePad Genie Gold ET7583G-H16,Eurostar_ePad_Genie_Gold_ET7583G-H16_MT6572_SW02_150613_4.4.2.zip,472 MB,https://www.mediafire.com/file/p3isvxmn6s3uwfe/Eurostar_ePad_Genie_Gold_ET7583G-H16_MT6572_SW02_150613_4.4.2.zip/file
Eurostar ET8183GQ-HM15,Eurostar_ET8183GQ-HM15_MT6582_SW04_150722_4.4.2.zip,491 MB,https://www.mediafire.com/file/635snl8u1pqln5p/Eurostar_ET8183GQ-HM15_MT6582_SW04_150722_4.4.2.zip/file
Eurostar Onyx 3S LTE,Eurostar_Onyx_3S_LTE_MT6737M_V8.0_170815_7.0.zip,1.45 GB,https://www.mediafire.com/file/i978jtw4uzy7zr3/Eurostar_Onyx_3S_LTE_MT6737M_V8.0_170815_7.0.zip/file
Eurostar Epad Genie 2 ET7542G-HM15,Eurostar_Epad_Genie_2_ET7542G-HM15_MT6571_Board_HX-M706P-MB-V2.0.0_4.4.2.zip,397 MB,https://drive.google.com/file/d/1i_-pqqvZZbxgPNv6FJIcuRiJIq3zoYhy/view
Eurostar Epad Genie Pro ET7183GQ-H16,Eurostar_Epad_Genie_Pro_ET7183GQ-H16_MT6580_250716_5.1.zip,686 MB,https://firmwaredrive.com/index.php?a=downloads&b=file&id=65373
Eurostar Onyx Note LTE,Eurostar_Onyx_Note_LTE_MT6737M_20180108_7.0_OTA.zip,2 GB,https://drive.google.com/file/d/16XZeHcQPCgo_gD6Vz0ld9pmxXhpvYK1O/view
Eurostar ePad Genie ET7183G-V13,Eurostar_ePad_Genie_ET7183G-V13_MT6577_270313_4.1.2.zip,585 MB,https://www.mediafire.com/file/b27r7wfkmgc6g7z/Eurostar_ePad_Genie_ET7183G-V13_MT6577_270313_4.1.2.zip/file
