Model,File Name,File Size,Download Link
Evercoss U60A,Evercoss_U60A_,732 MB,https://drive.google.com/file/d/1-N2BFDT8buN8YCa5Qb8BzdwtAxsDNBAP/view
Evercoss AT7F,Evercoss_AT7F_191115_RFT.zip,674 MB,https://drive.google.com/file/d/1Zaf1DjDsX92zpMl8BRxRXwqSpe3cqu3y/view
Evercoss AT7S,Evercoss_AT7S_MT6582_091214.zip,475 MB,https://drive.google.com/file/d/1xMQxvjZiBB53TBZH9qoJ58qqyiJgU3Sy/view
Evercoss W7B,Evercoss_W7B_141225_PS.zip,416 MB,https://drive.google.com/file/d/1SksUhZ_bsyA4iXLoIdNp8QZcvUKK5Kmh/view
Evercoss AT7J Plus,Evercoss_AT7J_Plus_151110_SPD.zip,614 MB,https://drive.google.com/file/d/1p8HL2IE29FDBpLv5dh7rBG9gX3vO1j7_/view
Evercoss AT7E,Evercoss_AT7E_MT6572_V1.2_150709.zip,440 MB,https://drive.google.com/file/d/1LB15mO12IwdWjFl6YVbkAhsMj_Bt8v_U/view
Evercoss AT7A,Evercoss_AT7A_MT6582_RC03_150129.zip,443 MB,https://drive.google.com/file/d/1Ho85Wbb49oWgjzcedSVhixVQcT45Jhl6/view
Evercoss AT1G Bintang,Evercoss_AT1G_Bintang_MT6577_V1.68_130925.zip,404 MB,https://drive.google.com/file/d/1EaW5chP0NdijklVE5x2UjTkWXnThonWq/view
Evercoss AT1C Bintang,Evercoss_AT1C_Bintang_MT6582_V04_141114.zip,446 MB,https://drive.google.com/file/d/1b0-eB5p8Ox24Ytu4liDMavWFnOw2lpkX/view
Evercoss AT1A,Evercoss_AT1A_MT6582_240316_4.4.2.zip,486 MB,https://drive.google.com/file/d/1kBGDzx5PPXkn6Iz0mJ0BQ8Do56xk4Pie/view
Evercoss A7G,Evercoss_A7G_MT6589_,503 MB,https://drive.google.com/file/d/1veOxRiC9i7A_0vjIg0KlEBjq50YfxkNQ/view
Evercoss A7L,Evercoss_A7L_,384 MB,https://drive.google.com/file/d/1yEk9VygKOXf7SiFXrfD7YbodKNwIO67H/view
Evercoss A7R,Evercoss_A7R_MT6582_,409 MB,https://drive.google.com/file/d/1fnhFGYBzfecx4o6SX9fBITn_DBLcTlAQ/view
Evercoss A7S Bintang,Evercoss_A7S_Bintang_MT6572_,574 MB,https://drive.google.com/file/d/1YIeiP_IvUwd1ezBUfNFf4nWgatw-BQvs/view
Evercoss A7S,Evercoss_A7S_MT6572_,382 MB,https://drive.google.com/file/d/1Ihvnw-Mj4MReKuUJID1tYxookYdWV1-Q/view
Evercoss A7T Bintang,Evercoss_A7T_Bintang_MT6572_,238 MB,https://drive.google.com/file/d/1LLUxEr5Q5RTQk5oOiLoH-SqKGV1cWEkZ/view
Evercoss A7T Plus,Evercoss_A7T_Plus_MT6572_,344 MB,https://drive.google.com/file/d/13GTK2XmkaE0QL5UAKk1cA_1zbsI5SMj0/view
Evercoss A7V,Evercoss_A7V_MT6582_,544 MB,https://drive.google.com/file/d/1Pj2Wqfgetblz15YDVKaNkcO9TQk9MoV8/view
Evercoss A7V Plus,Evercoss_A7V_Plus_MT6582_V222_140723.zip,406 MB,https://drive.google.com/file/d/1mbyu3q4DXm51QFE3HLgIIMhnWp0DooWT/view
Evercoss A88,Evercoss_A88_MT6589_V0.7.0_120716.zip,364 MB,https://drive.google.com/file/d/1Hcy_mG4RvIcjiAaQA_In-1zfkTXgwLH1/view
Evercoss A8T,Evercoss_A8T_MT6573_V4_120815.zip,169 MB,https://drive.google.com/file/d/1RQNdcIX46Ke2WriZ8OHLdAwu3izp-nFC/view
Evercoss AT1A Bintang,Evercoss_AT1A_Bintang_MT6582_080714.zip,411 MB,https://drive.google.com/file/d/1oGBO-7iJVaWJLxEHxNqrHD6qctxnmP-F/view
Evercoss A7D,Evercoss_A7D_MT6572_V0.9_140514.zip,317 MB,https://drive.google.com/file/d/1nsulf0oq8ePEJIoQXFduUBn7FmKIvPMo/view
Evercoss A7B,Evercoss_A7B_MT6582_V02_140925.zip,515 MB,https://drive.google.com/file/d/1Txe7g97vbDYgrGPHZC-wByrwpZT0hMtp/view
Evercoss A7A Bintang,Evercoss_A7A_Bintang_MT6572_V11_150331.zip,446 MB,https://drive.google.com/file/d/1Bcyl-QWrefl_APJH0LLuxOWEXSHLBqar/view
Evercoss A75U,Evercoss_A75U_V9.0_150514_SPD.zip,395 MB,https://drive.google.com/file/d/1gybq4pIKOxZsy2LJkuONRB1sdJ7PRj4J/view
Evercoss A75A Bintang,Evercoss_A75A_Bintang_V04_291015_5.1_SPD.zip,641 MB,https://drive.google.com/file/d/1-NT6rcLF7QHKG_leYrS4X5lrnx5z7Z--/view
Evercoss A75,Evercoss_A75_V04_291015_5.1_SPD.zip,594 MB,https://drive.google.com/file/d/1vrUMhSF1jiIWiiSSVC3rX2tHBLL9K0L1/view
Evercoss A53 Bintang,Evercoss_A53_Bintang_V1.0_RV01_150708_SPD.zip,353 MB,https://drive.google.com/file/d/1yGokUX_NCVCV8UtD_aOhxolMY7L4CYKE/view
Evercoss A5V,Evercoss_A5V_MT6572_020714.zip,261 MB,https://drive.google.com/file/d/1WHtyWaN_FVwCE66LX84PUJgOs4Ybrgc1/view
Evercoss A66A Bintang,Evercoss_A66A_Bintang_MT8382M_V09_141212.zip,590 MB,https://drive.google.com/file/d/1KHxK1H2_68nWwm2nULuj5lMPeFR4sQqM/view
Evercoss A6T,Evercoss_A6T_MT6516_V010_120716.zip,114 MB,https://drive.google.com/file/d/1IwVgjHVGzpUJIa0KrAgMSogvtNDfXqp-/view
Evercoss A7 Bintang,Evercoss_A7_Bintang_MT6575_120716.zip,190 MB,https://drive.google.com/file/d/19B2v2s-fS-WjZYf3LS4UuOVhGgO2CtIY/view
Evercoss A7 Pagar,Evercoss_A7_Pagar_MT6577_V1.3_130402.zip,267 MB,https://drive.google.com/file/d/1Q5SY0SFD23tFQ8rrb5ahC_R7OxbjkDuD/view
Evercoss A74D,Evercoss_A74D_V13_150126_4.4_SPD.zip,320 MB,https://drive.google.com/file/d/1wLJ3s08aPDXDRKaC84B6MC1tTkJBgFi6/view
Evercoss A74E,Evercoss_A74E_V06_151012_5.1_SPD.zip,513 MB,https://drive.google.com/file/d/1zWEqvTzwKXiuqFOHzswEKHNXHTG9sVdp/view
Evercoss A74F,Evercoss_A74F_MT6582_141230.zip,466 MB,https://drive.google.com/file/d/18fTgENgvE7VkHDTFM0P7vv3sdhZtBIkH/view
Evercoss A74M,Evercoss_A74M_V10_261115_SPD.zip,436 MB,https://drive.google.com/file/d/14SKcFcQ_PDRfXmH_Na7cHNYbMOE8YyPe/view
Evercoss A28A,Evercoss_A28A_MT6572_V2.8.27_120716.zip,307 MB,https://drive.google.com/file/d/1ULsIzVNeo-MiYJv0DeeKGInKorKtCNfc/view
Evercoss A27,Evercoss_A27_MT6577_V0009_120716.zip,280 MB,https://drive.google.com/file/d/1SHDtIOyO3QtYNMpJ78F7oNlLWIgwGn0m/view
