Model,File Name,File Size,Download Link
GFive Speedo 1,GFive_Speedo_1_MT6739_20200316_9.0.zip,1 GB,https://drive.google.com/file/d/1jhWMaVOWfx6FMpAEIlzYIqNn92BVTBEr/view
GFive President G7,GFive_President_G7_MTK6582_V012_20140403.zip,488 MB,https://drive.google.com/file/d/1wu8ODkXlWDM6a5-RPMoFePJ90rnIQSNI/view
GFive LTE 1,GFive_LTE_1_MT6582_S01_20150414_4.4.2.zip,434 MB,https://drive.google.com/file/d/1XaIj9lOEH3ZacFokjbrFDzWJLzZwv_lQ/view
GFive GPad 701,GFive_GPad_701_MT6582_V2006_04102015_4.4.2.zip,450 MB,https://drive.google.com/file/d/15SyLine6dnxCgIAVzKszqdrZ61xnazw2/view
Gfive A1,Gfive_A1_G5_V5.8.10_20130813_SPD.zip,126 MB,https://drive.google.com/file/d/1UGkmiYM6Dno1EP64ErAcOL31U0wc_K_h/view
Gfive T28,Gfive_T28_SC6531_141004_MIRA.zip,4 MB,https://androiddatahost.com/gh54n
GFive G6C,GFive_G6C_MT6582_150307.zip,519 MB,https://drive.google.com/file/d/1boAnALe1f-iQQ9CcvCgZkO9sHdko3e6H/view
Gfive Stark,Gfive_Stark_MT6580_16G_1G_V01_220225_9.0.zip,987 MB,https://www.mediafire.com/file/qmztu4fkwkkkj2z/Gfive_Stark_MT6580_16G_1G_V01_220225_9.0.zip/file
Gfive GPad 3,Gfive_GPad_3_MT6582_XD813_V0.2_140312_4.2.2.zip,407 MB,https://drive.google.com/file/d/15d2nan6WZVc_kMevlLSWbadJtdpcbgOZ/view
Gfive 4G LTE 2,Gfive_4G_LTE_2_MT6735M_151021.zip,684 MB,https://drive.google.com/file/d/1tQGnm3tcxFiWxYTPOgyxihXYtq-KJ5r8/view
Gfive Gpad 705,Gfive_Gpad_705_MT6582_121214.zip,566 MB,https://drive.google.com/file/d/1WnTjKS_z4EPTcEVD1CIWHeIe5PskforE/view
Gfive A6 Cool,Gfive_A6_Cool_MT6572_290415.zip,441 MB,https://www.mediafire.com/file/6l6awy5jqga03bh/Gfive_A6_Cool_MT6572_290415.zip/file
Gfive LTE3,Gfive_LTE3_MT6735M_230216.zip,1002 MB,https://www.mediafire.com/file/ps3qehdecv5s4i4/Gfive_LTE3_MT6735M_230216.zip/file
Gfive President G6C,GFive_President_G6C_MT6582_V1.5_190116_4.2.2.zip,409 MB,https://www.mediafire.com/file/qq3ysrwq3xbu4eb/GFive_President_G6C_MT6582_V1.5_190116_4.2.2.zip/file
Gfive President Smart A98,Gfive_President_Smart_A98_SP7731L_64_8_151127_SPD.zip,424 MB,https://www.mediafire.com/file/6gucfy66sjh4r6i/Gfive_President_Smart_A98_SP7731L_64_8_151127_SPD.zip/file
Gfive President Xhero 7,Gfive_President_Xhero_7_MT6582_260116.zip,528 MB,https://www.mediafire.com/file/7twbb7japmdgwm5/Gfive_President_Xhero_7_MT6582_260116.zip/file
Gfive President Gold 9,Gfive_President_Gold_9_MT6739_20191022_9.0.zip,1 GB,https://drive.google.com/file/d/1rUkCbAkF44qIfX_ggxnCZa_VTsjFIz4W/view
Gfive Gpad 702,Gfive_Gpad_702_SP7731E_20190105_8.1.0_MIRA.zip,1.39 GB,https://drive.google.com/file/d/1NgzdnL3xB9zmkHNXdgTS51AbjwcLFMpW/view
