Model,File Name,File Size,Download Link
Ghia Any 7 27258N,Ghia_Any_7_27258N_20141029_PS.zip,619 MB,https://drive.google.com/file/d/1tEz_ln6fg5Y0yaIASq2s8gilqy9A3GHv/view
Ghia Any Girl 7 27218B,Ghia_Any_Girl_7_27218B_8GB_20140416_PS.zip,586 MB,https://drive.google.com/file/d/1AVlbrBIY27H5ULl3P3lZlis_5hyOUq5T/view
Ghia Any Kids 7 27158N,Ghia_Any_Kids_7_27158N_20150407_PS.zip,686 MB,https://drive.google.com/file/d/1eALs-yVsEhlrapsvHeMN25cYCDcut5uR/view
Ghia Any Kids Q7,Ghia_Any_Kids_Q7_47458_20160618_PS.zip,911 MB,https://drive.google.com/file/d/1u8CoAJ1WfM-FsUQGLWSRnaw4iFSK3z2y/view
Ghia Only 7i,Ghia_Only_7i_20150121_4.2.2.zip,558 MB,https://drive.google.com/file/d/1V_Yt_2-pd8EfhfzmD2OeovrrRr8nS_v2/view
Ghia Vector 10.1,Ghia_Vector_10.1_20171223_8.1_PS.zip,816 MB,https://drive.google.com/file/d/1Vj5FKZ83NzFae31OT_neB2Wg1P2OFqBk/view
Ghia T199 Vector,Ghia_T199_Vector_20171223_RBT.zip,816 MB,https://drive.google.com/file/d/1UgfduD0un8XHAhmy3SHRKUA9W2uscfBM/view
Ghia Any 7 27154B,Ghia_Any_7_27154B_4GB_20130523_4.2.2_PS.zip,809 MB,https://drive.google.com/file/d/11JnFOcb8UfM9G1dKlknbaQAhd__apXkr/view
Ghia Any 7 27154P,Ghia_Any_7_27154P_8GB_20140212_4.2.2_PS.zip,668 MB,https://drive.google.com/file/d/1RNF5L1Py5MqEGCs8GcQV1C075tMkg8-m/view
Ghia Any 7 27158B,Ghia_Any_7_27158B_8GB_20141212_PS.zip,647 MB,https://drive.google.com/file/d/1sWukGFfSdVGGFjovG0-BzxvaTSgp3Cgn/view
Ghia Any 7 27214P,Ghia_Any_7_27214P_8GB_20140625_Amlo.zip,446 MB,https://drive.google.com/file/d/17nuLbEGkQrLo-drAYsCIoOQagT5iBXca/view
Ghia Any 8 28214P,Ghia_Any_8_28214P_20131121_Amlo.zip,423 MB,https://drive.google.com/file/d/1jvRZY1SJtAXI7LYTro0KXEKzH_Pw3JJE/view
Ghia Any 20218P 10.1,Ghia_Any_20218P_10.1_16GB_20140625_Amlo.zip,442 MB,https://drive.google.com/file/d/1fFBw91XhwPgBxgjc5JWoU0Q4IEB07cPY/view
Ghia Any 29214P 9.7,Ghia_Any_29214P_9.7_20130606_Amlo.zip,449 MB,https://drive.google.com/file/d/1TTAdD5njiRG-BrKeSkTD0-Jgmk8nbO6J/view
Ghia Any 29218P 9.7,Ghia_Any_29218P_9.7_16GB_20141119_Amlo.zip,435 MB,https://drive.google.com/file/d/1hK3ZqQKqY0ol8DNuietCaQ8TT5Z8RTx8/view
