Model,File Name,File Size,Download Link
Hello F4,Hello_F4_MT6580_190722_5.1.zip,955 MB,https://drive.google.com/file/d/13ulQyeuzS5pvqIUzesjngsbq3eeLGxh1/view
Hello A2,Hello_A2_MT6572_281118_4.4.2.zip,532 MB,https://drive.google.com/file/d/1TpaXEe0RJg9wZGkx4fo9slmvhBPvw78h/view
Hello A7,Hello_A7_MT6572_U2_030119_4.4.2.zip,504 MB,https://drive.google.com/file/d/16Y98pJF6BKHN2-DvXfAH8_5XKSQ67mb5/view
Hello B1,Hello_B1_SP7731GEA_V001_190919_6.0_SPD.zip,612 MB,https://drive.google.com/file/d/1Xv_K1ODpX9jzT0g_bEhgLcftLJDp75bs/view
Hello F2,Hello_F2_MT6580_070919.zip,872 MB,https://drive.google.com/file/d/1KmMlrBu-1F8ZZJ7z2l3Tode_7fpCUwPw/view
Hello K4,Hello_K4_MT6580_U2_081118_6.0.zip,694 MB,https://drive.google.com/file/d/17J4HpihaGgcKlZ_4OPzo2sWZLb2j8qHY/view
Hello K70,Hello_K70_SC77XX_V04_180921_SPD.zip,706 MB,https://drive.google.com/file/d/1jGvUQr5jvWAyjswhjHWRhRad8Z3-IFGH/view
Hello K80,Hello_K80_SP7731CEB_310120_6.0_SPD.zip,680 MB,https://drive.google.com/file/d/1A5vRhwp5gryRY3OI_V8JrdsEQmgpuoIP/view
Hello Mate,Hello_Mate_MT6580_EMMC_191207_8.1.0.zip,702 MB,https://drive.google.com/file/d/17ybsmsq7r3wcUOHZFQBoHu6vqGaC8NGf/view
Hello Mate R,Hello_Mate_R_K15_SC77XX_2SIM_128_8_080916_V8.1_SPD.zip,546 MB,https://drive.google.com/file/d/1pM_2-fEErxX14CW9A-Pkf4gXTmkazUlM/view
Hello P50,Hello_P50_MT6580_B610HC_Q5P_190124.zip,895 MB,https://drive.google.com/file/d/1ZFDpaKQ9KNTkLbXha_oyYbFsIUDNNjlc/view
Hello P80,Hello_P80_MT6580_210619_6.0.zip,1 GB,https://drive.google.com/file/d/1tFfY6lfQhirWx4y3WVMyCJmsChk-2p3l/view
Hello R4,Hello_R4_MT6580_170817_V5.1.zip,650 MB,https://drive.google.com/file/d/1I7NGGh7ZbfrGZa9Zl4-T2rvKXRsP2XPZ/view
Hello R3,Hello_R3_SP7731CEB_NOGPS_B1_V01.01.B06_R3_6.0_SPD.zip,578 MB,https://drive.google.com/file/d/1tuIZumUVLXdap07duASijkmQQUe0dOa6/view
Hello R7,Hello_R7_B1_V01.01.B02_290817_SPD.zip,658 MB,https://drive.google.com/file/d/1umKzwQJ7VWe5TBX1DF4rDddnXUK1Eur5/view
Hello R12,Hello_R12_SC77XX_V04_180921_SPD.zip,706 MB,https://drive.google.com/file/d/1KrRAhNV0Msur7fvflVwZwwj_NZ0BEDes/view
Hello A30,Hello_A30_MT6572_06272019_4.4.2.zip,316 MB,https://drive.google.com/file/d/179NklaL1K_x_fdGhl82JKoaDaQrChiRf/view
Hello Smart 1,Hello_Smart_1_MT6580_V08_10242016.zip,908 MB,https://drive.google.com/file/d/1cq2vHKWOGcFxRzU0KbCF6zDXO00soQ6q/view
