Model,File Name,File Size,Download Link
Hotwav Note 12,Hotwav_Note_12_128GB_64_20230410_SPD.zip,2.60 GB,https://drive.google.com/file/d/1PtuUmTPyBu4Cz_dLblQiy36lkjdh4QsX/view
Hotwav Cyber 13 Pro,Hotwav_Cyber_13_Pro_256GB_12GB_20231114_SPD.zip,2.70 GB,https://drive.google.com/file/d/1Kt9qJr2Rs3Tgde1wbRRO19N59fLr6SGQ/view
Hotwav M5i,Hotwav_M5i_MT6580_20180605_8.1.0_MIRA.zip,1 GB,https://drive.google.com/file/d/1cytIdm03UQMQFHLIr7xjbv4FJ9dCSXAG/view
Hotwav Pixel 4,Hotwav_Pixel_4_MT6592_V02_20180122_6.0.zip,1.45 GB,https://drive.google.com/file/d/14JLPmgJVJRyVIoDFUTWGg8NBHwURtx-R/view
Hotwav Symbol M1,Hotwav_Symbol_M1_MT6580_V11_20180927_7.0.zip,1.61 GB,https://drive.google.com/file/d/18tZipymETTQ_Ogf3y-R41SdNYBY3_x21/view
Hotwav Symbol S3,Hotwav_Symbol_S3_MT6592_06112018_6.0.zip,1.68 GB,https://drive.google.com/file/d/1xJ_GqQt0Vp60kZwDv8S7sAd3wNwpcba5/view
Hotwav V10,Hotwav_V10_S7358_27072015_5.1_SPD.zip,524 MB,https://drive.google.com/file/d/1CGFL4VAFrnlWTBC-iF3sXycfCM8yzkZw/view
Hotwav V21 Star,Hotwav_V21_Star_MT6580_29092017_7.0.zip,571 MB,https://drive.google.com/file/d/1MaUQ4p20ldsq6AnuTE_F_qygzYc7eOoq/view
Hotwav Venus D8007,Hotwav_Venus_D8007_MT6580_V1.0_20190904_8.1.0.zip,935 MB,https://drive.google.com/file/d/1ZX44-oo9angkM2xaTZTUagXPmjlAM_eo/view
Hotwav Venus V30,Hotwav_Venus_V30_MT6580_V1.0_20190904_8.1.0.zip,935 MB,https://drive.google.com/file/d/1_UbuV1TSrTpYi4X_n5YxPQ-LIBBvwxjo/view
Hotwav W10 Pro,Hotwav_W10_Pro_MT6765_V4.0_29112022_12.zip,1.99 GB,https://drive.google.com/file/d/1YiAvsqkvVyl30rEQ2wk_fxP4SFVca0b8/view
Hotwav K11,Hotwav_K11_20160405_SPD.zip,682 MB,https://drive.google.com/file/d/1_AKPitpNg2EcVG7btfGimlnvW4bAA_3D/view
Hotwav Hot 5,Hotwav_Hot_5_MT6737M_12132016_6.0.zip,1.14 GB,https://drive.google.com/file/d/1DSnhOPjDsljvFxCn-Ea5CBVDvLJzK_lh/view
Hotwav Fone M8,Hotwav_Fone_M8_MIRA.zip,187 MB,https://drive.google.com/file/d/1gm-T3-q9Hpv4Hzw6pnZLPuhJLO2eTs8O/view
Hotwav W10,Hotwav_W10_MT6761_V3.0_220628_12.zip,1.86 MB,https://drive.google.com/file/d/1W4CQrzx0VHdSN0cM8HK_6pVnJJfTbqo6/view
Hotwav Cosmos S8,Hotwav_Cosmos_S8_MT6580_290817_7.0.zip,573 MB,https://drive.google.com/file/d/1J3aV3-WoZ8k1TzCn7OerkzPwtxHv8rHV/view
Hotwav M6,Hotwav_M6_MT6739_E838_TG_T19_39_P0_V0.8.2.1_190722.zip,1.37 GB,https://www.mediafire.com/file/u6p3hnpilgumown/Hotwav_M6_MT6739_E838_TG_T19_39_P0_V0.8.2.1_190722.zip/file
Hotwav IP6,Hotwav_IP6_SP7731G_K19_170424_6.0_MIRA.zip,896 MB,https://drive.google.com/file/d/1GIsIJqqh-IFBP_gyDsO8qvn82YSqcrkV/view
Hotwav Cosmos P1,Hotwav_Cosmos_P1_MT6580_V01.01B13_270818_8.1.0.zip,604 MB,https://drive.google.com/file/d/180BkJNivx6dxPP1VlDl0HJ7JqlcBR7yn/view
Hotwav K2 Prime,Hotwav_K2_Prime_MT6739_201219_9.0.zip,1.63 GB,https://drive.google.com/file/d/1XffnDn-SXxClY8ROryu3gkDTU8eFJGWh/view
Hotwav M5,Hotwav_M5_MT6739_Dubai_V0.7.1_181019.zip,1.36 GB,https://drive.google.com/file/d/1Y8zlNf6Ul6h1JUlKWWLvpJXa85d4hcjw/view
Hotwav Pearl K2,Hotwav_Pearl_K2_MT6739_K2_V9.0_20190629_9.0.zip,1.5 GB,https://drive.google.com/file/d/1J3SajIhj17pASOEHBg7nt-pKPq62nVcq/view
Hotwav Cosmos U,Hotwav_Cosmos_U_MT6580_051018_8.1.0.zip,714 MB,https://drive.google.com/file/d/1zz027kMbN-bNrBy1uaXud035g9k2S8Gs/view
Hotwav R24,Hotwav_R24_MT6580_180918_6.0.zip,601 MB,https://drive.google.com/file/d/1N3BJm2bNP-01-NbDRD-PLwZqM1AvjLwI/view
Hotwav Trend,Hotwav_Trend_MT6580_070419_6.0.zip,678 MB,https://drive.google.com/file/d/1ET7duxqNnPiDOu12n6cSjH61fWHn9XUU/view
Hotwav Venus X17,Hotwav_Venus_X17_SP7731CEB_130619_6.0_SPD.zip,591 MB,https://drive.google.com/file/d/1jPcPBfu68Uao3liTXv9qVGzFqz9azg-e/view
Hotwav Cosmos V23,Hotwav_Cosmos_V23_K19_20170425_6.0_SPD.zip,902 MB,https://drive.google.com/file/d/1l0fAmTWoqqpYmQLRJ3DDIrbnNvP2x1br/view
Hotwav Venus R2,Hotwav_Venus_R2_B1_V01.01.B01_060918_6.0_SPD.zip,1 GB,https://drive.google.com/file/d/1z6ZX4oEESqNVLacDoLqJU5ZrFdyKVJE6/view
Hotwav Hot 6,Hotwav_Hot_6_MT6737M_V3.03_221117.zip,1 GB,https://drive.google.com/file/d/1s1KxDhlUjP7uudLNzYCL3ZlkSP5h6O6r/view
Hotwav Cosmos V8-1,Hotwav_Cosmos_V8-1_SC7731_V1.0_141016_MIRA.zip,946 MB,https://drive.google.com/file/d/1HluSCLOzWcOCBtv7w9sJrzqzDseTD2Sa/view
Hotwav Venus,Hotwav_Venus_MT6580_03122019_6.0.zip,570 MB,https://drive.google.com/file/d/1Hlx8sJPhHW1aBCD7_Y_jVvRqFhkX7UfA/view
Hotwav Venus R8,Hotwav_Venus_R8_SP7731CEB_V01.01_07062017_6.0_SPD.zip,553 MB,https://drive.google.com/file/d/1xS-qYql8AxbKjLhBHRCI3krJ0G43SX-H/view
Hotwav Venus R9,Hotwav_Venus_R9_SP7731CEB_19102017_6.0_MIRA.zip,544 MB,https://drive.google.com/file/d/1kh1agbnPBTXZT3RsvK09Fc399KK_XCUr/view
