Model,File Name,File Size,Download Link
IIIF150 Raptor 5G,IIIF150_Raptor_5G_MT6877_ASW3500_YO_2201_T2004_270225.zip,4.24 GB,https://drive.google.com/file/d/1hD52N-XyzswjVCFWAZx9pguSbWMzH9MJ/view?usp=sharing
IIIF150 Air 3S,IIIF150_Air_3S_ASW3200SE_YO_2201_T0008_250227_SPD.zip,2.87 GB,https://drive.google.com/file/d/1w_ZiaVQG98IvJYdSXz36pxUk75M52hS0/view?usp=sharing
IIIF150 B3 Pro,IIIF150_B3_Pro_MT6877_ASW3300_YO_2201_T2012_23102024.zip,3.61 GB,https://drive.google.com/file/d/1-tpVCcDGYNdLFSRRq7pkJZfUr9mhJ7is/view?usp=sharing
IIIF150 B3C,IIIF150_B3C_ASW3200Lite_YO_2201_T0009_250305_SPD.zip,2.91 GB,https://drive.google.com/file/d/1o7Z-lVVaCFj6OUrEfaaPLa3z9_m6JlJy/view?usp=sharing
IIIF150 B3,IIIF150_B3_MT6781_ASW3200PRO_YO_2201_V2027_EEA_20241025_MXML.zip,3.39 GB,https://drive.google.com/file/d/1hsn1hzMLhdpy0cbTgdURJA1S_eDt7_Gc/view?usp=sharing
IIIF150 Air 3,IIIF150_Air_3_MT6781_ASW3200_YO_2201_V2027_EEA_20241025_MXML.zip,3.39 GB,https://drive.google.com/file/d/1kgeaSaTupeMQTqgUJ6WqL8NZieG7Nu0f/view?usp=sharing
IIIF150 Air 1 Ultra Plus,IIIF150_Air_1_Ultra_Plus_MT6789_ASW2300PRO_YO_2201_V2024_20230301_MXML.zip,2.51 GB,https://drive.google.com/file/d/1bPT3p2cqMg75twIaKms5e6No0m9CT1A0/view?usp=sharing
IIIF150 A1,IIIF150_A1_MT6765_ASW2200SE_YO_2201_V2040_EEA_20230307.zip,2.23 GB,https://drive.google.com/file/d/1ExqPdlAMY0u5OvKqz-esZrgWAeWxRnn6/view?usp=sharing
IIIF150 Air 2 Ultra,IIIF150_Air_2_Ultra_MT6877_ASW3100_EEA_2201_V3010_240828.zip,3.57 GB,https://drive.google.com/file/d/1-D5jk2bGAp925-zXdepS1V3vYV6s9Gmw/view?usp=sharing
IIIF150 Air 1 Ultra Pro,IIIF150_Air_1_Ultra_Pro_MT6789_ASW2300PRO_YO_2201_V2024_20230301_MXML.zip,2.51 GB,https://drive.google.com/file/d/16FHsm7-clDcGu8ZUC3kopFHvSigQUW4V/view
IIIF150 Air 1,IIIF150_Air_1_MT6765_ASW2200SE_YO_2201_V2040_20230307_12.zip,2.23 GB,https://drive.google.com/file/d/10U7t5PYQTfI3Hs6MiwrvXaAnR0JK95ih/view
IIIF150 B2 Pro,IIIF150_B2_Pro_MT6789_ASW2700PRO_YO_2201_V2015_20231107_13_MXML.zip,2.91 GB,https://drive.google.com/file/d/1ZMWBQh5SRlSWXjWkl5pykfUSLcLiCoUN/view
IIIF150 B2 Ultra,IIIF150_B2_Ultra_MT6789_ASW2600_YO_2201_V2015_20231107_13_MXML.zip,2.86 GB,https://drive.google.com/file/d/1v2mH6T-yRomPw4Klk4neY0xQMfNdkY9r/view
IIIF150 Raptor,IIIF150_Raptor_MT6789_ASW2500_YO_2201_V2072_20231012_13_MXML.zip,2.94 GB,https://drive.google.com/file/d/1iELpNCnXdKvrCSnlGK82jTJSzY8OULZK/view
IIIF150 B2,IIIF150_B2_UMS9230_ASW2800Pro_YO_2201_V2005_20231009_13_SPD.zip,2.64 GB,https://drive.google.com/file/d/12JEj5U-sD3sTwNLmbc4k1PGrQX6ctQ5U/view
IIIF150 Air1 Pro,IIIF150_Air1_Pro_MT6765_S1_20230320_12.0.zip,2.49 GB,https://drive.google.com/file/d/1RHagPh40m_WbQJknAKEZTFajzAChH38S/view
IIIF150 B1 Pro,IIIF150_B1_Pro_MT6765_S1_230320_12.zip,2.49 GB,https://drive.google.com/file/d/1ve40IVNKpeQw-el5cs7ffEIACIMh3PMw/view
IIIF150 Air 1 Ultra,IIIF150_Air_1_Ultra_MT6789_RU_S1_230322_MXML.zip,2.76 GB,https://drive.google.com/file/d/1G_hQfq87c0G54qGPzkqMPCsns0Xc6ZVU/view
IIIF150 B1,IIIF150_B1_MT6765_221108.zip,2.28 GB,https://drive.google.com/file/d/1GOGc6kczDs6OHr8oP48Y5vsjvF6HvrJa/view
IIIF150 B2021,IIIF150_B2021_MT6765_2201_T3034_100322.zip,2.16 GB,https://drive.google.com/file/d/10kT6jdVGvUeutx8qmxieiKunG19Zp210/view
IIIF150 H2022,IIIF150_H2022_MT6761_2201_T2040_020322.zip,2 GB,https://drive.google.com/file/d/1hkyYBNOnimvPHWNq2-zKEpq15WcyQ2S6/view
IIIF150 R2022,IIIF150_R2022_MT6785_2201_T2102_030322.zip,2 GB,https://drive.google.com/file/d/1JRBldViYudQbxsTTj-Z3MR3LczDANUIc/view
