Model,File Name,File Size,Download Link
Infinix Hot 60 5G X6726B,Infinix_Hot_60_5G_X6726B_MT6855_15.1.1.119SP03_OP001PF001AZ_130825_MXML.zip,8.23 GB,https://drive.google.com/file/d/1LN4owXuLkeEtVprg11W7RBQQhShW4j7n/view?usp=sharing
Infinix Smart 10 X6725D,Infinix_Smart_10_X6725D_15.1.0.156_OP001PL001AZ_040925_SPD.zip,4.11 GB,https://drive.google.com/file/d/14ET0IralcMyVbGLZDyuZhbEarki0enVI/view?usp=sharing
Infinix GT 30 5G X6876,Infinix_GT_30_5G_X6876_MT6878_15.1.2.105SP01_OP001PF001AZ_Open_Market_140725_MXML.zip,7.74 GB,https://drive.google.com/file/d/1J0cyUAm6VGe6DCwHdYsVakm58ulTxQav/view?usp=sharing
Infinix Note 50 5G X6858,Infinix_Note_50_5G_X6858_MT6789_15.1.0.138SP01_OP001PF001AZ_100725_MXML.zip,8.40 GB,https://drive.google.com/file/d/1qGBo84sFNPEbaE3cTDIW46ZzvOE8i7wi/view?usp=sharing
Infinix Hot 9 X689,Infinix_Hot_9_X689_MT6768_V653_GL_230416.zip,3.28 GB,https://drive.google.com/file/d/14Pic7QlpUuGQvXZ9oE9nMYfwlPWsI3rc/view?usp=drive_link
Infinix Note 50S 5G X6870,Infinix_Note_50S_5G_X6870_MT6878_15.0.3.129_IN001PF001H2_120625_MXML.zip,7.46 GB,https://drive.google.com/file/d/1mkNDi8eEfM4j1q-e-t5Aw570-NekQDO5/view?usp=sharing
Infinix Note 50X 5G X6857B,Infinix_Note_50X_5G_X6857B_MT6878_,7.16 GB,https://drive.google.com/file/d/146A0k8v9pklCcGIfpl1dOnYSpEsHGXPa/view?usp=sharing
Infinix Smart 10 Plus X6725B,Infinix_Smart_10_Plus_X6725B_,6 GB,https://drive.google.com/file/d/1kvym9F6jqteDrw00X4mi_nJ1qgin3jqq/view?usp=sharing
Infinix Xpad GT X1301,Infinix_Xpad_GT_X1301_OP_V22_250614_QFIL.zip,2.64 GB,https://drive.google.com/file/d/1Vu_HpkI07Qdcjy4iwffmzaMATYuLIlLl/view?usp=sharing
Infinix Hot 60i X6728B,Infinix_Hot_60i_X6728B_MT6768_15.1.1.104SP03_OP001PF001AZ_110625.zip,5.77 GB,https://drive.google.com/file/d/1RteSJLulzel3bI9LI5-vfabc49kyk2Iw/view?usp=sharing
Infinix Smart 10 X6725C,Infinix_Smart_10_X6725C_15.1.0.108SP01_OP001PF001AZ_220525_SPD.zip,6 GB,https://drive.google.com/file/d/1YOz8QvvHaxwKbwo8i1uSy3mIo3OV8tQZ/view?usp=sharing
Infinix Smart 10 X6725,Infinix_Smart_10_X6725_15.1.0.115SP02_OP001PL001AZ_110625_SPD.zip,4.94 GB,https://drive.google.com/file/d/1duXfC8YgAwyZ_dWCuanGd2toTnLIJxpK/view?usp=sharing
Infinix Note 50 Pro Plus X6856,Infinix_Note_50_Pro_Plus_X6856_MT6897_15.0.3.123_OP001PF001AZ_MXML.zip,8.42 GB,https://drive.google.com/file/d/1uMkoF4spYDtTfhzodF-Y3ffNGm2Kg-eF/view?usp=sharing
Infinix Note 40 Pro Plus 5G X6851B,Infinix_Note_40_Pro_Plus_5G_X6851B_MT6855_15.0.3.127SP03_OP001PF001AZ_050625_MXML.zip,15.45 GB,https://drive.google.com/file/d/1lBpiPKnpj0FN67BUZEVUZcekokgwsz3X/view?usp=sharing
Infinix Hot 60 Pro X6885,Infinix_Hot_60_Pro_X6885_MT6789_15.1.1.103SP10_OP001PF001AZ_060625_MXML.zip,8.57 GB,https://drive.google.com/file/d/1xZ3ovGjLvVL9p4lA9s7UEqODftj_jd0k/view?usp=sharing
Infinix Hot 60 Pro Plus X6886,Infinix_Hot_60_Pro_Plus_X6886_MT6789_15.1.1.103SP09_OP001PF001AZ_060625_MXML.zip,8.27 GB,https://drive.google.com/file/d/1fIkz2KPG9Fgc53_kCv59sU0aGNit8XDc/view?usp=sharing
Infinix Note 50 Pro 5G X6856,Infinix_Note_50_Pro_5G_X6856_MT6897_15.0.2.116SP05_OP001PF001AZ_260425_MXML.zip,8.40 GB,https://drive.google.com/file/d/1bDr8JBXjrjQhPasX1ojwp65ElT-H7UBe/view?usp=sharing
Infinix GT 30 Pro X6873,Infinix_GT_30_Pro_X6873_15.0.3.116SP01_OP001PF001AZ_180425_MXML.zip,7.26 GB,https://drive.google.com/file/d/1YqrpNhszkftWsYSWDlehSMETFREB4c-z/view?usp=sharing
Infinix Note 50 Pro X6855,Infinix_Note_50_Pro_X6855_MT6789_15.0.2.116_OP001PF001AZ_100425_MXML.zip,8.64 GB,https://drive.google.com/file/d/1T3aRzYH9LdLi5yGj38XA5jiT-tZevliG/view?usp=sharing
Infinix Note 50 X6858,Infinix_Note_50_X6858_MT6789_15.0.2.115SP02_OP001PF001AZ_270325_MXML.zip,8.41 GB,https://drive.google.com/file/d/1jexUGGnEVZMd1nHrl_Gd2luF2DnY3_5C/view?usp=sharing
Infinix Hot 50 5G X6720,Infinix_Hot_50_5G_X6720_MT6835_IN_,5.89 GB,https://drive.google.com/file/d/1XpRs5RdHRf_Td3v9UIv84xMCYqqQTG4g/view?usp=drive_link
Infinix Smart 8 HD X6525,Infinix_Smart_8_HD_X6525_EU_,2.87 GB,https://drive.google.com/file/d/1yIfssezT_SohmnKG9lyFPWEJMLbW2hoY/view
Infinix Smart 9 HD X6532C,Infinix_Smart_9_HD_X6532C_MT6765_OP_,3.09 GB,https://drive.google.com/file/d/1fATyEsQvINEG8l530X-pEJvPoP6NBj41/view
Infinix Smart 9 X6532,Infinix_Smart_9_X6532_MT6768_RU_,3.42 GB,https://drive.google.com/file/d/1gqY6K2ASR_NUk5VmBvX0PTO1TxhdSTQL/view
Infinix Hot 50 X6882B,Infinix_Hot_50_X6882B_MT6789_OP_,6.91 GB,https://drive.google.com/file/d/1TeNU6oyFgJ1TF0jaoXyGKYWnLnA0wWiq/view
Infinix Hot 50 5G X6720B,Infinix_Hot_50_5G_X6720B_MT6835_OP_,6.78 GB,https://drive.google.com/file/d/1jPEJufirL1Ag4_6UJIjVoKBwr2XAwjhm/view
Infinix Smart 3 Plus X627,Infinix_Smart_3_Plus_X627_MT6761_,1.69 GB,https://drive.google.com/file/d/1XEdkH61228g64lExWJJp9Ujcb605Ncsq/view
Infinix Hot 20i X665C,Infinix_Hot_20i_X665C_MT6761_OP_,2 GB,https://drive.google.com/file/d/1Sz7TZQZYmAHjDZjOYtdyRcxeoK7bL1my/view
Infinix Hot 3 X553,Infinix_Hot_3_X553_,1.16 GB,https://drive.google.com/file/d/1x6z4PlMNJaH57FW4JxAaPd1owz_LX7jT/view
Infinix Hot 50 Pro X6880,Infinix_Hot_50_Pro_X6880_MT6789_,4 GB,https://drive.google.com/file/d/11ra_ZGOKhWeV-gYXh_wM9EvedrxR3fCw/view
Infinix Hot 50 Pro X6881,Infinix_Hot_50_Pro_X6881_MT6789_,3.96 GB,https://drive.google.com/file/d/1BYg1mUZv5nHb8YrtbbCs3yJzhdtcEc2s/view
Infinix Hot 50i X6531B,Infinix_Hot_50i_X6531B_MT6768_BASE_,3.55 GB,https://drive.google.com/file/d/1LdKU3bPOQRTK1e4GxFnFqgu_ALNIflj3/view
