Model,File Name,File Size,Download Link
Leagoo LeaPad X,Leagoo_LeaPad_X_MT6580_OS3.0_190319.zip,688 MB,https://drive.google.com/file/d/1T6doX2Fv_EkTFCGxTAhYKQWyxNt2lHyB/view
Leagoo Z9A,Leagoo_Z9A_MT6580_OS3.0_20190218_8.1.0.zip,643 MB,https://drive.google.com/file/d/1SB0ZW1DmGA-sFomtOY4PBYX4X4IGO-ya/view
Leagoo Z5 LTE,Leagoo_Z5_LTE_MT6737M_37M_OS_2.0_20180102_6.0.zip,785 MB,https://drive.google.com/file/d/1AWOcirS0JuUeFKBccfaM2q8tU4AKhSDu/view
Leagoo Z1c,Leagoo_Z1c_SP7731_20170306_6.0.zip,773 MB,https://drive.google.com/file/d/19SALSE67FniZEJKH60Erbb2xmo4fI3VC/view
Leagoo Power 2 Pro,Leagoo_Power_2_Pro_MT6739_OS3.0_15082018_8.1.0.zip,1 GB,https://drive.google.com/file/d/1kcNU3DKUIXJcAB2RXkZCS8BCJMwtF6gM/view
Leagoo T8,Leagoo_T8_MT6750_181122_8.1.0.zip,1.31 GB,https://drive.google.com/file/d/1iAoJkcMB6BQV6Yd-aDX-pwxvI2MyswrO/view
Leagoo Kiicaa Mix,Leagoo_Kiicaa_Mix_MT6750_OS3.0_E_V3.10_20171019.zip,1.40 GB,https://drive.google.com/file/d/1H5fK4CSKILluEojihCk0P40tha0NEDDL/view
Leagoo S11,Leagoo_S11_MT6765_OS6.0_E_20190420_9.0.zip,1.4 GB,https://drive.google.com/file/d/1i67CT4-o_h58On-GSsa6uHN4PfzbjWc_/view
Leagoo M-Pad 10,Leagoo_M-Pad_10_MT6580_20170313.zip,598 MB,https://drive.google.com/file/d/1KDktJdUsqxnlbbRdV30RrRe4MCQt1PQx/view
Leagoo Leapad 7 8,Leagoo_Leapad_7_8_MT6580_20171212_6.0.zip,837 MB,https://drive.google.com/file/d/1M3T1tJIpJBQ38adRMeacwmQaQ1kGv_2m/view
Leagoo Z20,Leagoo_Z20_V01_20200907_8.1_SPD.zip,825 MB,https://drive.google.com/file/d/1c_pG7kInO8okwVcB6gDj9EI2yevU-cMS/view
Leagoo Leapad 10,Leagoo_Leapad_10_MT6580_20170614_WLT.zip,572 MB,https://drive.google.com/file/d/17n_qlNLyg_I_5VXeYIB8C_aDKV0d7sfr/view
Leagoo Z10,Leagoo_Z10_MT6580_OS5.0_E_20190517.zip,709 MB,https://drive.google.com/file/d/1Y372p1VPtT1FkPd1gesQlKqy0SC2jlK9/view
Leagoo S8 Pro,Leagoo_S8_Pro_MT6757_OS4.0_E_20171124.zip,2 GB,https://drive.google.com/file/d/1w556cuu8MFZm2UaC1Ymob9QPSk5dUvDH/view
Leagoo Mobe B5,Leagoo_Mobe_B5_MT6580_V1.01_20170426.zip,898 MB,https://drive.google.com/file/d/1KVn1Q3rF9fxLC1Bo5oFEj8WOldJbz50d/view
Leagoo M13,Leagoo_M13_MT6761_OS6.0_20190413.zip,1 GB,https://www.mediafire.com/file/h55kz785ieeymsj/Leagoo_M13_MT6761_OS6.0_20190413.zip/file
Leagoo M12,Leagoo_M12_MT6739_OS5.0_E_20190813.zip,1 GB,https://drive.google.com/file/d/1Uz0cbHTyW54XeDwm_UsdN2U4NQccr2GA/view
Leagoo M10,Leagoo_M10_MT6739_OS3.0_E_20190219.zip,828 MB,https://drive.google.com/file/d/1H8eW5Hi7qDPoyh3uSRJwuR1jIzFvQDGu/view
Leagoo M9,Leagoo_M9_MT6580_OS2.1_E_20171227.zip,2 GB,https://drive.google.com/file/d/1X5z_o8ETe8DpK0JFaMpJT7AaPBvP5WEz/view
Leagoo Leapad 10S,Leagoo_Leapad_10S_MT6737M_v1.1G_1_16_v1.5_20200111.zip,952 MB,https://drive.google.com/file/d/1TmGdwCZPnEUj0XEq4zqi0qQYasmoJHhu/view
Leagoo K450,Leagoo_K450_MT6582_08092014.zip,457 MB,https://drive.google.com/file/d/1_D1BWix92ct3j3g1-2urTS8qyBsWCsdT/view
Leagoo M11,Leagoo_M11_MT6739_180927_8.1.0_OTA.zip,1.31 GB,https://www.mediafire.com/file/4bdi1mt6l8j1ri9/Leagoo_M11_MT6739_180927_8.1.0_OTA.zip/file
