Model,File Name,File Size,Download Link
Micromax 50 Canvas 3,Micromax_50_Canvas_3_TP.MT5510I.PC821.zip,269 MB,https://drive.google.com/file/d/122WFotPSbOtE-KdGJSzcaQTcYz7sMsZA/view
Micromax L50 Canvas 3,Micromax_L50_Canvas_3_Software_Wireless_Display.zip,752 MB,https://drive.google.com/file/d/1nybd8wdE8qSowIE1fxNsdTNgpZ3f3zI1/view
Micromax IN 1B E6523-R,Micromax_IN_1B_E6523-R_MT6765_SW_V12.0_HW_V2.0_230322.zip,1.29 GB,https://drive.google.com/file/d/1-JcBNZfwi99NrBaqhdcOgI5TGJ41WbEY/view
Micromax IN 1B E7533-R,Micromax_IN_1B_E7533-R_MT6765_SW_V25.0_HW_V2.0_140622.zip,1.76 GB,https://drive.google.com/file/d/1AbbR1wn9lJTWJlBrT3SubR1a9ZziJEUj/view
Micromax Q4151,Micromax_Q4151_RU_SW_,1.29 GB,https://drive.google.com/file/d/1yWbjJxqaG7fdnaH7_M8oRZLSV1TJwC9n/view
Micromax Canvas Juice 4,Micromax_Canvas_Juice_4_SW_V8.0.9_HW_V1.0.0_241215_SPD.zip,916 MB,https://drive.google.com/file/d/1qUkkO5HA8gPE3AhMZJEsHTkfhknmYW9o/view
Micromax Canvas Infinity Pro,Micromax_Canvas_Infinity_Pro_SW_V11_HW_V1.0_092317_QPST.zip,1.65 GB,https://drive.google.com/file/d/16_Iec75a-KFQfrbu4MtoZJGgjfoWjSn_/view
Micromax IN 2C E6533,Micromax_IN_2C_E6533_SW_,1.92 GB,https://drive.google.com/file/d/1E5mVy5_2SWzVfCJK-ElPXMk6iNztzGfk/view
Micromax IN Note 2 E7446,Micromax_IN_Note_2_E7446_MT6785_SW_V15.0_HW_2.0_211125.zip,2.17 GB,https://www.mediafire.com/file/ybts6bgm9cjtl32/Micromax_IN_Note_2_E7446_MT6785_SW_V15.0_HW_2.0_211125.zip/file
Micromax Bolt Q341,Micromax_Bolt_Q341_SP7731GEA_RU_SW_V1.1.2_HW_V1.1.0_07062016_5.1_MIRA.zip,736 MB,https://drive.google.com/file/d/181wt2tjzhiUGp-2HGiPSnh7EsRYJEd44/view
Micromax Bharat 5 Infinity Edition Q4204,Micromax_Bharat_5_Infinity_Edition_Q4204_MT6739_SW_V09_HW_V2.0_20180927.zip,798 MB,https://drive.google.com/file/d/1Nlb_Z2pxTv98gfh2hRCjETjCzq-FI7h9/view
Micromax Infinity N11 N8216,Micromax_Infinity_N11_N8216_MT6765_SW_V08_HW_V2.0_190219.zip,1.57 GB,https://drive.google.com/file/d/1R51PF-WWVLcisv8uj8L7mN075limMD9J/view
Micromax iOne,Micromax_iOne_SW_V15_HW_V3.0_210414_SPD.zip,1.4 GB,https://www.mediafire.com/file/g3sagjcucjjudgh/Micromax_iOne_SW_V15_HW_V3.0_210414_SPD.zip/file
