Model,File Name,File Size,Download Link
MpMan MID7C,MpMan_MID7C_97C3-T0-S3-H01-1359-V1_FWDN.zip,82 MB,https://drive.google.com/file/d/1Rce83lIrfIfdC-DlcTx9RT_tc-ZREtZj/view?usp=sharing
MpMan MP720,MpMan_MP720_And2.2_FWDN.zip,75 MB,https://drive.google.com/file/d/1bxsU86DGE38HIvjaXupFwDqmcQ43eS2N/view?usp=sharing
MpMan MP827,MpMan_MP827_Innolux_Screeen_FWDN.zip,2.70 GB,https://drive.google.com/file/d/1b6kxwQQtcZu6cs-KjsSzAd4Q9fszprF9/view?usp=sharing
MpMan MPDC97,MpMan_MPDC97_ENG_160713_4.1.1_RBT.zip,204 MB,https://drive.google.com/file/d/1CCTmfyb9s66hYKnGxixLtUDQjAvd4xLS/view
MpMan MID1001,MpMan_MID1001_A10_K100_M1005KL2_1307319_130806_PS.zip,407 MB,https://firmwaredrive.com/index.php?a=downloads&b=file&id=10331
MpMan MPQC974,MpMan_MPQC974_ENG_131111_4.2.2_APPT.zip,270 MB,https://firmwaredrive.com/index.php?a=downloads&b=file&id=10371
MpMan MPQC973,MpMan_MPQC973_131120_4.1.1_APPT.zip,261 MB,https://firmwaredrive.com/index.php?a=downloads&b=file&id=10369
MpMan MPQC804,MpMan_MPQC804_ENG_FR_PDF_14333_130709_4.1.1_APPT.zip,253 MB,https://firmwaredrive.com/index.php?a=downloads&b=file&id=10367
MpMan MPQC785,MpMan_MPQC785_IPS_ENG_GooglePlay_210813_4.1.1_APPT.zip,260 MB,https://firmwaredrive.com/index.php?a=downloads&b=file&id=10365
MpMan MPQC784,MpMan_MPQC784_IPS_ENG_Opera_GooglePlay_131119_4.2.2_APPT.zip,264 MB,https://firmwaredrive.com/index.php?a=downloads&b=file&id=10364
MpMan MPQC783,MpMan_MPQC783_IPS_ENG_211013_4.1.1_APPT.zip,298 MB,https://www.mediafire.com/file/scptpn8lrnd74kn/MpMan_MPQC783_IPS_ENG_211013_4.1.1_APPT.zip/file
MpMan MPQC704,MpMan_MPQC704_130709_4.1.1_APPT.zip,251 MB,https://www.mediafire.com/file/9p4r0mlyvfs79ft/MpMan_MPQC704_130709_4.1.1_APPT.zip/file
MpMan MPQC1114,MpMan_MPQC1114_GooglePlay_130724_4.1.1_APPT.zip,257 MB,https://www.mediafire.com/file/zcmihob7hxqbbrz/MpMan_MPQC1114_GooglePlay_130724_4.1.1_APPT.zip/file
MpMan MPQC1004,MpMan_MPQC1004_ENG_130806_4.1.1_APPT.zip,261 MB,https://www.mediafire.com/file/ivokzgsq5mrb82f/MpMan_MPQC1004_ENG_130806_4.1.1_APPT.zip/file
MpMan MPDC905,MpMan_MPDC905_140105_APPT.zip,276 MB,https://firmwaredrive.com/index.php?a=downloads&b=file&id=10357
MpMan MPDC99,MpMan_MPDC99_BT_IPS_Opera_130607_RBT.zip,209 MB,https://firmwaredrive.com/index.php?a=downloads&b=file&id=10350
MpMan MPDC8,MpMan_MPDC8_220613_RBT.zip,206 MB,https://firmwaredrive.com/index.php?a=downloads&b=file&id=10345
MpMan MPDC88,MpMan_MPDC88_BT_IPS_ENG_Opera_130304_4.1.1_RBT.zip,204 MB,https://firmwaredrive.com/index.php?a=downloads&b=file&id=10348
MpMan MPDC77,MpMan_MPDC77_BT_ENG_Opera_130222_4.1.1_RBT.zip,221 MB,https://firmwaredrive.com/index.php?a=downloads&b=file&id=10347
MpMan MPDC110,MpMan_MPDC110_ENG_130306_RBT.zip,220 MB,https://firmwaredrive.com/index.php?a=downloads&b=file&id=10352
MpMan MP7007,MpMan_MP7007_ENG_Opera_130318_4.1.1_RBT.zip,219 MB,https://www.mediafire.com/file/0gadauro4oxjnfg/MpMan_MP7007_ENG_Opera_130318_4.1.1_RBT.zip/file
MpMan MPDC100,MpMan_MPDC100_160713_RBT.zip,205 MB,https://www.mediafire.com/file/ijlv9rko52ddbxr/MpMan_MPDC100_160713_RBT.zip/file
MpMan MPDC903,MpMan_MPDC903_A20_K901_K901C_1311248_140314_PS.zip,271 MB,https://www.mediafire.com/file/n0z82wqu84dh7cg/MpMan_MPDC903_A20_K901_K901C_1311248_140314_PS.zip/file
MpMan MPDC706,MpMan_MPDC706_HD_A23_86DZ_D701HC_140917_PS.zip,321 MB,https://www.mediafire.com/file/sfrhnlrrkkz7vmw/MpMan_MPDC706_HD_A23_86DZ_D701HC_140917_PS.zip/file
MpMan MPDC112,MpMan_MPDC112_BT_IPS_ENG_4.2.2_Opera_1308045_130824_PS.zip,284 MB,https://www.mediafire.com/file/d1u3jik8ttgdzm1/MpMan_MPDC112_BT_IPS_ENG_4.2.2_Opera_1308045_130824_PS.zip/file
MpMan MPDC1006,MpMan_MPDC1006_A23_8GB_16GB_140909_PS.zip,314 MB,https://firmwaredrive.com/index.php?a=downloads&b=file&id=10358
MpMan MP9 Quad,MpMan_MP9_Quad_A33_U98C_U902C_1505007_PH_PDF_FR_ENG_150518_4.4.2_PS.zip,293 MB,https://firmwaredrive.com/index.php?a=downloads&b=file&id=10333
MpMan MP969,MpMan_MP969_ENG_131105_4.2.1_LS.zip,436 MB,https://firmwaredrive.com/index.php?a=downloads&b=file&id=10340
MpMan MP959,MpMan_MP959_03F2-P1-H2-H01-2274_120614_LS.zip,204 MB,https://firmwaredrive.com/index.php?a=downloads&b=file&id=10339
MpMan MP888,MpMan_MP888_ENG_050313_4.1.1_LS.zip,204 MB,https://firmwaredrive.com/index.php?a=downloads&b=file&id=10338
MpMan MP843,MpMan_MP843_PlayStore_120822_LS.zip,237 MB,https://firmwaredrive.com/index.php?a=downloads&b=file&id=10337
MpMan MP718,MpMan_MP718_ENG_Oprea_Google_Market_120307_4.1.1_LS.zip,354 MB,https://firmwaredrive.com/index.php?a=downloads&b=file&id=10336
MpMan MP700,MpMan_MP700_GooglePlay_130115_4.0.4_LS.zip,239 MB,https://firmwaredrive.com/index.php?a=downloads&b=file&id=10335
MpMan MP444,MpMan_MP444_A13_LCD_12_121024_LS.zip,225 MB,https://firmwaredrive.com/index.php?a=downloads&b=file&id=10334
MpMan MP1047,MpMan_MP1047_01F2-R1-H2-H01-2275_120614_LS.zip,202 MB,https://firmwaredrive.com/index.php?a=downloads&b=file&id=10343
MpMan MP1010,MpMan_MP1010_ENG_Oprea_130305_4.0.4_LS.zip,315 MB,https://firmwaredrive.com/index.php?a=downloads&b=file&id=10342
MpMan MP1000,MpMan_MP1000_01F2-R1-H2-H01-2275_120614_LS.zip,202 MB,https://firmwaredrive.com/index.php?a=downloads&b=file&id=10341
MpMan MID84C,MpMan_MID84C_18F2-D1-H1-M01-1729_120407_LS.zip,203 MB,https://firmwaredrive.com/index.php?a=downloads&b=file&id=10112
MpMan MID82C,MpMan_MID82C_ENG_PlayStore_230513_LS.zip,355 MB,https://firmwaredrive.com/index.php?a=downloads&b=file&id=10111
MpMan MID801,MpMan_MID801_ENG_130807_4.2.2_LS.zip,418 MB,https://firmwaredrive.com/index.php?a=downloads&b=file&id=10117
