Model,File Name,File Size,Download Link
Nokia C32 TA-1542,Nokia_C32_TA-1542_231024_SPD.zip,2.90 GB,https://drive.google.com/file/d/17-NGHcC38GVA--x9bUpmxroZPG5pKw7Y/view?usp=sharing
Nokia C32 TA-1558,Nokia_C32_TA-1558_231024_SPD.zip,2.90 GB,https://drive.google.com/file/d/1K2BVhGOaBYrNwB33s5sOMmNrh5eaQAcu/view?usp=sharing
Nokia C30,Nokia_C30_HMDSW_MNR_191C-0-00WW-B01_User_DeviceKit.zip,1.35 GB,https://drive.google.com/file/d/1hvEX-JdC5pghZeZydht0dMhfzlsvl32y/view?usp=sharing
Nokia T20 TA-1397,Nokia_T20_TA-1397_A13_335C-0-00WW-B01_SPD.zip,2.88 GB,https://drive.google.com/file/d/1XX8Qdh6YSyvjgBU9YatAQcchtueWs30a/view?usp=sharing
Nokia C22,Nokia_C22_HMDSW_HKE_166B-0-00WW-B01_User_DeviceKit.zip,2.30 GB,https://drive.google.com/file/d/1xepdGChk_1NPzadTBolaelstAn82vWkC/view?usp=sharing
Nokia C20 Plus TA-1388,Nokia_C20_Plus_TA-1388_HMDSW_Sirius-1050-0-00CN-B01_User_DeviceKit.zip,1.73 GB,https://drive.google.com/file/d/17hmuycIEhuXwLuwISNp9sXte70gyiPQR/view?usp=sharing
Nokia C20 Plus,Nokia_C20_Plus_HMDSW_Sirius-114H-0-00IN-B01_User_DeviceKit.zip,1.34 GB,https://drive.google.com/file/d/1Vu5aHo0085dtXOPZsjrc8aT8ZDpUHqwm/view?usp=sharing
Nokia C21,Nokia_C21_HMDSW_COR_128A_0_00WW_B01_User_DeviceKit.zip,1.21 GB,https://drive.google.com/file/d/1LI8gTqOATELCBZ3mNUZ1_FbAZhO8RwlI/view?usp=sharing
Nokia C21 TA-1352,Nokia_C21_TA-1352_HMDSW_COR_1070_0_00WW_B01_User_DeviceKit.zip,1.27 GB,https://drive.google.com/file/d/1eMfg5ELyTH8bCaWwdw0v8ewUCLaUjAYk/view?usp=sharing
Nokia C1,Nokia_C1_HMDSW_IRU-122H-0-00WW-B01-User_DeviceKit.zip,1.15 GB,https://drive.google.com/file/d/1H1DYuQizXIx-7AQL8Ql9P2lcOFwnuYF3/view?usp=sharing
Nokia C1 Plus,Nokia_C1_Plus_HMDSW_Yondu-108A-0-00WW-B01_User_DeviceKit.zip,1.28 GB,https://drive.google.com/file/d/1LjMIk1loYNO7O6Id9oS0t4-XTJ3OJ_pi/view?usp=sharing
Nokia C1 Plus TA-1335,Nokia_C1_Plus_TA-1335_HMDSW_Yondu-1020-0-00CN-B01_User_DeviceKit.zip,1.57 GB,https://drive.google.com/file/d/1egZIuSnjtMckjEaqWxUzZa8ou3oxbVM3/view?usp=sharing
Nokia C10,Nokia_C10_HMDSW_MNT_189B-0-00WW-B01_User_DeviceKit.zip,1.16 GB,https://drive.google.com/file/d/1A7NP30bI2ytbi4wU899mtM0miwieoAgj/view?usp=sharing
Nokia G42,Nokia_G42_HMDSW_SDW_235C-0-00WW-B01_User_DeviceKit.zip,3.11 GB,https://drive.google.com/file/d/1b68QB0cveC_6vYDXYknMPe8ad7KYpV67/view?usp=sharing
Nokia G310,Nokia_G310_HMDSW_SDT_155C-0-04US-B01_User_DeviceKit.zip,3.19 GB,https://drive.google.com/file/d/1v-DrdarN4FCHpF0aeKe8mKrN7I7pt-aV/view?usp=sharing
Nokia 120 4G,Nokia_120_4G_HMDSW_NVA_160B-0-00WW-B01_User_DeviceKit.zip,1.94 GB,https://drive.google.com/file/d/1NE5bIve09wOWeHXSRcUs4sdZLzamqqdw/view?usp=sharing
Nokia C12 Pro,Nokia_C12_Pro_HMDSW_NVA_160B-0-00WW-B01_User_DeviceKit.zip,1.94 GB,https://drive.google.com/file/d/1PfsS-xAPeKpIzhzyj_svrc4oJuuLX7-8/view?usp=sharing
Nokia C100,Nokia_C100_MT6761_HMDSW_DKTCC_1030-0-06US-B01_User_DeviceKit.zip,1.95 GB,https://drive.google.com/file/d/1K_NvP9OExCG93ZMkitP-cLLDx9CzrYXp/view?usp=sharing
Nokia C200,Nokia_C200_MT6761_HMDSW_DRK_1020-0-02US-B01_User_DeviceKit.zip,2 GB,https://drive.google.com/file/d/1MZZ2Pdb97cVf97aJZ9TcLcrZ2AtZJvHy/view
Nokia C32,Nokia_C32_MKD_179A-0-00WW-B01_XML-CFG-JSON_SPD.zip,2.74 GB,https://drive.google.com/file/d/1-2_wUPpJOzmMlfWU3dDY08O1MX6mXr0-/view
Nokia 2720 Flip 4G,Nokia_2720_Flip_4G_Dual_SIM_MSM8909_22.02.17.01_20200609_6.0.1_QPST.zip,284 MB,https://drive.google.com/file/d/1AcI5WAA2hDd_Dm8XKXYbvGnuvCIN65AB/view
Nokia 800 Tough,Nokia_800_Tough_MSM8909_SW_V20.00.17.03_20191207_6.0.1_QPST.zip,278 MB,https://drive.google.com/file/d/1tO1NN0NmDdzGOfruc5r0N05xfSwH9fwC/view
Nokia 2720 Flip TA-1168,Nokia_2720_Flip_TA-1168_20.00.17.01_QFIL.zip,280 MB,https://drive.google.com/file/d/1qivKbtSXdTC8WndLPMkiIbF3UeHtW7D6/view
Nokia 2720 Flip TA-1170,Nokia_2720_Flip_TA-1170_20.00.17.01_QFIL.zip,280 MB,https://drive.google.com/file/d/1ApfY4Ong3Dz5ysofWmF0HgirJ_4m23FX/view
Nokia 2720 Flip TA-1173,Nokia_2720_Flip_TA-1173_10.00.17.07_QFIL.zip,278 GB,https://drive.google.com/file/d/1_W2RP-0RzuVPQqnqf8fG0_mNAMRl3vo5/view
Nokia 2720 Flip TA-1175,Nokia_2720_Flip_TA-1175_10.00.17.07_QFIL.zip,278 MB,https://drive.google.com/file/d/12EyxHpPp6xrs3qJSiG2tbIliO3mV2lbx/view
Nokia 8110 4G TA-1048,Nokia_8110_4G_TA-1048_17.00.17.01_23ARG10ROW1_QFIL.zip,287 MB,https://drive.google.com/file/d/14ZM9HXGl9__mLgziQHmbZiKVPmXUBEdU/view
Nokia 8110 4G TA-1071,Nokia_8110_4G_TA-1071_16.00.17.00_23ARG05ROW1_QFIL.zip,287 MB,https://drive.google.com/file/d/1LWSgfx0TMFL7y6Kt2T0x1JZH-n6zJFQt/view
Nokia C32 TA-1534,Nokia_C32_TA-1534_HMDSW_MKD_1740-0-00WW-B01_User_DeviceKit.zip,2.90 GB,https://drive.google.com/file/d/1nTIp7TDXiKos2MOixH5jYE3bzAUZBd0A/view
Nokia C300,Nokia_C300_HMDSW_ORT_1150-0-02US-B01_User_DeviceKit.zip,2.52 GB,https://drive.google.com/file/d/1xtB8MeGdnTMRezLeA1Aej_-zzSh4kG9-/view
Nokia C110,Nokia_C110_HMDSW_DGF_1310-0-02US-B01_User_DeviceKit.zip,2.23 GB,https://drive.google.com/file/d/1i8KOBpqXTDsGrRH06iRPwHzyrDUFmCDp/view
Nokia 215 4G DS TA-1272,Nokia_215_4G_DS_TA-1272_UMS9117_17.00.17.00_240X320BAR_64MB_NQ2_BD_SEC_EI_23QEN72RU00_FSPD.zip,21 MB,https://drive.google.com/file/d/1IcAsOi3XSoQFKILIqVbxbW7Bu4ui-_p2/view
Nokia X100 TA-1399,Nokia_X100_TA-1399_HMDSW_DM5_165C-0-04US-B01_User_DeviceKit.zip,2.57 GB,https://drive.google.com/file/d/1p58SmHFyw9VVEoFRjRhpADpjjZVauftk/view
Nokia C32 TA-1548,Nokia_C32_TA-1548_MDSW_1740-0-00WW-B01_SPD.zip,2.89 GB,https://drive.google.com/file/d/1htzlwKRVC89xBeudAhld_-CVmZrhotW3/view
Nokia G22,Nokia_G22_HMDSW_SFI_252A_0_00WW_B01_User_DeviceKit.zip,2.46 GB,https://drive.google.com/file/d/1rOL96weSdZyA1CrzwOAAv9m6dw9-6ctG/view
Nokia T20 TA-1392,Nokia_T20_TA-1392_HMDSW_2260_0_00WW_B01_User_DeviceKit.zip,2.49 GB,https://drive.google.com/file/d/1e9mI90x6StcLIpZIWUHZV71wy6Njze2D/view
Nokia C12,Nokia_C12_Nova_00WW_210812_12_OTA.zip,162 MB,https://drive.google.com/file/d/17cbufqZCka8hQhLmAVln66AQZ70Du4fA/view
