Model,File Name,File Size,Download Link
Nubia V60 Design,Nubia_V60_Design_GEN_LA_P606F10V1.0.0B07_DL_SPD.zip,3.51 GB,https://drive.google.com/file/d/1o4IsC9r7GxFbtUZSvGltqXZ0dWKcMKYa/view?usp=sharing
Nubia Z9 Mini NX511J,Nubia_Z9_Mini_NX511J_MSM8916_Z0_CN_CSXPK1JF00J314_20150706_5.0.2_QPST.zip,1 GB,https://drive.google.com/file/d/1eMlo9HpPMfv081zDS7D4SQsD0R9i6v_Z/view
Nubia Z5S Mini LTE NX404H,Nubia_Z5S_Mini_LTE_NX404H_MSM8226_Z97_ES_ESZNIAHD11G108_20141028_4.3_QPST.zip,721 MB,https://drive.google.com/file/d/1Xr-qHX54MbYEithTPFDBoto3OB_5X1u4/view
Nubia My Prague NX513J,Nubia_My_Prague_NX513J_Z109_CSXPK1ID00J108_20150902.zip,736 MB,https://drive.google.com/file/d/1ue65m8gdj9H8WHohylwDChRLv8qu3wno/view
Nubia Z60 Ultra NX721J,Nubia_Z60_Ultra_NX721J_468860B18MR67_MyOS14.0.18MR_OTA.zip,5.95 GB,https://drive.google.com/file/d/1NuwwGohSpFDBjCJGV9IOM3cN6PYYF1fw/view
Nubia Z50S Pro NX713J,Nubia_Z50S_Pro_NX713J_459150B1711MyOS13.5.17MR_OTA.zip,6.03 GB,https://drive.google.com/file/d/1jl07HeIymDm-pAENag5iJ42qqlelM519/view
Nubia Z40S Pro NX702J,Nubia_Z40S_Pro_NX702J_MyOS12.0.18MR4_OTA.zip,5.09 GB,https://drive.google.com/file/d/1IyJ1jL9XceHImXFOZIOvaHpG7np5ckFb/view
Nubia Z50 Ultra NX712J,Nubia_Z50_Ultra_NX712J_MyOS13.0.12MR2_OTA.zip,5.67 GB,https://drive.google.com/file/d/1oJ164x71iBTQZBA8IrMXgyYiV4VlclzZ/view
Nubia Z50 5G NX711J,Nubia_Z50_5G_NX711J_MyOS13.0.13MR_CN_PQ82A01_221013_13_OTA.zip,5.56 GB,https://drive.google.com/file/d/1j_J2dSZXf5t-xTbQQKZ2kaq92GExmuj9/view
Nubia Z40 Pro NX701J,Nubia_Z40_Pro_NX701J_MyOS12.0.21MR3_220819_12_OTA.zip,5.23 GB,https://drive.google.com/file/d/1ZcVnkxNV_dDdeLXkfywsrslTHLns-QQo/view
Nubia Z17S NX595J,Nubia_Z17S_NX595J_EN_VNG0N_V106_OTA.zip,2.34 GB,https://drive.google.com/file/d/1FSmmUqcjlcHVuvH381e15g0DlZ5n3hOr/view
Nubia Z17 NX563J,Nubia_Z17_NX563J_6.28_OTA.zip,2.3 GB,https://drive.google.com/file/d/1shhBt_29n53kNfT3Pz-xidbtcLzfHe5j/view
Nubia M2 Lite NX573J,Nubia_M2_Lite_NX573J_MT6750_240817.zip,404 MB,https://drive.google.com/file/d/19QdHW1XDvBSbS3kiAT_iJGcQ6XbqQCUr/view
Nubia Play 5G NX651J,Nubia_Play_5G_NX651J_OTA.zip,3 GB,https://drive.google.com/file/d/1WbwbfOO4h5ofBlshdiUrlsLz15YaIj-f/view
Nubia Z17 Mini,Nubia_Z17_Mini_NX569J_MSM8952_05052017_QFIL.zip,1.8 GB,https://drive.google.com/file/d/1rvZH0sqaEAueTiekKIlCxHc3QAQGCTMq/view
Nubia V18 NX612J,Nubia_V18_NX612J_OTA.zip,2 GB,https://drive.google.com/file/d/1az4wBLp4naDLF5g4Ok6thYPLNxpDik1X/view
Nubia Z17 Lite Mini S,Nubia_Z17_Lite_Mini_S_NX612_OTA.zip,2 GB,https://drive.google.com/file/d/1KVCpJ9-eaWg6TTYfkBO4KNb-BK_t9lPQ/view
Nubia N5S,Nubia_N5S_MT6589_03112015_4.2.2.zip,369 MB,https://drive.google.com/file/d/1I6bz4BMUiuWWPYYY3PNY8_qsxQxgHNK7/view
