Model,File Name,File Size,Download Link
Onda V891,Onda_V891_080515_IPFT.zip,746 MB,https://drive.google.com/file/d/1Naz9-foSp8lj99UEzigz-a2EcAFnt0ga/view
Onda V891W,Onda_V891W_DualOS_V5_150519_IPFT.zip,532 MB,https://drive.google.com/file/d/1k1Qca3aUr31pSV6Xsw0C-VGXHn2RulEN/view
Onda V919 4G Air,Onda_V919_4G_Air_MT6752_Core8_v1.0.0_240315.zip,404 MB,https://drive.google.com/file/d/1gw36NIgrlGREsdFkxugV6WAuPi65LzRV/view
Onda V819 3G,Onda_V819_3G_MT6589_v1.0.2_191013.zip,642 MB,https://drive.google.com/file/d/1EfwGaYGCgHxtLV0shanTlSyh3VExVuxg/view
Onda V812,Onda_V812_Core4_v3.3.1_191113_PS.zip,412 MB,https://drive.google.com/file/d/1o8sphqhL2eV2IcGYRQa974GCBcI05iFj/view
Onda A31,Onda_A31_809Q9_V2.0_130711_PS.zip,234 MB,https://drive.google.com/file/d/19JiaWV6tBq-2rXTzazHnsr6S2nRcMtlo/view
Onda V971TD,Onda_V971TD_V3.1_19032013_OTA.zip,311 MB,https://drive.google.com/file/d/1qdpw7BulTp7tj66dzZYh56hJS5AnwdY0/view
Onda V971S,Onda_V971S_Core4_v4.4_RC.zip,470 MB,https://drive.google.com/file/d/1A6jRuAQrEbHatNcGgeQR5yn6t9KPr85X/view
Onda V820W,Onda_V820W_05142015_4.4.zip,544 MB,https://drive.google.com/file/d/1V9yc0rixd1TIMjPDP-SYC1wpvDijjSTC/view
Onda V819i,Onda_V819i_4.2_QFil.zip,623 MB,https://drive.google.com/file/d/1qmS3BvmpybfYiEIoSme2T054Q68AlovM/view
Onda V801S,Onda_V801S_20150402_4.2.2_QFil.zip,602 MB,https://drive.google.com/file/d/1sp0-zKrbPBtfZz3XBpM1PLE9_izLGQPT/view
Onda V975i,Onda_V975i_4.2.2_OTA.zip,715 MB,https://drive.google.com/file/d/1jq9yyqSSjzogUrJ-Qeu4MQfI7bVnxRQD/view
