Model,File Name,File Size,Download Link
OnePlus Nord CE4 Lite 5G CPH2621,OnePlus_Nord_CE4_Lite_5G_CPH2621_GDPR_11_15.0.0.400EX01_241230_QFIL.zip,7.52 GB,https://drive.google.com/file/d/1x7tBMJokQG3No0NFznoXntyvamRcVHeT/view?usp=sharing
OnePlus Nord 4 CPH2663,OnePlus_Nord_4_CPH2663_GDPR_11_14.1.0.605EX01_241112_QFIL.zip,8.63 GB,https://drive.google.com/file/d/1GkeJIh2-8H4LkYShv0hgOLmjU11n87-K/view?usp=sharing
OnePlus 9 Pro LE2123,OnePlus_9_Pro_LE2123_GDPR_11_,4.87 GB,https://drive.google.com/file/d/1ypsmoCoo8cJvoakpF3Sncn7Oi3BUx1UZ/view?usp=sharing
OnePlus 12R 5G CPH2585,OnePlus_12R_5G_CPH2585_11_14.0.0.321EX01_240227_QFIL.zip,7.71 GB,https://drive.google.com/file/d/1fESrht6NsCK4FF1hK_W-EDTpYWsgje-D/view?usp=sharing
OnePlus Watch 3 OWWE251,OnePlus_Watch_3_OWWE251_11_,2.21 GB,https://drive.google.com/file/d/1oGTZlrS2d5_axD-G-JxMz-O-mEDBYOM7/view?usp=sharing
OnePlus Watch 2R OWWE231,OnePlus_Watch_2R_OWWE231_11_,2.12 GB,https://drive.google.com/file/d/1SZzDbSKfXy7MIm7q0F2EClCEaOeSLytt/view?usp=sharing
OnePlus Pad Pro OPD2404,OnePlus_Pad_Pro_OPD2404_Domestic_11_15.0.0.400CN01_CN_20241230_QPST.zip,7.85 GB,https://drive.google.com/file/d/1qsMkoV8CzZZT85hVLl41xJvV7MMXFB7B/view?usp=sharing
OnePlus Pad Neo OPD2303,OnePlus_Pad_Neo_OPD2303_MT6789_EX_11_,9.22 GB,https://drive.google.com/file/d/1i-xIivD_xyOaCbJj3Dhddmn1rfWMH0b4/view?usp=sharing
OnePlus Pad 2 OPD2403,OnePlus_Pad_2_OPD2403_EX_11_14.1.0.229EX01_IN_20240723_QPST.zip,6.83 GB,https://drive.google.com/file/d/1KNfyniiD3RmotpkRivbiWO2wnheDiEZ6/view?usp=sharing
OnePlus Pad Go OPD2305,OnePlus_Pad_Go_OPD2305_MT6789_EX_11_,4.49 GB,https://drive.google.com/file/d/1Wj0lRwv1sifUN7zEPCgXb4Pq7IbB1eaW/view?usp=sharing
