Model,File Name,File Size,Download Link
Posh X551,Posh_X551_MT6580_V04_20160125.zip,640 MB,https://drive.google.com/file/d/1RS_Pk9vofl6GrlB_Kb-KCk15PveMaUru/view
Posh X510B,Posh_X510B_MT6582_V03_20150522.zip,352 MB,https://drive.google.com/file/d/1KFRZgt5LBrROzZtUYV9KniHSU_QYlD_I/view
Posh S900B,Posh_S900B_MT8312CW_V08_20151027.zip,370 MB,https://drive.google.com/file/d/1AucgJEPL4Jgp-G3YREkVNWRiT83LeFaA/view
Posh S500A,Posh_S500A_MT6572_S21_150314.zip,419 MB,https://drive.google.com/file/d/1BjhXwo-s77DVJMwBLlHuwpaxfo_A2tJY/view
Posh S500B,Posh_S500B_MT6572_V07_20141219.zip,415 MB,https://drive.google.com/file/d/1sQk_lAqET7kbo0rHsHak_bGO3Z1EIUmJ/view
Posh S410B,Posh_S410B_MT6572_V03_150805.zip,375 MB,https://drive.google.com/file/d/1TXGrfcbCrptehXhYObe6BceVQD0TdWzI/view7
Posh S410A,Posh_S410A_MT6572_V04_150801.zip,376 MB,https://drive.google.com/file/d/1O-35MbgxHk2qz-QCS3wgu_A4fFuol0ur/view
Posh S240B,Posh_S240B_MT6572_V10_20160518,421 MB,https://drive.google.com/file/d/11uqeACfMHdVvsZOqFgDPU66sa-5-CYHv/view
Posh Icon Pro HD X551,Posh_Icon_Pro_HD_X551_MT6580_V04_160125.zip,640 MB,https://drive.google.com/file/d/1eUUS5jQU3cCgcwsF6z79spimW0yhwp-8/view
Posh Equal Max S900,Posh_Equal_Max_S900_MT8312CW_V08_151027.zip,369 MB,https://drive.google.com/file/d/1QQNX2e1YRsJcoU9abLcWi-ENZWTmz1Hj/view
Posh Titan Max HD E550,Posh_Titan_Max_HD_E550_MT6592_V08_151214.zip,497 MB,https://firmwaredrive.com/index.php?a=downloads&b=file&id=65516
Posh Titan Max HD E600,Posh_Titan_Max_HD_E600_MT6592_,493 MB,https://drive.google.com/file/d/1usxWZsTho4sPay1yP3MLsWfwDofBPeE6/view
Posh Titan Pro HD E550,Posh_Titan_Pro_HD_E550_MT6592_,497 MB,https://firmwaredrive.com/index.php?a=downloads&b=file&id=65520
Posh Orion Max X550A,Posh_Orion_Max_X550A_MT6582_,449 MB,https://www.mediafire.com/file/5p9199f3l6p85sv/Posh_Orion_Max_X550A_MT6582_V07_140904.zip/file
Posh Equal S700B,Posh_Equal_S700B_MT6582_,512 MB,https://firmwaredrive.com/index.php?a=downloads&b=file&id=65505
Posh Equal S700A,Posh_Equal_S700A_MT6582_,512 MB,https://drive.google.com/file/d/1pp7sNxIAcO8ZpvpCv_jwfn4XoePglj6m/view
Posh Revel Max LTE L551,Posh_Revel_Max_LTE_L551_MT6737_V07_20170104_6.0.zip,1 GB,https://drive.google.com/file/d/15w3Imo9IiXwIZzEltxJ2WDyxAK1xbohj/view
Posh L600,Posh_L600_MT6735M_20180727_5.1.zip,769 MB,https://drive.google.com/file/d/1bzhb_jcADSUj2wjalvz9764NN3RLLZGF/view
