Model,File Name,File Size,Download Link
Smile Q6 CA,Smile_Q6_CA_MT6572_191028_6.0.zip,369 MB,https://drive.google.com/file/d/1WGijsDN7nRrc6PunjJtjlNzCppbxnl69/view
Smile Q8 Plus,Smile_Q8_Plus_MT6580_V1.0.6_271118_5.1.zip,584 MB,https://drive.google.com/file/d/1OKJg93xbFvsLnHO3BlmGmREhN8x2bBk8/view
Smile Q8,Smile_Q8_MT6580_V1.0.1_20180728_5.1.zip,633 MB,https://drive.google.com/file/d/1ZKMbkpzGt_7chNyXMssCK2gXP8JyPmXD/view
Smile Q9,Smile_Q9_MT6580_20180622_5.1.zip,1 GB,https://drive.google.com/file/d/1bVkiyZOgb3tcNn_8Gy1JSiLcRGn45W8E/view
Smile Q5,Smile_Q5_MT6580_20180609_5.1.zip,544 MB,https://drive.google.com/file/d/1IPLNL-jVB3ciTOY3aZEd7SVu7VFisJEl/view
Smile Z15,Smile_Z15_MT6572_30012018_4.4.2.zip,236 MB,https://drive.google.com/file/d/1I6NcgFnyC2x0mqFmw6uWl3b7V1BtehtD/view
Smile Q1,Smile_Q1_MT6580_V1.0.4_20180116_5.1.zip,469 MB,https://drive.google.com/file/d/1IenuctrPqv1rcjYVSwTiyqpNdXyZep_M/view?usp=drive_link
Smile Z12,Smile_Z12_MT6580_V1.0.3_20170803_5.1.zip,554 MB,https://drive.google.com/file/d/1-9uT4gHkvYsygLPC6FAtbFgbobQnusz5/view
Smile Z4,Smile_Z4_MT6572_10032016.zip,478 MB,https://drive.google.com/file/d/13hIjSpUlDPuFKIqUhz4FunlVT6OBFa2M/view
Smile N1 Pro,Smile_N1_Pro_MT6572_26012016_4.4.2.zip,205 MB,https://drive.google.com/file/d/1guZC4OVHZ46MKp8Pc9apORzWBUAHNSh3/view
Smile Z2,Smile_Z2_MT6572_4.4.2_ALPS.KK1.MP7.V1.zip,494 MB,https://drive.google.com/file/d/1nCZmkDslp6ZYZnlZE8X3ThVtBdO0hPm4/view
