Model,File Name,File Size,Download Link
Telenor Infinity K,Telenor_Infinity_K_MT6737T_L108_180207_7.0.zip,1.36 GB,https://drive.google.com/file/d/1C0YVYcFbfNyOoC5Amg8bUlmvb0Oto8GN/view
Telenor Infinity E3,Telenor_Infinity_E3_MT6737M_V004_111018_7.0.zip,1.34 GB,https://drive.google.com/file/d/1dgfspq4qaqprNT57cpdCgUK_Idthihml/view
Telenor Infinity E4,Telenor_Infinity_E4_SP9832E_V07_20181211_8.1.0_MIRA.zip,1 GB,https://drive.google.com/file/d/1HaCi2WAofX5L5Oob8HogqT0EQqGR2FGV/view
Telenor Infinity E5,Telenor_Infinity_E5_MT6739_V6.0_20190320_9.0.zip,1 GB,https://drive.google.com/file/d/14Eo-KFlP_92xYlAsh9TuzSUFfSYodKmv/view
Telenor Smart Pro 3G,Telenor_Smart_Pro_3G_SC7731_V06_20150824_5.1.1_MIRA.zip,2 GB,https://drive.google.com/file/d/1ul8YjqJPk7zATBhv1naArsa5V4eyMjVu/view
Telenor Infinity i5,Telenor_Infinity_i5_MT6739_V0.01_20190723_8.1.0.zip,847 MB,https://drive.google.com/file/d/1cG9bgy7gyoBNRpTDWS27o6x6Ow1N-Q0Y/view
Telenor Infinity i4,Telenor_Infinity_i4_MT6735_V51_280519_8.1.0.zip,2 GB,https://drive.google.com/file/d/1WWb8NS1UBAQiCpd9G-_lLNUovnVGfda1/view
Telenor Infinity E5 Pro,Telenor_Infinity_E5_Pro_MT6761_V3.04_180610_9.0.zip,1 GB,https://drive.google.com/file/d/1RhCCtVB1BJiotdB-Me_zw16YsUC2Eeb-/view
Telenor Infinity E,Telenor_Infinity_E_MT6735_L101_08222016_6.0.zip,404 MB,https://drive.google.com/file/d/1yZQPZQk_RaYpJpT_gqA3nJBhbXRORN9O/view
Telenor Infinity A4,Telenor_Infinity_A4_SP9832E_V06_12112018_8.1.0_MIRA.zip,1 GB,https://drive.google.com/file/d/1bQgG_Sp4BwVHkF1X_pQQi7b-A7dUkSOz/view
Telenor Infinity A,Telenor_Infinity_A_MT6735_L103_260816_6.0.zip,3 GB,https://drive.google.com/file/d/1gsI9jh2z8COiWSsQLPLlJYlSE1gTFDB6/view
Telenor Smart Zoom,Telenor_Smart_Zoom_V1.11_20160302_SPD.zip,578 MB,https://drive.google.com/file/d/14j1ckeTX5cUkZwQjChmTarWVHUpHxVVI/view
Telenor Smart Max,Telenor_Smart_Max_V0.2_20151230_SPD.zip,577 MB,https://drive.google.com/file/d/170TLTooEPMxU3k4ZaJCDTi1INFKjEnF7/view
