Model,File Name,File Size,Download Link
Telsda T1500,Telsda_T1500_MT6577_V07_130523.zip,226 MB,https://drive.google.com/file/d/14FgSsMC3ZUDWNVrE1kZqrtnKKAWX2x3w/view
Telsda T8888,Telsda_T8888_030912.zip,170 MB,https://drive.google.com/file/d/17bUP161DP16pTeqcfctxx2AJn7kzO6nT/view
Telsda 737,Telsda_737_V3.04_060813_SPD.zip,189 MB,https://drive.google.com/file/d/1cKUwrdQip-Ccb3pKYtY-L9ysnxCCYJZZ/view
Telsda A618,Telsda_A618_V1.0.3_300813_SPD.zip,195 MB,https://drive.google.com/file/d/1sQxg1w2sMck9p02gjYhtZiUc_DPPEbkj/view
Telsda T1510,Telsda_T1510_2.3.5_OTA.zip,112 MB,https://drive.google.com/file/d/1ezDDJDpDPLjsD5Au9VEeJHRQ70M6jkJ6/view
Telsda A929i,Telsda_A929i_SC6820_4.0.4_SPD.zip,126 MB,https://drive.google.com/file/d/1qm1cGkwT4xeVZNUP9Ml7SQlW8CBPAeIu/view
Telsda T9988,Telsda_T9988_SC6820_20121206_4.0.1_SPD.zip,130 MB,https://drive.google.com/file/d/1yM8ryaFVxd_52p8FFoQkJYge7RiNBVBH/view
Telsda T9989,Telsda_T9989_MT6575_20130313_4.0.zip,174 MB,https://drive.google.com/file/d/1HeZk38aQ79_XH78P0NbCahw6G_3Q_-uZ/view
Telsda T8881,Telsda_T8881_MT6575_20120802_2.3.5.zip,163 MB,https://drive.google.com/file/d/1W-3aMS8R21JRal4UcppEFQEJedax3seN/view
Telsda T8826,Telsda_T8826_SC6820_2.3_SPD.zip,180 MB,https://drive.google.com/file/d/18Z8stwSrTLCwFbmGjlMXE0V2896zXRJ-/view
Telsda T6198,Telsda_T6198_SC6820_2.3_SPD.zip,177 MB,https://drive.google.com/file/d/1SMc9E7go2yNhvRrQqDoGyuTE8T84wBo9/view
Telsda T589,Telsda_T589_SC6820_20130624_2.3_SPD.zip,209 MB,https://drive.google.com/file/d/148UvLlR2xpP_ughOnZ22z1_9OXbibj4Q/view
Telsda T588,Telsda_T588_SC6820_2.3_SPD.zip,164 MB,https://drive.google.com/file/d/198LoIw4P91xXSniDWtUoXMDLcQl8blZd/view
Telsda T3696,Telsda_T3696_SC6820_4.1.1_SPD.zip,145 MB,https://drive.google.com/file/d/1SS5R104o1Kdid49s-SyTIpwJhlHyZQbN/view
Telsda A866,Telsda_A866_SC8825_4.0.3_SPD.zip,358 MB,https://drive.google.com/file/d/1iPTJP_rvVESnuWmV5Rter7f0sz4LAMZ5/view
Telsda M2T,Telsda_M2T_MT6589_4.3.1.zip,357 MB,https://drive.google.com/file/d/1pFyjFpm2_02_L8lM5IAt5n810cxgrZko/view
Telsda M2 Plus,Telsda_M2_Plus_MT6572_4.2.2.zip,242 MB,https://drive.google.com/file/d/1yoezKmD88xdUHpi62oTxhDEluGUql8Za/view
Telsda N9000,Telsda_N9000_MT6572_131112_4.2.2.zip,269 MB,https://drive.google.com/file/d/1pv4bATy0NdZr-Lnx89DRFB9Yk_Zfi62L/view
