Model,File Name,File Size,Download Link
Turewell T95 S1,Turewell_T95_S1_190928_7.1.2_Amlo.zip,645 MB,https://drive.google.com/file/d/16XFIhBMHFSD_W3cIxYfOFCMtdtDk_X9x/view
Turewell T95Z Plus X3,Turewell_T95Z_Plus_X3_191119_9.0_Amlo.zip,898 MB,https://drive.google.com/file/d/1Uv1tviAI4b5jiCJxZloQfHHrgT3d0U5z/view
Turewell T95 S2,Turewell_T95_S2_1GB2GB_190928_7.1.2_Amlo.zip,644 MB,https://drive.google.com/file/d/1zoWL1ZgqZ1VdPSNz5EcRaJb82gmwnzmU/view
Turewell X88 Pro,Turewell_X88_Pro_RK3318_v2.0_200624_9.0_RBT.zip,1.13 GB,https://drive.google.com/file/d/1jPwEdduSmK4gCy3E5IBhnuSzq86qWsHe/view
Turewell Q Plus,Turewell_Q_Plus_2.1.21_N_CV200_0125_9.0_LS.zip,820 MB,https://drive.google.com/file/d/1oJ4mX5VPZK8D4UJ3Z35gZJ6w1b5xdSMV/view
Turewell T95 Max,Turewell_T95_Max_2.1.21_CV200_9.0_LS.zip,825 MB,https://drive.google.com/file/d/1erLWKhcLulUM0XpGU7_xMTsO0i3Uf0La/view
Turewell T95 Max Plus,Turewell_T95_Max_Plus_S905X3_2GB_4GB_200616_9.0_Amlo.zip,885 MB,https://drive.google.com/file/d/1uRBklL-dIB60PiOkvFWhaVApDz7yJjC4/view
Turewell T95 Mini,Turewell_T95_Mini_TV_Box_V2.1.21_CV200_9.0_LS.zip,824 MB,https://drive.google.com/file/d/1cTSgHlgE3O_H8m-ap3Y21OK1HJPM8Mu-/view
Turewell T95 Super,Turewell_T95_Super_10.2.0_201017_10_LS.zip,839 MB,https://drive.google.com/file/d/1fQGfKEopmspThkQGDN0SGKdtCgIW51BJ/view
Turewell T95Q,Turewell_T95Q_005_4GB_9.0_8822_191030_9.0_Amlo.zip,820 MB,https://drive.google.com/file/d/1bFJKGpvEkB9QIbZ6u-dfs4esKhy55TuW/view
