Model,File Name,File Size,Download Link
UMi Touch,UMi_Touch_MT6753_V3.03_20160510_6.0.zip,829 MB,https://drive.google.com/file/d/1ws53QIRE3WhV8q6uPjNmNX_QbIjB5JNN/view
UMi Touch X,UMi_Touch_X_MT6735_V1.0_20160517_6.0.zip,646 MB,https://drive.google.com/file/d/1KU2pUZ1fYN5iGJ34Z9OCZb3wyk-tQAhS/view
UMi London,UMi_London_MT6580_20160826_6.0.zip,661 MB,https://drive.google.com/file/d/1Q4p0nNpzqtN61vyGiw8ZTkt9YWCEDvis/view
Umi Super,Umi_Super_MT6755_20170607.zip,1.3 GB,https://drive.google.com/file/d/1zm0CCKm9sj5Df_YAKDtziUC2ccWL-3li/view
Umi Plus,Umi_Plus_MT6755_20170613.zip,1 GB,https://drive.google.com/file/d/1eZp3wKqh_SENNJmOQ1eyJpBw1ahYjeJh/view
UMI Max,UMI_Max_MT6755_20170613.zip,1 GB,https://drive.google.com/file/d/1KNL4bpXBoedbywSSpzWn4_PjO_vtPS9o/view
UMI Diamond X,UMI_Diamond_X_MT6737_20170810.zip,707 MB,https://drive.google.com/file/d/1JNLKSTDPRJTGaKogRUU73dJ93I6YI9yr/view
UMI Diamond,UMI_Diamond_MT6753_20170506.zip,892 MB,https://drive.google.com/file/d/1GjUbeHX-NijyXHSZ7eVy6mnfOYIfjjQH/view
UMI Plus E,UMI_Plus_E_MT6757_20170605_6.0.1.zip,999 MB,https://drive.google.com/file/d/1dMpdwsSUJkVtw75kiplzWonQsuIePn1_/view
UMI Z2 Pro,UMI_Z2_Pro_MT6771_20181116_8.1.zip,1 GB,https://drive.google.com/file/d/1PQoRFqdToKW3iuAZ0jQ4JucRrbPiOlZE/view
UMI Z2 Special Edition,UMI_Z2_Special_Edition_MT6763_20190124_8.1.0.zip,1 GB,https://drive.google.com/file/d/1VXIRWVR9SYFUWGO0pFL9wyaama7rAV3O/view
UMI C,UMI_C_MT6580_V3.03_20171015_6.0.zip,681 MB,https://drive.google.com/file/d/1CkezxFri_gAzzrU7lFH6Z1iAt8TEHl91/view
UMI Fair,UMI_Fair_FDD_MT6735M_1GB_8GB_20150910.zip,593 MB,https://drive.google.com/file/d/17P47RJq-tenQJZzdl6VG_AXzvdTrLlDy/view
