Model,File Name,File Size,Download Link
5Star BD15,5Star_BD15_MT6580_V1.0.5_190110_5.1.zip,820 MB,https://drive.google.com/file/d/1PrumziXpLJ_FxuWpdizozYCX0ePH7es4/view
5Star Note 1,5Star_Note_1_MT6757_V03_310720_9.0.zip,1.59 GB,https://drive.google.com/file/d/1P8QapZ0BnWjkuu70WseeXGFw10EdJkk5/view
5Star Note 3 Pro,5Star_Note_3_Pro_MT6771_060422_10.zip,1.77 GB,https://drive.google.com/file/d/1BumgiLu0VIz4OwgOeUu0R0M7IkKWA6El/view
5Star BD140,5Star_BD140_SC6531E_190713_MIRA.zip,4 MB,https://androiddatahost.com/jumgh
5Star BD130,5Star_BD130_SC6531E_MIRA.zip,3.60 MB,https://androiddatahost.com/ghdrh
5Star BD110,5Star_BD110_SC6531E_MIRA.zip,4 MB,https://androiddatahost.com/gh7ig
5Star BD11,5Star_BD11_SC6531E_V07_191016_MIRA.zip,4 MB,https://androiddatahost.com/hynif
5Star BD70,5Star_BD70_SC6531E_V04_EN_BE_190919_MIRA.zip,3.60 MB,https://androiddatahost.com/h6kry
5Star BD90,5Star_BD90_SC6531E_MIRA.zip,3.6 MB,https://androiddatahost.com/hg67j
5Star BD10,5Star_BD10_SC6531E_V04_190225_MIRA.zip,3.4 MB,https://androiddatahost.com/htveh
5Star BD29,5Star_BD29_SC6531E_201225_MIRA.zip,3.6 MB,https://androiddatahost.com/5r6fg
5Star BD180,5Star_BD180_SC6531E_W25Q32BV_MIRA.zip,3 MB,https://androiddatahost.com/y67ht
5Star BD60,5Star_BD60_SC6531E_MIRA.zip,4 MB,https://androiddatahost.com/fg56h
5Star Y6,5Star_Y6_MT6580_270118_7.0.zip,945 MB,https://drive.google.com/file/d/1ZU5LGnj3B5Eti9lcX-_N25u2WXVQoJZA/view
5Star P5,5Star_P5_SP7731CEB_090619_6.1.zip,872 MB,https://drive.google.com/file/d/1r-Yh9cS5ZOoPR0n7OeNWjTGDTvwrJ3MX/view
5Star T40,5Star_T40_MT6572_150314.zip,751 MB,https://drive.google.com/file/d/1QCU3732O15b-Iuyjxf7fV1myr5heUYCC/view
5Star Y7,5Star_Y7_MT6580_270118_7.0.zip,909 MB,https://drive.google.com/file/d/1u024prDQYnlsU2Kg9EA1-XnEjQoaBR6f/view
5Star BD150,5Star_BD150_SC6531E_W25Q32BV_MIRA.zip,4 MB,https://drive.google.com/file/d/1SJytifFS-d44jYwkcAwqUd6F4RSB0jn8/view
