Model,File Name,File Size,Download Link
AGM G2 Guardian,AGM_G2_Guardian_EEA_N2060.6.04.03.EU_20230823_MIRA.zip,2.55 GB,https://drive.google.com/file/d/1n4iITbV6btK3TvG21JTWwgDdU_mI4q1_/view?usp=sharing
AGM Pad P1,AGM_Pad_P1_MT6789_EU_SW_0818_V3.04_230818.zip,2.44 GB,https://drive.google.com/file/d/1eDkZm2xQWvaW6Ghej10aydS6YAkubqO1/view?usp=sharing
AGM T90,AGM_T90_MSM8976.LA.1.2.1_EU_20180423_QPST.zip,1.53 GB,https://drive.google.com/file/d/1CmjeO-qufcb228L4h_bAaqb7yTzjaR8C/view
AGM H6,AGM_H6_V1_EEA_230918_SPD.zip,2.50 GB,https://drive.google.com/file/d/14XBEx7ixZVDRDskibdM5oZdhKS8a27uX/view
AGM Note N1,AGM_Note_N1_EEA_V2_230803_SPD.zip,2.48 GB,https://drive.google.com/file/d/1v-mgA7sxlBvF9U1V-UMAQHyZWNLqeOE3/view
AGM Glory G1S,AGM_Glory_G1S_NR2A2C_EU_N1880.6.02.00.GSEU_220521_MIRA.zip,2.45 GB,https://drive.google.com/file/d/1s5c8BvMkfdT38nJSV05DqZUOB1eIkBps/view
AGM H5,AGM_H5_MT6765_America_V3.08_220622.zip,1.93 GB,https://drive.google.com/file/d/1CUsVW3rUwOZKk9q2XNDDgLFnplFEYsWo/view
AGM Glory,AGM_Glory_N1880.6.03.00.00_EU_220531_MIRA.zip,2.55 GB,https://drive.google.com/file/d/1Y7q-3UqQ8qZLpvrKXgbZhm7igpVK2WFw/view
AGM M7,AGM_M7_MT6739_RU_210623.zip,846 MB,https://drive.google.com/file/d/19fjnc_TkB18rRNJpXfy4IBcQxrAX83Y3/view
AGM X3,AGM_X3_LA872HE3_T91_4_L1556.6.04.13.DE00_TFDownload_210318.zip,1.62 GB,https://www.mediafire.com/file/o3mztzuox97rgxg/AGM_X3_LA872HE3_T91_4_L1556.6.04.13.DE00_TFDownload_210318.zip/file
AGM A10,AGM_A10_T62_EX-EU_L1688.6.01.08_EU_200619_9.0_MIRA.zip,1.42 GB,https://www.mediafire.com/file/ial217lj5m4xsdq/AGM_A10_T62_EX-EU_L1688.6.01.08_EU_200619_9.0_MIRA.zip/file
