Model,File Name,File Size,Download Link
Asus Zenfone Go ZB551KL,Asus_Zenfone_Go_ZB551KL_LMY47V.JP_Phone-13.0209.1705.116_20170621.zip,1.38 GB,https://drive.google.com/file/d/1ls0mtG1enpumHtJz9NDYhpBhS79iJMHv/view?usp=sharing
Asus ZenPad Z8 ZT581KL,Asus_ZenPad_Z8_ZT581KL_V5.4.1_M101901_16.0.0_170202.zip,1.75 GB,https://drive.google.com/file/d/1b80T_nX6P11Q0NDwx3Fz1bRxCgIfTc34/view
Asus Memo Pad 7 ME170C,Asus_Memo_Pad_7_ME170C_V11.2.3.33_20150323_4.4.2_AFT.zip,700 MB,https://drive.google.com/file/d/1Zd82Uh6KFkdmOz-Kvy_-IKksgubfr-ZC/view
Asus Memo Pad FHD 10 ME302C,Asus_Memo_Pad_FHD_10_ME302C_V5.0.17_20140401_4.3_OTA.zip,759 MB,https://drive.google.com/file/d/1gm8SHGJryUcMlKuS1rrXEAio6ojXmALT/view
Asus Transformer Pad TF103CX,Asus_Transformer_Pad_TF103CX_K010-12.10.5.11-20151225_5.0_OTA.zip,791 MB,https://drive.google.com/file/d/1d7yBmQoQTUfqmPtXXAXBAgPZleDMnGFY/view
Asus Memo Pad FHD 10 ME302KL,Asus_Memo_Pad_FHD_10_ME302KL_OPEN_epad-10.10.0.52.4.7-20130724_4.2.2_CMD.zip,522 MB,https://drive.google.com/file/d/1DvbiHEGnit0ZvCrWKChV8DietW_IQnbI/view
Asus ZenPad 10 Z300CG,Asus_ZenPad_10_Z300CG_P021_V4.6.2_20160126_5.0.2_CMD.zip,1.14 GB,https://drive.google.com/file/d/1v5GT5G6q2MXILVzdt5qZO9q8exN3I5is/view
Asus Snapdragon Insiders ZS675KW,Asus_Snapdragon_Insiders_ZS675KW_CN_18.1030.2106.113_M3.13.24.12.24.1-ASUS_1.1.27_Phone_User_CMD.zip,2.58 GB,https://drive.google.com/file/d/1hgzVbUKFaYoxrrI3Uz3DtKuCvPKKtubh/view
Asus ZenFone 10 AI2302,Asus_ZenFone_10_AI2302_ASUS-33.0220.0220.10-1.1.2-2306_EU_OTA.zip,3.68 GB,https://drive.google.com/file/d/1qoX9dPuZBDS9E3ltWZWQeNfwvTfT9zQL/view
Asus Rog Phone 7 AI2205,Asus_Rog_Phone_7_AI2205_33.0820.0810.121-1.1.95-2303_OTA.zip,4.88 GB,https://drive.google.com/file/d/1DSDCkQxt0wKZgA25aHLCPJTr04H2Ns_S/view
Asus Rog Phone 6 AI2201,Asus_Rog_Phone_6_AI2201_33.0610.2810.72-1.1.1-2301_OTA.zip,4.19 GB,https://drive.google.com/file/d/1rIkw8wfR0Kr9WiPyh5aLJ-4GiFpm6x7H/view
Asus ZenFone Max M3 ZB555KL,Asus_ZenFone_Max_M3_ZB555KL_UL-ASUS_X00P-WW-15.00.2007.122_OTA.zip,2.05 GB,https://drive.google.com/file/d/1m3w4UW95uN7sGIpcVt3zdHJC9EifIxka/view
Asus Zenfone 3 ZE520KL,Asus_Zenfone_3_ZE520KL_OPEN_Phone-Userdebug_6.0.1_MMB29M_13.13.1.28_160705-F_QPST.zip,1.38 GB,https://drive.google.com/file/d/18B50aqt9BRAoBq-Dt8V_QANDnJrwot7A/view
Asus Rog Phone 6 Diablo Immortal Edition AI2201,Asus_Rog_Phone_6_Diablo_Immortal_Edition_AI2201-CN-33.0610.2810.81-1.1.1-2303_OTA.zip,3.95 GB,https://drive.google.com/file/d/1M38Ho_p62nmTbiZf7WMdCfH9ZLLpcEEf/view
Asus ZenFone Go ZB500KG,Asus_ZenFone_Go_ZB500KG_8610_12.0.0.0131_170222_5.1.1_AFT.zip,1.12 GB,https://drive.google.com/file/d/1HUFrOY74h4eX9gdT_yMbr6pC6_VhjmZZ/view
Asus ZenFone 9 AI2202,Asus_Zenfone_9_AI2202_32.2004.2004.84-1.1.1-2206_OTA.zip,3 GB,https://drive.google.com/file/d/145VFYYtiBROk9qYl4XqmzxsTlMvCgClS/view
Asus ZenFone 7 Pro UL-I002D,Asus_ZenFone_7_Pro_UL-I002D-WW-29.14.53.23_User_OTA.zip,2.65 GB,https://drive.google.com/file/d/1aV8OxEqy2lOydiE6hg4A0RZSE4MRKPUI/view
Asus Rog Phone 6 Pro AI2201,Asus_Rog_Phone_6_Pro_AI2201_32.2810.2205.63_220628.zip,4.73 GB,https://drive.google.com/file/d/1oaJrv28FqkNUZ77_bxZIS1gs0WNxAQaw/view
Asus Rog Phone 5 Ultimate,Asus_Rog_Phone_5_Ultimate_31.0810.1226.128-1.1.201-2209_OTA.zip,3.44 GB,https://drive.google.com/file/d/1Kh81ZIRQJFd0ZU4ImxpLXYHzqffi8zxx/view
Asus Rog Phone 6D Ultimate AI2203,Asus_ROG_Phone_6D_Ultimate_AI2203_31.0830.0830.26-1.1.1-2207_OTA.zip,4.18 GB,https://drive.google.com/file/d/1ELqH9NGJRe8w0dZzQH5pKZtdjx3RJKRi/view
Asus ROG Phone 6D AI2203,Asus_ROG_Phone_6D_AI2203_31.0830.0830.26-1.1.1-2207_OTA.zip,4.18 GB,https://drive.google.com/file/d/1ScwzPLH5cUPxWJ9HVVXEc48PVBZ-22oq/view
Asus ROG Phone 6,Asus_ROG_Phone_6_CN-AI2201-32.2810.2205.63-REL-2205-M2.13.33.7_220628_1.1.1.zip,4.57 GB,https://drive.google.com/file/d/1CjD5i8rMbe0mX-y3Lhrjd_Z09VLPI7sf/view
Asus Rog Phone 5S CSC ZS676KS,Asus_Rog_Phone_5S_CSC_ZS676KS_18.0502.2009.21_M1.8.3.34_AFT.zip,1.52 GB,https://drive.google.com/file/d/1W60uKnI3xkKovtwJzAFN8xjV4sDpLu4p/view
Asus ZenFone Max M1 ZQL1830,Asus_ZenFone_Max_M1_ZQL1830_Factory_181218_ENG_QPST.zip,1.37 GB,https://drive.google.com/file/d/16In-3ZiOSN6bR8y7qG-PT40DwCXjCm1x/view
Asus ZenPad C 7.0,Asus_ZenPad_C_7.0_P001_EMMC_Dump.zip,890 MB,https://drive.google.com/file/d/1N_a8ox5FKD7kNtWGKwMzF7ZDnA73istw/view
Asus Rog Phone 5S ZS676KS,Asus_Rog_Phone_5S_ZS676KS_281021_CMD.zip,8.69 GB,https://drive.google.com/file/d/1umadpXbf6jt-QK9upN93tZvZL0E4Gk1I/view
Asus Memo Pad HD7 ME175KG,Asus_Memo_Pad_HD7_ME175KG_V10.11.3.17_F2.11.23_OPEN_140110_PreBurn_MSM8226_H26M42003GMR_8G_MIRA.zip,392 MB,https://drive.google.com/file/d/1i-ztfav9RFxg7VQe2Kt-WuLNRm8WzzJh/view
Asus Rog Phone II ZS660KL,Asus_Rog_Phone_II_ZS660KL_WW_ZS660KL_17.0240.2103.75_M3.23.44.19-ASUS_1.1.229_AFT.zip,2.75 GB,https://drive.google.com/file/d/1ZwinX9LfJf4ljmY6ZGO7scQNEfKZFiey/view
Asus Zenfone 8 Flip ZS672KS,Asus_Zenfone_8_Flip_ZS672KS_WW_ZS672KS_30.11.55.66_MR0_210707_AFT.zip,3.32 GB,https://drive.google.com/file/d/1wDYX_vgi1SOedzj7B3oWwq3ed_-loHRH/view
Asus ZenFone Max Pro M2 ZB631KL,Asus_ZenFone_Max_Pro_M2_ZB631KL_UL-ASUS_X01BD-WW-16.2017.2010.101_OTA.zip,1.60 GB,https://drive.google.com/file/d/1BeOBDqFSnmqjVqBMw-e6PYhbTvju31ma/view
Asus Fonepad 7 FE170CG,Asus_Fonepad_7_FE170CG_UL-K012-WW-11.2.3.27_User_OTA.zip,606 MB,https://drive.google.com/file/d/1BMjvmuhNzxrJFw-DSTURG9vxTjNMaN9o/view
Asus Zenfone 3 Deluxe 5.5 ZS550KL,Asus_Zenfone_3_Deluxe_5.5_ZS550KL_80.30.123.46_MR8_20180712144107_AFT.zip,2 GB,https://drive.google.com/file/d/11kKtmuzUr60SPhdMMEzJVJfd85aypydW/view
Asus Zenfone Max Pro M2 ZQL1820,Asus_Zenfone_Max_Pro_M2_ZQL1820_Factory_201812071630_ChangeFlash_QPST.zip,1.32 GB,https://www.mediafire.com/file/xk4g8cjwk4lg8es/Asus_Zenfone_Max_Pro_M2_ZQL1820_Factory_201812071630_ChangeFlash_QPST.zip/file
Asus Zenfone Max Pro M2 X01BD ZB630KL,Asus_Zenfone_Max_Pro_M2_X01BD_ZB630KL_15.2016.1810.155_20181116_RAW.zip,1.87 GB,https://www.mediafire.com/file/bvdf8uvcqaajypp/Asus_Zenfone_Max_Pro_M2_X01BD_ZB630KL_15.2016.1810.155_20181116_RAW.zip/file
Asus Rog Phone 5 ZS673KS,Asus_Rog_Phone_5_ZS673KS_18.0810.2101.95_M2.13.24.9-ASUS_1.1.46_Phone_11_QPST.zip,1.62 GB,https://www.mediafire.com/file/n9szaevkb1i47f4/Asus_Rog_Phone_5_ZS673KS_18.0810.2101.95_M2.13.24.9-ASUS_1.1.46_Phone_11_QPST.zip/file
Asus Zenfone Max Pro ZQL1820,Asus_Zenfone_Max_Pro_ZQL1820_Factory_201812071630_QPST.zip,1.32 GB,https://www.mediafire.com/file/yn9hx8wn1m2lz9n/Asus_Zenfone_Max_Pro_ZQL1820_Factory_201812071630_QPST.zip/file
Asus Zenfone 8 ZS590KS,Asus_Zenfone_8_ZS590KS_31.01.2.7-BSP_210513_CMD.zip,2.11 MB,https://firmwaredrive.com/index.php?a=downloads&b=file&id=64868
