Model,File Name,File Size,Download Link
Coolpad Cool 5 1826-I01,Coolpad_Cool_5_1826-I01_MT6765_V01_180610_9.0.zip,1.66 GB,https://drive.google.com/file/d/13Cfchqk-9MrHT9-DyzJGk-YONXlaamqI/view
Coolpad 10A 2041,Coolpad_10A_2041_SC9863A_V02_030821_SPD.zip,1.18 GB,https://drive.google.com/file/d/1Yh0V1Lutojtv4e7U1yFqAA4bxdYD0cao/view
Coolpad N7 Plus,Coolpad_N7_Plus_MT6765_V06_200807_10.zip,1.33 GB,https://drive.google.com/file/d/1Ul_Qh4-CtBZPsKaVoNAh1m5K2fq3Ji_W/view
Coolpad Cool 1 Dual,Coolpad_Cool_1_Dual_R116_C1-S02_ZHXOSOP5801806023S_0001211_QPST.zip,1.97 GB,https://drive.google.com/file/d/1no0CV7srv262AV_vvDvx7eG0q0QQn6aO/view
Coolpad Mega 5A 1821,Coolpad_Mega_5A_1821_SC9850KA_171019_8.1.0_SPD.zip,1 GB,https://drive.google.com/file/d/1ed6es5wr5lcaGRCdt7gmapbTOMU46vEe/view
CoolPad 9250L,CoolPad_9250L_4.1.068.P1.150211.9250L_China_4.1.2_YGDP.zip,576 MB,https://drive.google.com/file/d/18q3wrxrTRvO4zYnRDarbelYPW6RPoTTu/view
Coolpad 3632A,Coolpad_3632A_7.1.108.92.P2.171030.NMF26F.MPCS_7.1.1_QPST.zip,921 MB,https://drive.google.com/file/d/1otVtdtX2iKGCk6YoZiD_99FFMFod39u6/view
Coolpad 3311A,Coolpad_3311A_MSM8909_8.1.3311A.TMO_180623_8.1.0_QPST.zip,528 MB,https://drive.google.com/file/d/1J77-S2rZCwUy5q0DJHMMnCMFqmDI_qpP/view
Coolpad 1827,Coolpad_1827_MT6757_India_V1.07_200102_9.0.zip,1.52 GB,https://www.mediafire.com/file/r4dhujls98cncv5/Coolpad_1827_MT6757_India_V1.07_200102_9.0.zip/file
Coolpad N1 5370-I00,Coolpad_N1_5370-I00_MSM8909_V6.05_170824_QPST.zip,903 MB,https://drive.google.com/file/d/1EiuurhD2zL1oyk4jZPUauQskDflCHV_0/view
Coolpad S6 9190L,Coolpad_S6_9190L_MSM8226_104_P0_151214_4.3_YGDP.zip,1.8 GB,https://www.mediafire.com/file/j44sp4zimwb0fo9/Coolpad_S6_9190L_MSM8226_104_P0_151214_4.3_YGDP.zip/file
Coolpad N5 Lite 1825-E0,Coolpad_N5_Lite_1825-E0_MT6761_R09_20190711_9.0.zip,1.42 GB,https://www.mediafire.com/file/86zs5jz3nebm7eo/Coolpad_N5_Lite_1825-E0_MT6761_R09_20190711_9.0.zip/file
Coolpad 7C 1831-A0,Coolpad_7C_1831-A0_MT6739_T18810_0101_V1108_7.1.1.zip,1.77 GB,https://www.mediafire.com/file/tq2qjtdgjbzmbws/Coolpad_7C_1831-A0_MT6739_T18810_0101_V1108_7.1.1.zip/file
Coolpad 7105,Coolpad_7105_MSM8916_,267 MB,https://drive.google.com/file/d/1b37xGQ7ECek_0lbI2sVDfgrWq3vm3PjZ/view
Coolpad Y60W,Coolpad_Y60W_MT6752_120514_4.4.4.zip,545 MB,https://drive.google.com/file/d/1O4ZypgSNftmcLXrtHqFh1cOul4ehxGcO/view
Coolpad Cool 3 Plus 1825-I01,Coolpad_Cool_3_Plus_1825-I01_MT6761_V23_180610.zip,1.5 GB,https://drive.google.com/file/d/1Mz97i98_OnYX3w8Oa0NNGCWFkEPJNcUn/view
Coolpad Idea Ultra Pro 7270i,Coolpad_Idea_Ultra_Pro_7270i_MT6582_V3.7.2_11032014.zip,373 MB,https://drive.google.com/file/d/1MapSQZjRtmhIIY33qV1KcSw_O2R_1O_r/view
Coolpad Mega 5C,Coolpad_Mega_5C_1803-I0_SC9850KA_V1.3_20181217_SPD.zip,911 MB,https://drive.google.com/file/d/1yrObRZvDKj3YDIOVlXM9NiSaQqtEItp5/view
Coolpad Mega 5M,Coolpad_Mega_5M_1804-I0_181219_7.0_CPB.zip,1 GB,https://drive.google.com/file/d/1J3KluTZBFk7srFpclAY7j9yzYz3ZnI0W/view
Coolpad 8297L-I00,Coolpad_8297L-I00_150714_4.4_CPB.zip,1 GB,https://drive.google.com/file/d/1mYybq8v9kd8rZF43Hrt2jWQCYsDx9HIH/view
Coolpad Mega 5A,Coolpad_Mega_5A_1821-I0_V01_180724_SPD.zip,1 GB,https://drive.google.com/file/d/1YuvQq5az2WVcpXkOQjc5dn3TLC2dAcX3/view
