Model,File Name,File Size,Download Link
Cubot KingKong ES 3,Cubot_KingKong_ES_3_V10_250822_SPD.zip,3 GB,https://drive.google.com/file/d/1bXfS-5r7jYG9EYV4lZfY7HQET362rMG4/view?usp=sharing
Cubot KingKong 11,Cubot_KingKong_11_MT6855_V1.0_250724_MXML.zip,3 GB,https://drive.google.com/file/d/1yN_iXJQdzuI3huh9CBAbg-Fxa8Tk7Qfm/view?usp=sharing
Cubot A40,Cubot_A40_EEA_V11.0_250714_SPD.zip,3.47 GB,https://drive.google.com/file/d/1z1LmJBM9swwWv3jJd6UsU4430YgRDHMw/view?usp=sharing
Cubot P90,Cubot_P90_MT6789_V02_250711_MXML.zip,3 GB,https://drive.google.com/file/d/11FOuKMQRmMHgKy94yxZ4GiXRh-jjybEN/view?usp=sharing
Cubot KingKong Power 5 F011C,Cubot_KingKong_Power_5_F011C_MT6789_EEA_V11_250616_MXML.zip,2.74 GB,https://drive.google.com/file/d/1uWgexvICfz3JqC5iZLbzBV4DHMeugS5I/view?usp=sharing
Cubot Tab 70,Cubot_Tab_70_P111_V1.0_250106_SPD.zip,3.37 GB,https://drive.google.com/file/d/12OmmSjeoOvqdLxJwSZA5GSfSva3PThXY/view?usp=sharing
Cubot Tab Kingkong 2,Cubot_Tab_Kingkong_2_MT6789_V1.0_241118_MXML.zip,3 GB,https://drive.google.com/file/d/1t9wJq6fUN_48aZPyCojItLYGC5FNgtld/view
Cubot KingKong X Pro E033C,Cubot_KingKong_X_Pro_E033C_MT6895_V02_241112_MXML.zip,3.18 GB,https://drive.google.com/file/d/1y1b07iUvdX-yvGSX4tmASM1D5J8-73Y9/view
Cubot KingKong Power 3 E071C,Cubot_KingKong_Power_3_E071C_MT6789_V14_241122_MXML.zip,2.59 GB,https://drive.google.com/file/d/1m_KpUy66nDlgBNbHFbWTZHllpGaTHirh/view
Cubot KingKong ES E081C,Cubot_KingKong_ES_E081C_V02_241017_SPD.zip,2.85 GB,https://drive.google.com/file/d/1cWFdxo1byJfdNXBRiAMRg2zH25vSxcpt/view
Cubot A30,Cubot_A30_E093_V2.0_241029_SPD.zip,3 GB,https://drive.google.com/file/d/18nEmGvyZw3DQK7CsoIvA2lLocuZRgcUO/view
Cubot A20 E091C,Cubot_A20_E091C_V1.0_240828_SPD.zip,3.03 GB,https://drive.google.com/file/d/19obRIgF6E-X_AYRcWJrhT0UUcRvD2kg3/view
Cubot KingKong Ace 3,Cubot_KingKong_Ace_3_MT6768_V01_240611.zip,2.41 GB,https://drive.google.com/file/d/1CMP60wEsuJq8o8q7D3tnCwJd39u-dZ1P/view
Cubot KingKong X,Cubot_KingKong_X_MT6877_V18_240816.zip,2.83 GB,https://drive.google.com/file/d/1O3wf9ky597uDbb55C11JQVCWU7VM5hHU/view
Cubot Max 5,Cubot_Max_5_MT6895_V02_240725.zip,3.27 GB,https://drive.google.com/file/d/1UHmQUHHtk-rY31JXRIGDeYwXG0c0NJ1u/view
Cubot Tab 50,Cubot_Tab_50_MT6789_V1.0_240110.zip,2.59 GB,https://drive.google.com/file/d/15_mlgOSuFEoHj1-y1BmPPPKKfQHPb58B/view
Cubot Tab 20 P021C,Cubot_Tab_20_P021C_V05_231109_SPD.zip,2.56 GB,https://drive.google.com/file/d/1GQg7qgxNMXk_GDy_f4DKEsr3mw9_fi1D/view
Cubot A10 E045C,Cubot_A10_E045C_V01_240618_SPD.zip,2.76 GB,https://drive.google.com/file/d/1jp1D8LQguTQpk7VayPSUIIKRmjLQWc-D/view
Cubot X90,Cubot_X90_MT6789_V1.0_240607_MXML.zip,2.86 GB,https://drive.google.com/file/d/1eLx1jR7qZMgIJmwV3G25HrTc94kr80kw/view
Cubot A1 E041C,Cubot_A1_E041C_,2.50 GB,https://drive.google.com/file/d/1qGBx4VW1dlejZGE5TcNqC9tpBgLSqCvQ/view
Cubot KingKong 8,Cubot_KingKong_8_MT6771_,2.29 GB,https://drive.google.com/file/d/10iRznrJgn_09R8vC4-DSzVuVyjDMH9gt/view
Cubot KingKong AX D073C,Cubot_KingKong_AX_D073C_MT6789_,2.75 GB,https://drive.google.com/file/d/1S3e46oD06Y7-PtqU--ZkqKHFOmgsFiPt/view
Cubot Tab 60 P081C,Cubot_Tab_60_P081C_V01_240407_PS.zip,2.30 GB,https://drive.google.com/file/d/1BF9bhu-2no11Mm56Am1xMlmtHJQ46uVw/view
Cubot X30P,Cubot_X30P_MT6771_V03_231117.zip,2.12 GB,https://drive.google.com/file/d/15RmhD94EM9r5ivvYOloDYzsza6I8RnnS/view
Cubot Note 21,Cubot_Note_21_D043_V1.4_230812_SPD.zip,2.71 GB,https://drive.google.com/file/d/1Zzs5eF-UfAnxAKtFoN80tc0D_ojHMWaP/view
Cubot Note 40,Cubot_Note_40_D045C_V1.1_230822_SPD.zip,2.69 GB,https://drive.google.com/file/d/1DNsU5e8K_PIeZF2PdAXgd7aVSxFs6wNs/view
Cubot Tab 40,Cubot_Tab_40_P061C_V01_230811_SPD.zip,2.65 GB,https://drive.google.com/file/d/1BVrFko2seN8fyT_D8hZfCDHOcE3MbRCT/view
Cubot Tab Kingkong,Cubot_Tab_Kingkong_MT6771_,2.17 GB,https://drive.google.com/file/d/1-NlafbYCIKdP1yLXQyBYddJMxbYnncAr/view
Cubot KingKong 9,Cubot_KingKong_9_D071C_MT6789_,2.52 GB,https://drive.google.com/file/d/1xFPekR8RAYPHYK7F27BuAUkC2XPAAPus/view
Cubot KingKong Star,Cubot_KingKong_Star_D031C_MT6833_,2.41 GB,https://drive.google.com/file/d/1d635mX8mPXG8nieeepmW5YB3Tdks0oXv/view
Cubot Note 50,Cubot_Note_50_D041C_V1.2_230726_SPD.zip,2.57 GB,https://drive.google.com/file/d/1s-z1q3IlkuV6pPt2EJwGO7KdQho41Kg1/view
Cubot X70,Cubot_X70_D061C_MT6789_,2.49 GB,https://drive.google.com/file/d/1uGHxQd4-YajtNG2nFL-pvOV6XARLtl1t/view
Cubot Quest Lite,Cubot_Quest_Lite_MT6761_V06_20190515.zip,1.38 GB,https://drive.google.com/file/d/1DYbZmw0QS3sXLucxahrelE2s2mNFp4zS/view
