Model,File Name,File Size,Download Link
Datawind Ubislate D705,Datawind_Ubislate_D705_MT6571_20160207_4.4.2.zip,375 MB,https://drive.google.com/file/d/1C8TGeKc0QRNpqspESaa5BSngoxB4i6q7/view
Datawind 3G7 Plus,Datawind_3G7_Plus_MT6572_0T04074BD83638_161128.zip,256 MB,https://drive.google.com/file/d/1PmSUuTn2Db1qseqLPcwIACdCCDryLcqk/view
Datawind 3G7,Datawind_3G7_MT6572_0C04074BD8461R_KT07B_150108.zip,220 MB,https://drive.google.com/file/d/1KO0RqChK_VEIxQz19Gm7rfh-elCcwRD6/view
Datawind W706,Datawind_W706_MT6572_V30LMM8GN8GEN_WG10_210116.zip,414 MB,https://drive.google.com/file/d/1iH9Azh6JmBZfRYqjQmml3fziS1NoqAAW/view
Datawind Ubislate 3G7Z,Datawind_Ubislate_3G7Z_MT6572_0P04074BD8472L_251215.zip,389 MB,https://drive.google.com/file/d/16_Y49Glt_VQvOtkprnJ6mT-nKYjg-SiS/view
Datawind Ubislate 3G10Z,Datawind_Ubislate_3G10Z_MT6582_0T16104BDA473K_M101_V31HMXM8GN8GEN_091116.zip,413 MB,https://drive.google.com/file/d/1EtBpcJVbfGNe6gqE5xRN2gPrXXXGgetX/view
Datawind Ubislate 7DCX Plus,Datawind_Ubislate_7DCX_Plus_MT6571_0R06072BD83720_D705_V20ZDM4GN8GEN_G03_091015.zip,375 MB,https://drive.google.com/file/d/1zMWJcp1kcg5YyGyDYHb6LlCDDcuZrTyI/view
Datawind UbiSlate 3G7Q,Datawind_UbiSlate_3G7Q_QuadCore_MT6580_0R0V074BD8473C_100916.zip,642 MB,https://drive.google.com/file/d/1wr9YDUBAn4YHG6ZJcGR5gst09l_sotGD/view
Datawind PocketSurfer 3G5X,Datawind_PocketSurfer_3G5X_MT6572_0P04054BD83630_070114.zip,331 MB,https://drive.google.com/file/d/1mwLGsf2D7x8jxGABH5obmq0_aXnZAv_6/view
Datawind PocketSurfer 3G4Z,Datawind_PocketSurfer_3G4Z_SC7715_V13.9.8_050116_SPD.zip,229 MB,https://drive.google.com/file/d/1-A5Sub-Z1lqQOppQhWrrjoJpW0fNbQhP/view
Datawind PocketSurfer 3G4X,Datawind_PocketSurfer_3G4X_SC7715_V13.9.6_071115_SPD.zip,328 MB,https://drive.google.com/file/d/1dzWwHQzrgnzM_d190J-yKs1xEJBC6RBe/view
Datawind PocketSurfer 2G4X,Datawind_PocketSurfer_2G4X_0S0S041AD82326_R100_MG904_151114_RDA.zip,127 MB,https://drive.google.com/file/d/1FZjPWpiQyZiQvvJhzd2UDSfV6-EaBkwb/view
Datawind MoreGmax 4G7Z,Datawind_MoreGmax_4G7Z_MT6735M_0R12074BD858311647IN_V1.11_171116.zip,885 MB,https://drive.google.com/file/d/1pd8zXajm-1gO95BfNA1nlz6SbS0Pbsq-/view
Datawind MoreGmax 4G7,Datawind_MoreGmax_4G7_MT6735M_0P1207FBD847311618IN_160503.zip,858 MB,https://drive.google.com/file/d/1iCkl8oN81roSx-P7mJ3AWF8ZRYALk72Y/view
Datawind 7DC Plus,Datawind_7DC_Plus_MT6571_0R06072AD83720_D705_V20ZDM4GN8GEN_160818.zip,400 MB,https://drive.google.com/file/d/1oKctoArIcK7MQOacVxG-A40RYNyM55VL/view
Datawind Ubislate 7DCZ,Datawind_7DCZ_MT6571_0R06072BD84720_D705_V20ZDM8GN8GEN_280416.zip,425 MB,https://drive.google.com/file/d/1d6Ll-FASwsj_zfbTAZY2lwVZl6XrnK5u/view
Datawind 7C Plus,Datawind_7C_Plus_MT6571_0C06072BD9361V_V1.1_150304.zip,314 MB,https://drive.google.com/file/d/1AIz8Axv53enwVK6SUjAHz2nwwiPJOgba/view
Datawind Ubislate 3G7X,Datawind_UbiSlate_3G7X_MT6572_0P06074BD8372D_W706_V30LMM4GN8GEN_041215.zip,402 MB,https://drive.google.com/file/d/1mYwP7sE6GWebSBEfz58V2jSuiVC8BaOw/view
Datawind Ubislate 7SC,Datawind_7SC_MT6572_0R15072AD8373M1650IN_W705J_V30ZDM4GN8GEN_161216.zip,528 MB,https://drive.google.com/file/d/1c5Yf0TnScVYWFAxp82dJP-_jx6XUd9fB/view
Datawind UbiSlate 7DC Star,Datawind_7DC_Star_MT6571_0P060728D83620_D705_V20LMM4GN4GEN_290216.zip,366 MB,https://drive.google.com/file/d/1epNFg_09tjz5O2AksMjhfnyfOiW8Zah9/view
Datawind UbiSlate 7C Plus Edge,Datawind_7W_0P0Z070AD2362Y_V52_160112_APPT.zip,433 MB,https://drive.google.com/file/d/16J5xD9t2TB1H9IGD4rCA1e1B8-O3ImKW/view
Datawind UbiSlate 3G7,Datawind_UbiSlate_3G7_MT6572_0C04074BD8461S_150401.zip,221 MB,https://drive.google.com/file/d/1-XnTH_Ca_Vm3HyOE_pumIXorkoOtWjlJ/view
Datawind UbiSlate 3G10,Datawind_Ubislate_3G10_MT6580_Nigeria_HMX_ENG_8321_EMMC_DDR3_2G_260716.zip,767 MB,https://drive.google.com/file/d/1qVs9AFHdRspaNbmqZHJLc_ddJ_j36Hlb/view
Datawind UbiSlate 7CZ,Datawind_Ubislate_7CZ_0C02072AD0462B_V1.8H_150714_PS.zip,314 MB,https://drive.google.com/file/d/1MCgLb1-TEa65cnk_eJtcpPRuaeziCJrD/view
