Model,File Name,File Size,Download Link
Digma Pro Zenith TA3D1P01,Digma_Pro_Zenith_TA3D1P01_Rev1_Factory_241029_SPD.zip,2.27 GB,https://drive.google.com/file/d/1F0unifP9sVdyGUOatAAaL-uXt1FVeJWc/view?usp=sharing
Digma Pro Zenith TA3E1P01,Digma_Pro_Zenith_TA3E1P01_Rev1_Factory_241106_SPD.zip,2.27 GB,https://drive.google.com/file/d/1U19N3YX_arGD1Rpa-lgTyCrIwXTPcPqd/view?usp=sharing
Digma Optima 7258C 4G TS7226PL,Digma_Optima_7258C_4G_TS7226PL_Rev1_Factory_20230701_SPD.zip,1.57 GB,https://drive.google.com/file/d/1HP-WepL4jXNkHQaDoZyKZNgRKi7504S6/view?usp=sharing
Digma Kids A7 DA5B7P01,Digma_Kids_A7_DA5B7P01_Rev1_Factory_20240731_SPD.zip,1.17 GB,https://drive.google.com/file/d/1FSp9EWaTw6jPQT8u-IS910n3bDONHSby/view?usp=sharing
Digma Pro Spark TA1C8M01,Digma_Pro_Spark_TA1C8M01_MT6768_Rev1_Factory_20241227.zip,7.34 GB,https://drive.google.com/file/d/113HxBPsJomHAOvEG0hLrpKfGO15exj92/view?usp=sharing
Digma Pro Zoom TA3D0P02,Digma_Pro_Zoom_TA3D0P02_Rev1_Factory_20241030_SPD.zip,2.28 GB,https://drive.google.com/file/d/15JNkz8nnPa_o24p5AgYAIIBhRP4swKqc/view?usp=sharing
Digma Pro Zoom TA3E0P02,Digma_Pro_Zoom_TA3E0P02_Rev1_Factory_20241104_SPD.zip,2.28 GB,https://drive.google.com/file/d/1eEExq19gbcK0NvHRM7jR8ok67osEMywM/view?usp=sharing
Digma Pro Zoom TA2D0P03,Digma_Pro_Zoom_TA2D0P03_Rev1_Factory_241024_SPD.zip,2.28 GB,https://drive.google.com/file/d/1pI4w8tRgvmMRljdxYBpsksqZQ_uJV8hu/view?usp=drive_link
Digma Pro Empire TA3E2M01,Digma_Pro_Empire_TA3E2M01_MT6789_Rev1_Factory_20241015_MXML.zip,2.33 GB,https://drive.google.com/file/d/1C8eFnXcH36Wtekr4m8zvz_ybgbKtVKTb/view?usp=sharing
Digma Kids A8 DA5B8P01,Digma_Kids_A8_DA5B8P01_Rev1_Factory_240904_SPD.zip,1.26 GB,https://drive.google.com/file/d/1Z_6Iqcs7QJCTmYGqY8ROvBvBG68EAxJk/view?usp=sharing
Digma Kids A10 DA5B0P01,Digma_Kids_A10_DA5B0P01_Rev1_Factory_240809_SPD.zip,1.26 GB,https://drive.google.com/file/d/1zxXCcIGpZm8p4WXbCdNKL6EGuhcObxr8/view?usp=sharing
Digma Pro Hit 18 HS1012PL,Digma_Pro_Hit_18_HS1012PL_Rev2_Factory_240821_SPD.zip,1.97 GB,https://drive.google.com/file/d/17OzYe1wjgapFsJGhcKLTijy7Uxq-hbCR/view?usp=sharing
Digma Pro Zenith TA2D1P01,Digma_Pro_Zenith_TA2D1P01_Rev1_Factory_241024_SPD.zip,2.27 GB,https://drive.google.com/file/d/1Z8Av3NN9xrbzvalfoFoMdcQ4xm-NxmSE/view?usp=sharing
Digma Pro Edge TA3E1M01,Digma_Pro_Edge_TA3E1M01_MT6768_Rev1_Factory_240819.zip,1.88 GB,https://drive.google.com/file/d/1uKy8t6JK3vwT3FcGy302Kh5KBI2I6bf7/view?usp=drive_link
