Model,File Name,File Size,Download Link
Explay Scream 3G,Explay_Scream_3G_MT6589_V1.0_26122013.zip,400 MB,https://drive.google.com/file/d/1HjbWWkCDkROnV8YD__uh3PfIVuGR3dRq/view
Explay Shine,Explay_Shine_MT6582_FW_V1.0_20140523_4.2.2.zip,577 MB,https://drive.google.com/file/d/1SqoabBQpnK8cX9pFrDsUoLtmyIoXdRhG/view
Explay Sky Plus,Explay_Sky_Plus_MT6577_V1.01_20130527.zip,772 MB,https://drive.google.com/file/d/1CITcZydrji7iS2KzU2yh6aCP49bJPyz6/view
Explay N1,Explay_N1_20130917_RBT.zip,460 MB,https://drive.google.com/file/d/1suh_4JgOx6y879il8QnU4v7eZw1sfe2l/view
Explay N1 Plus,Explay_N1_Plus_20140219_RBT.zip,272 MB,https://drive.google.com/file/d/1f79EFx7PCH4sU1R0w7BCI52Ng1STcI-d/view
Explay Oxide,Explay_Oxide_V1.0_20140603_RBT.zip,300 MB,https://drive.google.com/file/d/1YVqPUROeVxSWWHUb9TYUzYZOtTQEQ-CK/view
Explay A350,Explay_A350_20121101_OTA.zip,119 MB,https://drive.google.com/file/d/1oHMqFX51U4C9ilpUKBuBGg2rR1juGal2/view
Explay Cloud,Explay_Cloud_V1.0_20140605_RBT.zip,300 MB,https://drive.google.com/file/d/1vIGy6R_CAAIgm0FJMoY9mcvKismOnwUT/view
Explay i1,Explay_i1_V1.01_20140222.zip,347 MB,https://drive.google.com/file/d/17XcZWUWgK21U6udWfg33uPA-GaSsxm89/view
Explay Informer 703,Explay_Informer_703_V2.00_20121128.zip,237 MB,https://drive.google.com/file/d/1PodWfTZwuB_-IvLGh7ENAXAtTqNdo6u4/view
Explay Informer 707,Explay_Informer_707_V2_201209015_RBT.zip,352 MB,https://drive.google.com/file/d/1f63-U1W1Nr9YH08iyqbipr-XxjHp7Tla/view
Explay M1 Plus,Explay_M1_Plus_20141120_RBT.zip,411 MB,https://drive.google.com/file/d/1eKiRITvrv6xpXwYWRptOrtkCy_gXB93k/view
Explay Informer 921,Explay_Informer_921_20120924_LS.zip,384 MB,https://drive.google.com/file/d/1_4T5835TQ-iT5Xb-wmnB0U4FfEZ6GHQm/view
Explay M2 3G,Explay_M2_3G_MT6582_V1.0_28122013_4.2.2.zip,352 MB,https://drive.google.com/file/d/1bMoRUKPRsW5agYcUNN95bJA7GExmcw6U/view
Explay MID-715,Explay_MID-715_20111127_RBT.zip,101 MB,https://drive.google.com/file/d/1m3o7wNebhRCveswYrRoxMrF9myPfbTfM/view
Explay MID-725,Explay_MID-725_20111209_RBT.zip,123 MB,https://drive.google.com/file/d/1ZDx8R4vJNUccPJjnHvyAvEDmZtPsxIOy/view
Explay Mini TV 3G,Explay_Mini_TV_3G_MT6589_V1.01_20140303.zip,357 MB,https://drive.google.com/file/d/1zZ1tMwf4hGKbr1_hF387W-qv-bRDKPYN/view
Explay Favorite,Explay_Favorite_V1.0_20150622_PS.zip,265 MB,https://drive.google.com/file/d/1ESyEX6GEhfz7WqT7XLQ_0jr8sNPut3zS/view
Explay Fog,Explay_Fog_V1.0_20150622_PS.zip,267 MB,https://drive.google.com/file/d/1qAgNMQWvTUOnpn7RvoJDsuc-nNGibi_f/view
Explay Informer 701,Explay_Informer_701_V1.04_20120615_PS.zip,217 MB,https://drive.google.com/file/d/1hoKVbktdgVfz61AWqr1tACFmAwHyfGJO/view
Explay Informer 702,Explay_Informer_702_20110903_PS.zip,145 MB,https://drive.google.com/file/d/1018U463tkwWwBVSlrZY7okndng4pCNoN/view
Explay Informer 704,Explay_Informer_704_20120731_LS.zip,352 MB,https://drive.google.com/file/d/1WHULn110QFyCuqtCEL2HqCJHAX_Cn9zR/view
Explay Informer 705,Explay_Informer_705_V1.04_20130624_LS.zip,298 MB,https://drive.google.com/file/d/1cExKetyyrECF7zPkWsimSaqagT35N5eU/view
Explay Informer 706 3G,Explay_Informer_706_3G_20121113_LS.zip,348 MB,https://drive.google.com/file/d/1eMMCoidS3vhAWal51CyF9Gee8YCiWCPT/view
Explay Informer 708 3G,Explay_Informer_708_3G_V1.0_20121112_LS.zip,323 MB,https://drive.google.com/file/d/1lNCTiszgTe47aBsCS_K33UeeIdpvedj7/view
Explay Informer 801,Explay_Informer_801_4.0_20120511_LS.zip,211 MB,https://drive.google.com/file/d/1XNkaNHXpt19YoAAchFZLMEcymP90ev3L/view
Explay Informer 804,Explay_Informer_804_V1.00_20120710_LS.zip,237 MB,https://drive.google.com/file/d/1JRAO10BU9da8Bb2MJBHYb8i8krbsx2mW/view
