Model,File Name,File Size,Download Link
Firefly Station M1 Geek Mini PC,Firefly_Station_M1_Geek_Mini_PC_OS_V1.2.6_210927_OTA.zip,875 MB,https://drive.google.com/file/d/1H8PyP26g9aV5itrx4f-qcsxebjuNpffO/view?usp=sharing
Firefly Station M2 Geek Mini PC,Firefly_Station_M2_Geek_Mini_PC_OS_V1.3.0.11_eMMC_220426_RBT.zip,1.14 GB,https://drive.google.com/file/d/1QYFj98hvsw4gT-3591wiZke-BSE91AJ6/view
Firefly Station M3 Geek Mini PC,Firefly_Station_M3_Geek_Mini_PC_v1.5.1.12_240311_RBT.zip,1.35 GB,https://drive.google.com/file/d/1iujKWK4sq-WptVNzp1671hpKr3u-FT5P/view
Firefly Station M1,Firefly_Station_M1_RK3328_V1.2.6_210927_OTA.zip,875 MB,https://drive.google.com/file/d/1Pbkjs1Fd3aUguHHRPK-GtxaYjvo3kEqi/view
Firefly Station Geek 3588 Mini,Firefly_Station_Geek_3588_Mini_PC_RK3588_V1.3.5.12_eMMC_221027_RBT.zip,1.27 GB,https://drive.google.com/file/d/1PAM_v70WpuyNY6XsFHT8fJilxRj5x221/view
Firefly Station P1,Firefly_Station_P1_RK3588S_OS_V1.3.5.10_221027_RBT.zip,1.08 GB,https://drive.google.com/file/d/1LstM8RgBRunQnLbW7li_yzxELetxLznl/view
Firefly Station M3,Firefly_Station_M3_RK3588S_OS_V1.3.5.12_221026_RBT.zip,1.26 GB,https://drive.google.com/file/d/10jlAL2HK1HDdd6gMh0B3RYuVkcXbnlDs/view
Firefly Station P1 Pro,Firefly_Station_P1_Pro_RK3399_Station_OS_v1.3.5.10_221024_RBT.zip,1.08 GB,https://drive.google.com/file/d/1uHxMO8cdIvK4wxglOao_WSU9TV9bAupK/view
Firefly Station M2,Firefly_Station_M2_V1.0.8_220305.zip,1 GB,https://drive.google.com/file/d/1t72GuINOcG1udIjtchdo8RHqDKaKvX6Q/view
Firefly Station P2,Firefly_Station_P2_RK3568_V1.3.0.11_GMS_220519_OTA.zip,1.02 GB,https://drive.google.com/file/d/1Kd2RTI4gEiSRPMzAoRexp0JRJ-LnGF38/view
Firefly Station M2 Geek Mini,Firefly_Station_M2_Geek_Mini_PC_OS_V1.3.1.11_eMMC_220523.zip,1.16 GB,https://drive.google.com/file/d/1AQYglZ-4GN8WWFB2tBst2v3xIzPP2w_M/view
Firefly Super Sweet,Firefly_Super_Sweet_MT6580_221018_5.1.zip,566 MB,https://drive.google.com/file/d/1kcFr0_x-k6t2FGCprMs87uOoDutgmKSM/view
Firefly Mobile Xceed,Firefly_Mobile_Xceed_MT6580_U2_030119_5.1.zip,563 MB,https://drive.google.com/file/d/1V5rmlH8N1pgtyjhXdlApCJ0S8DJTcZKU/view
Firefly Mobile A6,Firefly_Mobile_A6_MT6580_U2_030119_5.1.zip,563 MB,https://drive.google.com/file/d/1E6E5Dh3i2HtHd-sOsB1RELh6Og5XxcWH/view
Firefly S60,Firefly_S60_MT6572_V4_140816.zip,953 MB,https://firmwaredrive.com/index.php?a=downloads&b=file&id=235
Firefly Mobile Aurii Passion 4G,Firefly_Mobile_Aurii_Passion_4G_Rev6_OTA.zip,755 MB,https://drive.google.com/file/d/1ufazqdNIAAL35Qu4WG-K01jpCmAAcGsz/view
