Model,File Name,File Size,Download Link
Gionee C620,Gionee_C620_MSM8625_20130718_4.1.2_QPST.zip,999 MB,https://drive.google.com/file/d/1dpTmZNiFFPU8gn1va0DLvVMGt2Fp4zzW/view
Gionee V188,Gionee_V188_MT6582_20151127_4.4.2.zip,872.1 MB,https://drive.google.com/file/d/1TDWNo793DnyUlKFjKD87Yi1oiIqw2Ctj/view
Gionee V183,Gionee_V183_MT6752_20150409_4.4.4.zip,1.08 GB,https://drive.google.com/file/d/1ZYW8xuS-C115wSTemXmtD9AQ4DqHNScw/view
Gionee V182,Gionee_V182_MT6572_20140707_4.2.2.zip,718.2 MB,https://drive.google.com/file/d/1wFNQybTP6X4jdtilk1CTDQMALPE7yABU/view
Gionee P61,Gionee_P61_MT6771_13052022_11.0.zip,2.25 GB,https://drive.google.com/file/d/1OErmT_HzMiY9xjwi-cCYtTct2W6QCPpE/view
Gionee GN800,Gionee_GN800_MT6577_20130827_4.0.4.zip,301.4 MB,https://drive.google.com/file/d/1ucOu36rDzbQWE0FfXhvaaQFxNequcMyX/view
Gionee GN152,Gionee_GN152_MT6735M_20160108_5.1.zip,1.54 GB,https://drive.google.com/file/d/13krRp17ipGZitAdp0kt5XgXTKwgUtYtS/view
Gionee W601,Gionee_W601_MT6572_20151127_4.2.2.zip,577.3 MB,https://drive.google.com/file/d/1VrU-R1AVWm_ajtqMrz5i43FWRuygfrSf/view
Gionee W900,Gionee_W900_MT6752_20150416_4.4.4.zip,1.09 GB,https://drive.google.com/file/d/1ps5AtIBNDn78MULKlpzWN-Sg-KqkiFTp/view
Gionee F303,Gionee_F303_MT6735_20160301_5.0.2.zip,1.36 GB,https://drive.google.com/file/d/1fFmW5HJMC3chHWOXJSCF7wWExi-YjhZX/view
Gionee X817,Gionee_X817_MT6589_20151127_4.2.1.zip,995 MB,https://drive.google.com/file/d/11Q3fnnRYB2TxInEXbPIoXxoP9hlt1BAm/view
Gionee X805,Gionee_X805_MT6589_20151127_4.2.1.zip,936.1 MB,https://drive.google.com/file/d/1S2MC6ISB3kI-d8wxTzMCKOgzGJ2hMYYP/view
