Model,File Name,File Size,Download Link
GoldMaster GM I-905,GoldMaster_GM_I-905_V1.6_220708_OTA.zip,728 MB,https://drive.google.com/file/d/19y_jUXg4CZtoIIR0ahfw5_CJhp8ISHTp/view
Goldmaster Detroit,Goldmaster_Detroit_190814_Amlo.zip,315 MB,https://drive.google.com/file/d/1Ibaxg-0ZY_hw4F1QzzoHXISViahqrDET/view
Goldmaster HDM-218,Goldmaster_HDM-218_Smart_Stick_20140505_OTA.zip,395 MB,https://drive.google.com/file/d/1lMuYrEu1VQ_-S8ztpvP2bdbWB0xitn7Q/view
Goldmaster TAB-718,Goldmaster_TAB-718_110614_Amlo.zip,273 MB,https://drive.google.com/file/d/1LxL73Ox2ETuShgmmwv9ypCtHAPxp52Mh/view
Goldmaster Tab-728,Goldmaster_Tab-728_310314_Amlo.zip,200 MB,https://drive.google.com/file/d/1RHkiPxvfopxaZ_Nad5OM2pYqSc2NgVVV/view
Goldmaster TAB-924,Goldmaster_TAB-924_191213_RBT.zip,431 MB,https://drive.google.com/file/d/1jE3YYxBTLMoVPX_BBDGDMCdSnOnPhppU/view
Goldmaster F4,Goldmaster_F4_20190227_PS.zip,690 MB,https://drive.google.com/file/d/1KhY22XLKt96hk_1rpRK1tneU8b4hl7WN/view
Goldmaster Funcy 3,Goldmaster_Funcy_3_20171204_PS.zip,834 MB,https://drive.google.com/file/d/1opwQQGyhQyWKXfi467nvPCdK8qV8CVEg/view
Goldmaster Grande,Goldmaster_Grande_20140401_PS.zip,430 MB,https://drive.google.com/file/d/16mVZo576A4gwfAjo19Jv0Vxi69fyKxx8/view
Goldmaster Like 2,Goldmaster_Like_2_MT6735_20160323_5.1.zip,674 MB,https://drive.google.com/file/d/1bnMF-NYHUq2sLPrpuMeb-0DIPGUKQyoc/view
Goldmaster Like 7,Goldmaster_Like_7_MT6582_20140610_4.2.2.zip,370 MB,https://drive.google.com/file/d/1ZfkoZOXeptUtr7pGJDVGJa9V9XORuj8D/view
Goldmaster SmartPad Enjoy 7,Goldmaster_SmartPad_Enjoy_7_20140719_4.4.2_IPFT.zip,499 MB,https://drive.google.com/file/d/1O5uQCQOpqcuowvAz5aeN_BY3mywjW4My/view
Goldmaster Storm 727 HD,Goldmaster_Storm_727_HD_20130612_PS.zip,432 MB,https://drive.google.com/file/d/1cXcAUyclnP6XLd1DMhzcvsH_gZozrUol/view
Goldmaster TAB-728 HD,Goldmaster_TAB-728_HD_20130715_V2.0.2_4.1.1_RBT.zip,552 MB,https://drive.google.com/file/d/1nDq933Iv-ONM4R_cYncBdJRla5Q60pEH/view
Goldmaster TAB-971,Goldmaster_TAB-971_20140820_RBT.zip,544 MB,https://drive.google.com/file/d/1cTnfoX0qVeXCmfQ9x8VbQiKah9lcV5P5/view
Goldmaster TAB-816,Goldmaster_TAB-816_20140311_Amlo.zip,415 MB,https://drive.google.com/file/d/14vQ-7r8b2mbmJA0Zfe8PMK_DZ8reiEWY/view
Goldmaster Detroit 2,Goldmaster_Detroit_2_20150618_RBT.zip,417 MB,https://drive.google.com/file/d/1Ih0Me94zFXs0am8FnmQ8kDx-wQCr-xEG/view
Goldmaster Detroit 3,Goldmaster_Detroit_3_20170419_RBT.zip,293 MB,https://drive.google.com/file/d/1-qmK4aSkFgrCdxra9XdSjkOP9F5j3lLI/view
Goldmaster Kinder 7,Goldmaster_Kinder_7_20140521_RBT.zip,353 MB,https://drive.google.com/file/d/1Xl-l8mKJQIAq1jYWZrpNh_18qqi0auHY/view
Goldmaster Blanco,Goldmaster_Blanco_20140403_PS.zip,364 MB,https://drive.google.com/file/d/1WKL4Hgv0UnKntkGh0Lx9ZOMBYKZ3qQrh/view
Goldmaster Albino 2,Goldmaster_Albino_2_20161228_PS.zip,359 MB,https://drive.google.com/file/d/1l8iHSnsgnaPwE73jTI-d1wKi_1GFfjBb/view
Goldmaster Albino,Goldmaster_Albino_20140529_PS.zip,415 MB,https://drive.google.com/file/d/1H-o95NWcUcVCjGf459nvuAV4DXRo-m5Y/view
Goldmaster Bengal 4,Goldmaster_Bengal_4_20170802_RBT.zip,616 MB,https://drive.google.com/file/d/10khokLNsdZEwqy8itpaWE49uJ9lj-b9p/view
Goldmaster Bengal 5,Goldmaster_Bengal_5_20170802_PS.zip,559 MB,https://drive.google.com/file/d/1AZu4jBNvnKcDLQDJwNnrCGqQ9D02LSYa/view
Goldmaster Bengal 6,Goldmaster_Bengal_6_20181106_8.1_PS.zip,1007 MB,https://drive.google.com/file/d/1Myudu5ni5BoVbXCvzGXirwHC-qSBQcfC/view
Goldmaster Bengal,Goldmaster_Bengal_20141121_PS.zip,414 MB,https://drive.google.com/file/d/1f3LrfctR5IY7jHSc2k-5fQzEOk81KjwW/view
Goldmaster Bengal Plus,Goldmaster_Bengal_Plus_V2.1_20150210_4.4.2_PS.zip,340 MB,https://drive.google.com/file/d/1uRx50GZslD_q6X_SoTpjqcrnup-FjiHz/view
