Model,File Name,File Size,Download Link
Gtouch G919,Gtouch_G919_MT6572_V001.3.0_161017_4.4.2.zip,1.53 GB,https://drive.google.com/file/d/1Z_jQry8kWj7jj1F4dfzMC_HL97Shyoux/view
Gtouch G8,Gtouch_G8_MT6580_V1.0_20220419_8.1.0.zip,769 MB,https://drive.google.com/file/d/1kBhFhYyb7c41QwIqMU3tZoGHcx00Wmo-/view
GTouch G513,GTouch_G513_MT6582_221101_10.zip,1014 MB,https://drive.google.com/file/d/1X2iYxtqJQXkHr6DKijkDFY6ssz0bWSrT/view
GTouch G2 Plus,GTouch_G2_Plus_SC8830_V01_20191212_8.1_SPD.zip,621 MB,https://drive.google.com/file/d/1b18pmOpcH8I7hkRXrR3G1hbMBN2nV-Dh/view
GTouch G2,GTouch_G2_SP7731_V08_06122017_6.0_SPD.zip,663 MB,https://drive.google.com/file/d/18_3PJjHHhGUc2m4ldXBDswOgV_ssznZr/view
GTouch G3 Plus,GTouch_G3_Plus_SP7731GEA_V01_20191212_8.1_SPD.zip,637 MB,https://drive.google.com/file/d/1P6RvtQSvdSppdsIvFdU5r5Iuf8--djEu/view
GTouch G009,GTouch_G009_MT6572_10162017_4.4.2.zip,729 MB,https://drive.google.com/file/d/1vkhRa_EYH9BbS9vvHCGai_LRRzYgtr-k/view
GTouch G75,GTouch_G75_SP5735C2EA_20170526_4.4.2_SPD.zip,550 MB,https://drive.google.com/file/d/1pjt7rTuyNGNOJjom7YULmgDDEHVmcv1T/view
GTouch G111,GTouch_G111_MT6572_06222016_4.4.2.zip,810 MB,https://drive.google.com/file/d/1SQrnz4GY00ku12U67xWopuqocOOE0FDl/view
GTouch G333,GTouch_G333_MT6572_05091970_4.4.2.zip,391 MB,https://drive.google.com/file/d/1LXf5Oldx46NZkhH1tTt0-_taUvD1R7PR/view
GTouch S72,GTouch_S72_MT6572_12242015_4.4.2.zip,837 MB,https://drive.google.com/file/d/1bYxLVvhH0Dm6CbLmKlmmKtpCRCv7V7Fx/view
GTouch G65,GTouch_G65_SP5735C2EA_170318_4.4.2_SPD.zip,532 MB,https://drive.google.com/file/d/1rdR_N4US8DrkNrw1xrzfJXYRdnaHuqOQ/view
GTouch G6 Plus,GTouch_G6_Plus_MT6580_V02_190430_6.0.zip,761 MB,https://drive.google.com/file/d/1EMCv78e_FG8U7civaiTJvAvhW4MtUaa1/view
GTouch G007,GTouch_G007_MT6572_050116.zip,408 MB,https://drive.google.com/file/d/1tiNnGeoh426Q_iJx7iof8QGMbMeRvklZ/view
GTouch G4,GTouch_G4_MT6580_V02_20190430_8.1.zip,769 MB,https://drive.google.com/file/d/1uW-NAKeTiSBZl_6k1NyUmjl4gXhvDwdH/view
