Model,File Name,File Size,Download Link
HMD Fusion,HMD_Fusion_HMDSW_NHK_166A_0_00WW_B01_User_DeviceKit.zip,3.28 GB,https://drive.google.com/file/d/1Kdfu4vAz6rZi1UNQCKe_iy8nAQH4pr7v/view?usp=sharing
HMD Pulse,HMD_Pulse_HMDSW_LGD_1520-0-00WW-B01_User_DeviceKit.zip,2.86 GB,https://drive.google.com/file/d/1Yw_ED10eG8gj4F6UpCl0ZrlIquUAoGeD/view?usp=sharing
HMD Key,HMD_Key_HMDSW_CMT_1060-0-00WW-B01_User_DeviceKit.zip,1.72 GB,https://drive.google.com/file/d/1WqqTajojCowReTAlyZZghm8zdoGEhdRC/view?usp=sharing
HMD Pulse Plus,HMD_Pulse_Plus_HMDSW_LGD_1520-0-00WW-B01_User_DeviceKit.zip,2.86 GB,https://drive.google.com/file/d/1pVJsqMVKdeoTI_puy7kVj2PEdXcSFnQe/view?usp=sharing
HMD Pulse Pro,HMD_Pulse_Pro_HMDSW_LGD_1520-0-00WW-B01_User_DeviceKit.zip,2.86 GB,https://drive.google.com/file/d/1HsGSCkc-LVMRufYxQaCGQNthKawVFR6p/view?usp=sharing
HMD Aura,HMD_Aura_HMDSW_RCK_1100-0-00WW-B01_User_DeviceKit.zip,2.60 GB,https://drive.google.com/file/d/1GS8VGZBGKgXjbXEyE6X2KsJkpq_VuCeh/view?usp=sharing
HMD Crest Max,HMD_Crest_Max_HMDSW_ARW_150C-0-00WW-B01_User_DeviceKit.zip,3.31 GB,https://drive.google.com/file/d/1TJgbBlzF4aUglnT1ZLMdZU550RumJigK/view?usp=sharing
HMD Vibe TracFone,HMD_Vibe_TracFone_HMDSW_SHK_107L-0-02US-B01_User_DeviceKit.zip,2.68 GB,https://drive.google.com/file/d/1UzcAFAURUfX_6UEenzwyRDCkoyyeSFSg/view?usp=sharing
HMD XR21,HMD_XR21_HMDSW_SNT_321A-0-00WW-B01_User_DeviceKit.zip,3.20 GB,https://drive.google.com/file/d/1LjgJaHYNanuGKlUwiVEqv2Rv-jC1tm35/view?usp=sharing
HMD Arc,HMD_Arc_HMDSW_NYX2G_1110-0-00WW-B01_User_DeviceKit.zip,1.84 GB,https://drive.google.com/file/d/1_vcyM-CAPFQStEEp6SQEK7oTorokTtxm/view
HMD Crest,HMD_Crest_HMDSW_ARW_1180-0-00WW-B01_User_DeviceKit.zip,3.30 GB,https://drive.google.com/file/d/1fbqg0dSbWgJk1pfxdsuEs12EPRQnHIyn/view
HMD T21,HMD_T21_HMDSW_AGT_347A-0-00WW-B01_User_DeviceKit.zip,3 GB,https://drive.google.com/file/d/1MSqNQ8cYTh8wMgmt8LbEOjU9FdcqCL_1/view
