Model,File Name,File Size,Download Link
Homtom C1,Homtom_C1_MT6580_V1.2_20190117_8.1.zip,621 MB,https://drive.google.com/file/d/1V2ykOSRiEFn5kkbFQ7zcdjTTqxuU73Hh/view
AiTecnol AC-9,AiTecnol_AC-9_MT6580_V1.0_181221_5.1.zip,438.8 GB,https://drive.google.com/file/d/1sL14WApRA5VWjROF0M151yhNUN9jg0Ne/view
Homtom H10,Homtom_H10_MT6750_,1.17 GB,https://drive.google.com/file/d/1Qj27s4WNOhGL1geR_z8GeBC9hEytJdyF/view
HomTom HT6,HomTom_HT6_MT6735M_R17_20160513_5.1.zip,540 MB,https://drive.google.com/file/d/1SWdld_MEuze2TW-YRFewfIanuqni2J3v/view
Homtom C2,Homtom_C2_MT6739_V1.1_180913.zip,1 GB,https://drive.google.com/file/d/1Q7EGxNjFnVYPsWK5_ISGxiUElGSMZ93s/view
Homtom Zoji Z33,Homtom_Zoji_Z33_MT6739_V1.0.9_181123.zip,1 GB,https://drive.google.com/file/d/1fYRoUZVGHXxGqYNmpez_OBH5tEwyunD6/view
Homtom HT26,Homtom_HT26_MT6737M_R08_171019_7.0.zip,928 MB,https://www.mediafire.com/file/xbgv64ex8pophb8/Homtom_HT26_MT6737M_R08_171019_7.0.zip/file
HomTom S12,HomTom_S12_V1.0.8_TWRP_Root_V2_OTA.zip,438 MB,https://drive.google.com/file/d/1Ya3u5mybkzWUIrNCgfYxlqAkHVzGE3kf/view
HomTom S9 Plus,HomTom_S9_Plus_MT6750_V05_180131.zip,1 GB,https://drive.google.com/file/d/17CzvF_aLv4IVFV_ylxyFy-so4BQDPqw-/view
Homtom HT80,Homtom_HT80_MT6737M_V1.1.9_2G_16G_20200326.zip,1.8 GB,https://drive.google.com/file/d/16u6qtU2NbPmRdJreFgrrOfWu3xNwWvBs/view
Homtom C8,Homtom_C8_MT6739_V02_20190125.zip,1 GB,https://drive.google.com/file/d/1Ca52MQl2FHpJ_1anxYVrJLT1OKeD0fwU/view
Homtom HT27,Homtom_HT27_MT6580_V6.1.3_20170508_6.0.zip,779 MB,https://drive.google.com/file/d/1HCApx60IjxpTQcD3uVJ_1aGaxqRDnmve/view
Homtom HT17,Homtom_HT17_MT6737_20170724_6.0.zip,863 MB,https://www.mediafire.com/file/zfuf1jrkfjpmcar/Homtom_HT17_MT6737_20170724_6.0.zip/file
Homtom HTS8,Homtom_HTS8_MT6750_,1 GB,https://www.mediafire.com/file/burxn3dlzelmre8/Homtom_HTS8_MT6750_R10_20171012_7.0.zip/file
