Model,File Name,File Size,Download Link
Honor Magic 5 Pro PGT-N49,Honor_Magic_5_Pro_PGT-N49_9.0.0.173_C185E5R2P2_Firmware_Magic_OS_9.0_0501ABNU_Dload.zip,7.56 GB,https://drive.google.com/file/d/1mYiC6u0e4AgASzdT_84fbURmDeJT6o15/view?usp=sharing
Honor 8S Katyusha-L29B,Honor_8S_Katyusha-L29B_9.0.1.120_C185E2R2P4_Firmware_9.0.0_r3_EMUI9.0.1_05015UKW_Dload.zip,2 GB,https://drive.google.com/file/d/1yGxZ-Wg0AJPhYV1HggZi6EGxzMpApfgU/view?usp=sharing
Honor 8X Johnson-L22DX,Honor_8X_Johnson-L22DX_9.1.0.305_C185E1R2P1T8_Firmware_EMUI9.1.0_05016QWG_Dload.zip,3.37 GB,https://drive.google.com/file/d/1lwwtQq_pnmCJXTL9SgLjbvV-fvdp9Pky/view?usp=sharing
Honor 90 Lite CRT-N03,Honor_90_Lite_CRT-N03_7.1.0.183_C69E11R1P1_Firmware_Magic_OS_7.1_0501ACDQ_Dload.zip,4.14 GB,https://drive.google.com/file/d/17t5_HRjFuWsmxL6KLL2JGCvxva-SD5M-/view?usp=sharing
Honor X7 CMA-L42CQ,Honor_X7_CMA-L42CQ_7.1.0.209_C185E5R2P2_Firmware_Magic_OS_7.1_05017LXD_Dload.zip,4 GB,https://drive.google.com/file/d/1kBMC51AxsuYTa5b6WkcINdAPe3Zf1kyY/view?usp=sharing
Honor X8A CRT-L32,Honor_X8A_CRT-L32_8.0.0.186_C185E3R2P2_Firmware_Magic_OS_8.0_0501ABCW_Dload.zip,4.52 GB,https://drive.google.com/file/d/1h6_RCOd-4-uLQwae_u-geYpmo3SUW40E/view?usp=sharing
Honor 9X Stark-L21DHNVX7,Honor_9X_Stark-L21DHNVX7_9.1.0.331_C185E2R4P1_Firmware_EMUI9.1.0_05016SQE_Dload.zip,3 GB,https://drive.google.com/file/d/1TiPjs7nETJ5Bt0Xe4ZFVDuXUhUZ9s7jb/view?usp=sharing
Honor 70 FNE-N29,Honor_70_FNE-N29_8.0.0.234_C185E7R2P1_Firmware_Magic_OS_8.0_0501AAEL_Dload.zip,5.96 GB,https://drive.google.com/file/d/1M1ROQ4p1Adckc7WM75ArQeoei5XHhWaf/view?usp=sharing
Honor X70 MTN-AN00,Honor_X70_MTN-AN00_9.0.0.111_C00E110R101P2_Firmware_General_Magic_OS_9.0_0501AGNT_Dload.zip,9.36 GB,https://drive.google.com/file/d/1uriJi99mj3S4pEvkikfVKYocCG9SwaoC/view?usp=sharing
Honor X9 ANY-LX2,Honor_X9_ANY-LX2_7.1.0.227_C185E63R2P3_Firmware_Magic_OS_7.1_05017MCD_Dload.zip,4 GB,https://drive.google.com/file/d/1mLFgTnqkeoApLmylNpI6iDkSSIuqk-yQ/view?usp=sharing
Honor X9A RMO-N21,Honor_X9A_RMO-N21_7.1.0.315_C185E7R2P4_Firmware_Magic_OS_7.1_0501ABDB_Dload.zip,4.62 GB,https://drive.google.com/file/d/1OYw4PjiM462tfsJC2Efi2a8wdpx11qvX/view?usp=sharing
Honor X70 MTN-AN80,Honor_X70_MTN-AN80_9.0.0.111_C00E110R101P2_Firmware_General_Magic_OS_9.0_0501AGNV_Dload.zip,8 GB,https://drive.google.com/file/d/15luQyIbq_etcxCDD8o46oWF9belFNNLL/view?usp=sharing
Honor 9X Stark-L21DHNVX,Honor_9X_Stark-L21DHNVX_10.0.0.207_C185E2R4P1_Firmware_EMUI10.0.0_05016SQE_Dload.zip,3.19 GB,https://drive.google.com/file/d/1-3n07eWGIJuDrGyWELUbkS4P43MLgnw4/view?usp=sharing
Honor 50 Lite NTN-LX1,Honor_50_Lite_NTN-LX1_4.2.0.275_C10E3R3P2_SDM662_301223_QFIL.zip,3.52 GB,https://drive.google.com/file/d/1Iz9R0Zv_7A98xDQxBoaIVLz-K0rnTvVr/view?usp=sharing
Honor Pad V9 ROL-W09,Honor_Pad_V9_ROL-W09_9.0.0.176_C185E2R2P2_Firmware_Magic_OS_9.0_0501AGAT_Dload.zip,5.63 GB,https://drive.google.com/file/d/17Uxl2Wh3SeTVV4SDUrDTseUq1eNrPUVk/view?usp=sharing
