Model,File Name,File Size,Download Link
Huawei P40 Pro Plus ELP-N39,Huawei_P40_Pro_Plus_ELP-N39_9.0.0.168_C185E7R3P1_Firmware_Magic_OS_9.0_0501AEGW_Dload.zip,7.4 GB,https://drive.google.com/file/d/1j6JwFkss7uxJzuGFFEQkgfXYs_fpUO5s/view?usp=sharing
Huawei Nova 2 Lite LDN-L22,Huawei_Nova_2_Lite_LDN-L22_8.0.0.159_C636CUSTC636D1_Firmware_8.0.0_r1_EMUI8.0_05015ADM_Dload.zip,2.64 GB,https://drive.google.com/file/d/152YxDaoU-ZL2GbdvU5Qs-aydE4vxzwwM/view?usp=sharing
Huawei Watch 3 Alex-AL10-BD,Huawei_Watch_3_Alex-AL10-BD_1.0.15.99_Board_Software_NA_NA_05022RGV_HMT.zip,782 MB,https://drive.google.com/file/d/1ttdNAXcCPz8c2nETfrQS55UFK07bxT-r/view?usp=sharing
Huawei Y6 2018 Atomu-L21,Huawei_Y6_2018_Atomu-L21_8.0.0.155_C432CUSTC432D1_8.0.0_R1_EMUI8.0_05015CHD_Dload.zip,2.21 GB,https://drive.google.com/file/d/1vBvoD2ZriIsrPNrG9vNv7Ixvaz4pmjAs/view?usp=sharing
Huawei Y7 Prime 2018 London-L22,Huawei_Y7_Prime_2018_London-L22_8.0.0.159_C636CUSTC636D1_Firmware_8.0.0_r1_EMUI8.0_05015ADM_Dload.zip,2.64 GB,https://drive.google.com/file/d/1sUPr8ZqRPyiBeeL3A5dE0yi6CRW3GgD-/view?usp=sharing
Huawei P50E ABR-AL60,Huawei_P50E_ABR-AL60_102.0.1.125_C00E120R2P3_Firmware_General_HarmonyOS_2.0.1_05018DHQ_Dload.zip,5.72 GB,https://drive.google.com/file/d/1MOqw0qEmbzVf0DWAuzgz4JttD4AYMBnz/view?usp=sharing
Huawei Y7 2018 LDN-L01,Huawei_Y7_2018_LDN-L01_8.0.0.162_C185_Firmware_8.0.0_r1_EMUI8.0_05015DSM_Dload.zip,3.03 GB,https://drive.google.com/file/d/1A4_musaFL75VF6P8KaDGoxXRLr3HAj_M/view?usp=drive_link
Huawei P30 Lite Marie-BD,Huawei_P30_Lite_Marie-BD_1.0.0.59_Board_Software_General_9.1.0_r1_EMUI9.1.0_05022PYS_HMT.zip,1.46 GB,https://drive.google.com/file/d/1g1XPeAXP3RrBHPc-Kbo3nB1oeoYUShfl/view?usp=sharing
Huawei Y5 Prime 2018 DRA-LX2-BD,Huawei_Y5_Prime_2018_DRA-LX2-BD_MT6739_1.0.0.31_Board_Software_20180921_8.1.zip,887 MB,https://drive.google.com/file/d/1EPL3BOC6FNPBJnk9HMMunKTH2EGBmHyh/view?usp=sharing
Huawei MediaPad M5 8.4 SHT-W09,Huawei_MediaPad_M5_8.4_SHT-W09_9.1.0.332_C432E3R1P2T8_Firmware_EMUI9.1.0 05014XYE_Dload.zip,3.68 GB,https://drive.google.com/file/d/1zcO7u_NXqe4O75vN9CJbFgrykJOQnOYb/view?usp=sharing
Huawei Y5 Lite 2018 Dura-L42HN,Huawei_Y5_Lite_2018_Dura-L42HN_MT6739_1.0.0.175_C10_05016DLP.zip,1.76 GB,https://drive.google.com/file/d/1Nq50tE9xGqfytSqlF695E4zvJ0ewk5_p/view?usp=sharing
