Model,File Name,File Size,Download Link
Innjoo F701,Innjoo_F701_SP7731GEA_V2_20170811_5.1_SPD.zip,515 MB,https://drive.google.com/file/d/15aOwozQwrJK6ktwECTIJnqTPafQpngGB/view
InnJoo Fire 2 Air LTE,InnJoo_Fire_2_Air_LTE_MT6735_07052016_5.1.zip,718 MB,https://drive.google.com/file/d/1iVUEEoFlAMCC-RWANebUuJEX8uue144v/view
InnJoo Halo 2 LTE,InnJoo_Halo_2_LTE_MT6737M_V1_20170208_6.0.zip,1005 MB,https://drive.google.com/file/d/1kx8rZRfTFLx-aYtzG6QTnhFxK3JknEcM/view
Innjoo Vision LTE,Innjoo_Vision_LTE_MT6737T_V1_20170805_7.0.zip,1002 MB,https://drive.google.com/file/d/1xPnfxCd3NUlpLCNgeRF2C9pfrMZqnp-b/view
Innjoo Halo 4 Mini LTE,Innjoo_Halo_4_Mini_LTE_V01_170929_7.0_SPD.zip,1018 MB,https://www.mediafire.com/file/3siicvwarvzlwsy/Innjoo_Halo_4_Mini_LTE_V01_170929_7.0_SPD.zip/file
Innjoo F104,Innjoo_F104_SP7731E_20191126_8.1.0_MIRA.zip,707 MB,https://drive.google.com/file/d/1gbfmEzZw5NfDNXjnspExQqhen1uNSSfC/view
Innjoo Halo X,Innjoo_Halo_X_V1_20161011_6.0_SPD.zip,835 MB,https://drive.google.com/file/d/1DEDuw1uYTy_Unh_OyEm3BzXaKePJ8FhA/view
InnJoo Fire 3 Mini,InnJoo_Fire_3_Mini_MT6735_20161101_5.1.zip,698 MB,https://drive.google.com/file/d/1LNskyCBkPFQbwED7dQ_U9W4BnZvWuBrv/view
InnJoo Fire 4 Plus,InnJoo_Fire_4_Plus_MT6750_V1_20170509_7.0.zip,1 GB,https://drive.google.com/file/d/1gkT4h4wRiR-EY34QiokbTe4-1coIyK7J/view
InnJoo Halo X LTE,InnJoo_Halo_X_LTE_V1_20161227_6.0_SPD.zip,908 MB,https://drive.google.com/file/d/1vdS2F1mWOCw0GOuz6dPMUgfBmRhH1Gq4/view
InnJoo I3,InnJoo_I3_V1_20170811_6.0_SPD.zip,734 MB,https://drive.google.com/file/d/12XIhpVcckgQr9uJrcXh-ZxYBRG3PT8wf/view
InnJoo Max,InnJoo_Max_MT6582_160116_4.4.2.zip,417 MB,https://drive.google.com/file/d/1L5GN87d_Z_QL7do7jKUPrK5Okre3T9BI/view
