Model,File Name,File Size,Download Link
Itel A95 5G A671N,Itel_A95_5G_A671N_MT6835_IN_,5.53 GB,https://drive.google.com/file/d/1oTpqOY2jut9dwq6uxTw2tFUCQjQ1OoaU/view?usp=sharing
Itel A90 A6610L,Itel_A90_A6610L_OP_,3.65 GB,https://drive.google.com/file/d/1r9T1feFuDqmAr2djsu1SvyzJ0v-3hmzz/view?usp=sharing
Itel City 100 C671L,Itel_City_100_C671L_OP_,4.94 GB,https://drive.google.com/file/d/1g5DC-f81I2uqJgzX0EBajYJjiXaqmIYw/view?usp=sharing
Itel A32,Itel_A32_MT6580_OP_V053_20190116_8.1.zip,806 MB,https://drive.google.com/file/d/17xd897dPYAUdiwQf0jWR97tccCXJ62RQ/view?usp=sharing
Itel P70 P673L,Itel_P70_P673L_MT6765_OP_,5.3 GB,https://drive.google.com/file/d/1G7jNenOrCT1yahlDjmJ_v5eNJXsI4bgE/view
Itel A33 Plus A509WP,Itel_A33_Plus_A509WP_OP_,1.82 GB,https://drive.google.com/file/d/1poiG406aE-N9mOtI-s5NBzFaqgL5jUo6/view
Itel P55 5G P661N,Itel_P55_5G_P661N_MT6833_GL_,5.24 GB,https://drive.google.com/file/d/1FdvipbDo_OjsJwakZNfRkGgruIEXBQUn/view
Itel V53 A507LVU,Itel_V53_A507LVU_PL_,2.59 GB,https://drive.google.com/file/d/1NBFl6obMrr_o0zggPB8BGpRDrL6Ak6qw/view
Itel A80 A671L,Itel_A80_A671L_OP_,3.35 GB,https://drive.google.com/file/d/1-Bsjwe2dNCky5KfnoDUnwvWw7drvOVa_/view
Itel S25 S685LN,Itel_S25_S685LN_OP_,5.90 GB,https://drive.google.com/file/d/1ETyzUrJbplC1mUvaO3cFsLyp-VfsCQHj/view
Itel S25 Ultra S686LN,Itel_S25_Ultra_S686LN_OP_,5.19 GB,https://drive.google.com/file/d/1DPJRV6kofgaZoUWK7nAFXIu89I3Rk5RD/view
Itel Wish IT1407,Itel_Wish_IT1407_C219_20160603_FSPD.zip,691 MB,https://drive.google.com/file/d/1VVV_cejNL9nJWWehzlg2PixfeOGy1fJt/view
Itel Vista Tab 10 Mini P08002L,Itel_Vista_Tab_10_Mini_P08002L_MT6765_,2.49 GB,https://drive.google.com/file/d/1ecYTo3z7LAhVfYJQTc5cS5woMUQyBtE1/view
Itel P65 P671LN,Itel_P65_P671LN_OP_,5.12 GB,https://drive.google.com/file/d/1_-d0ZaOPb5uQkZbhui99iethyuTHzbPh/view
Itel P65C P666L,Itel_P65C_P666L_OP_,3.57 GB,https://drive.google.com/file/d/1Dg_cYc79wU3nV4wUXAD2Dm2pvpNvh5SX/view
Itel A80 A671LC,Itel_A80_A671LC_OP_,3.36 GB,https://drive.google.com/file/d/1KsDYtvuySUxxfQYNBJ7H2maM2k49dVpP/view
Itel A06 A669W,Itel_A06_A669W_OP_,2.02 GB,https://drive.google.com/file/d/1cvtHDOeUY-9NHLRRzhHHIx2AC4qpLEU5/view
Itel A24 A507LSU,Itel_A24_A507LSU_LC_V101_240605_SPD.zip,2.39 GB,https://drive.google.com/file/d/1arAEqsEzPVb4edc6mQCUEwDk5vxezGI9/view
Itel A05S A663LC,Itel_A05S_A663LC_GL_,7.07 GB,https://drive.google.com/file/d/16KKMN6448rM55U8Z4M3tPzqJT_1yOG3o/view
Itel A50C A669L,Itel_A50C_A669L_IN_,2.35 GB,https://drive.google.com/file/d/1C1RSx8LBwZp3XdXHLTTQfNzVFSCDNgbC/view
Itel P65 P671L,Itel_P65_P671L_OP_,4.94 GB,https://drive.google.com/file/d/1jh-RIe2C1YtJfmqmYtOoapne8hrEDHLw/view
Itel V52A A507LXU,Itel_V52A_A507LXU_LC_,2.35 GB,https://drive.google.com/file/d/1GIPPoH7RJNk1-_7-AVevlTcuy6Rzk1jS/view
Itel VistaTab 10 P10004L,Itel_VistaTab_10_P10004L_V4_240523_SPD.zip,3.80 GB,https://drive.google.com/file/d/17PjxZIYFQmX8TCm03Tl-kADUsUYiN5PD/view
