Model,File Name,File Size,Download Link
Jlinksz S107-66C-D5,Jlinksz_S107-66C-D5_MT6735_vFK110200_20170109_6.0_BTFT.zip,708 MB,https://drive.google.com/file/d/1uY15BeTfRbzGQeIzl2r6AZgzMDiRD5GF/view
Jlinksz Y107-D9,Jlinksz_Y107-D9_MT6753_vNF710001_20190401_7.0.zip,1007 MB,https://drive.google.com/file/d/1aXz4YZjnBjV4SYCgq6jD0x6o8C_d8xW1/view
Jlinksz S107-66C-D7,Jlinksz_S107-66C-D7_MT6735_vFK380116_20171025_6.0_BTFT.zip,726.4 MB,https://drive.google.com/file/d/1-a1LRZgnzmuYZsFZ9R31nBkTlOCcCJSf/view
Jlinksz S107-66C-D6,Jlinksz_S107-66C-D6_MT6735_vFK380017_20171128_6.0_BTFT.zip,660.7 MB,https://drive.google.com/file/d/1GdL4fvI4Lzr_rYpsQSww_yEOl1Wu-a7p/view
Jlinksz S109,Jlinksz_S109_MT6753_vNF210006_20170503_7.0_BTFT.zip,789 MB,https://drive.google.com/file/d/1bNjEPoREDJeSGem2K4l3Kri5yZ6tWPP_/view
Jlinksz S960-D5,Jlinksz_S960-D5_MT6735M_vFA00LX_20170607_5.1_BTFT.zip,687 MB,https://drive.google.com/file/d/1LqU--R4SV6oKN-Qc9Ok1LDz2eAsXff_t/view
Jlinksz S960-D6,Jlinksz_S960-D6_MT6735M_vFA00T0_20180507_5.1_BTFT.zip,644 MB,https://drive.google.com/file/d/1wi70i6GvEpoRotBzT0LyYbkKDPr_hzvz/view
Jlinksz T133-D1 5M,Jlinksz_T133-D1_5M_MT6735_vNO130005_20191127_7.0_BTFT.zip,643 MB,https://drive.google.com/file/d/1x-INFpZ2GdBRJhp7RkBMT8Odqx_aF9h6/view
Jlinksz T133-D2 5M,Jlinksz_T133-D2_5M_MT6735_vNO130101_20190103_7.0_BTFT.zip,606 MB,https://drive.google.com/file/d/156xNJZbKntsbCNVFSmzCEBw4XQzgBrjj/view
Jlinksz T133-D3,Jlinksz_T133-D3_MT6735_vNO130200_20190711_7.0_BTFT.zip,707 MB,https://drive.google.com/file/d/16PL5CtaDjRPN8AiQZqY9Rx1xUIfIMRos/view
Jlinksz T133-D5,Jlinksz_T133-D5_MT6735_vNO170000_20190822_7.0_BTFT.zip,718 MB,https://drive.google.com/file/d/1TNnQ_lhRvqGsVKhOXKjtVcndfZP4Q3FP/view
Jlinksz T133-D6,Jlinksz_T133-D6_MT6735_vNO130608_20200727_7.0_BTFT.zip,649 MB,https://drive.google.com/file/d/1sjgmOx9iU1QeKdCnYnGaMxqcE-Pw9kM5/view
Jlinksz T133-D7 5M,Jlinksz_T133-D7_5M_MT6735_vNO190000_20200213_7.0_BTFT.zip,729 MB,https://drive.google.com/file/d/1uCJDJ3Y23AW9wI7xOhj6esJjjDSmuwuq/view
Jlinksz T133-D7,Jlinksz_T133-D7_MT6735_vNO190000_20200213_7.0_BTFT.zip,729 MB,https://drive.google.com/file/d/1nr9OuDSAgeHind-HX30L3G7RTNcEzHJQ/view
Jlinksz M107-D5,Jlinksz_M107-D5_vME430001_20210202_10.0_BTFT.zip,1.51 GB,https://drive.google.com/file/d/18VE5oGJOz45EI5hd5p7_FCmLilegLnkW/view
Jlinksz M107-D6,Jlinksz_M107-D6_vME440002_20210113_10.0_BTFT.zip,969 MB,https://drive.google.com/file/d/1Lvh45YCgC3qhWuhW6lll9GO1bBdaBTF-/view
Jlinksz N107-D1,Jlinksz_N107-D1_vDF560005_20200905_9.0_BTFT.zip,790 MB,https://drive.google.com/file/d/1EVKb3x06i546g-t2BI3rcOnPRRqG6kv1/view
Jlinksz N107-D2,Jlinksz_N107-D2_vDF590000_20200309_9.0_BTFT.zip,2.22 GB,https://drive.google.com/file/d/10I_eNhaZjeoHmWVGKp5LpCPSeUzKydYC/view
Jlinksz N107-D3,Jlinksz_N107-D3_vDF1F0001_20200717_9.0_BTFT.zip,839 MB,https://drive.google.com/file/d/1T27fNz81rE-WlX8JNvdeAQ3qRU3mD0eB/view
