Model,File Name,File Size,Download Link
Karbonn X21,Karbonn_X21_V08_221201_SPD.zip,1.31 GB,https://drive.google.com/file/d/1nC00k644WzLUPm-dliJjdQqirMKJ4s6g/view
Karbonn K1818,Karbonn_K1818_MT6236_110816_FMTK.zip,28 MB,https://androiddatahost.com/hg6gf
Karbonn K122,Karbonn_K122_MT6260_V0.0.4_130510_FMTK.zip,11 MB,https://androiddatahost.com/ybv3f
Karbonn K1616,Karbonn_K1616_MT6236_V1.0_070711_FMTK.zip,41 MB,https://androiddatahost.com/gfr4f
Karbonn K514,Karbonn_K514_MT6253_V1.0.3_190910_FMTK.zip,11 MB,https://androiddatahost.com/cv3df
Karbonn K1515,Karbonn_K1515_MT6236_V005_150811_FMTK.zip,30 MB,https://androiddatahost.com/ybn4f
Karbonn K4000 Baahubali,Karbonn_K4000_Baahubali_V03_FSPD.zip,4 MB,https://androiddatahost.com/fg4cg
Karbonn T9,Karbonn_T9_MT6261_V009_141215_FMTK.zip,8 MB,https://androiddatahost.com/hj4vh
Karbonn K5000 Mahaabali,Karbonn_K5000_Mahaabali_V012_170106_FSPD.zip,3.50 MB,https://androiddatahost.com/vfd3v
Karbonn K515,Karbonn_K515_MT6253_V27_150211_FMTK.zip,66 MB,https://androiddatahost.com/fg4gt
Karbonn K488,Karbonn_K488_MT6223P_V1.0.1_240310_FMTK.zip,10.80 MB,https://androiddatahost.com/gh5bj
Karbonn K105 Star,Karbonn_K105_Star_V10_071114_RPLT.zip,3 MB,https://androiddatahost.com/uy4gh
Karbonn K570,Karbonn_K570_MT6225_V01.02_230410_FMTK.zip,12 MB,https://androiddatahost.com/ge6gd
Karbonn K551,Karbonn_K551_MT6225_V01_301009_FMTK.zip,11 MB,https://androiddatahost.com/fgh4v
Karbonn K550,Karbonn_K550_MT6225_021209_FMTK.zip,11 MB,https://androiddatahost.com/tcbv5
Karbonn K580,Karbonn_K580_MT6225_V2_090905_FMTK.zip,11 MB,https://androiddatahost.com/fg4rt
Karbonn K595 Power,Karbonn_K595_Power_V08_080617_FSPD.zip,10 MB,https://androiddatahost.com/hj56n
Karbonn K595 Star,Karbonn_K595_Star_V8_120914_FSPD.zip,3.60 MB,https://androiddatahost.com/gh5nh
Karbonn K1010,Karbonn_K1010_V1.01_110614_FMTK.zip,11 MB,https://androiddatahost.com/hj5jg
Karbonn K1212,Karbonn_K1212_MT6235B_160410_FMTK.zip,24 MB,https://androiddatahost.com/hg4gd
Karbonn KC620,Karbonn_KC620_MT6252_V3489_120702_FMTK.zip,15.50 MB,https://androiddatahost.com/g4hfh
Karbonn KC750,Karbonn_KC750_MT6235B_V01_210110_FMTK.zip,17 MB,https://androiddatahost.com/fg4jf
Karbonn The Legend,Karbonn_The_Legend_MT6261_V0005_290715_FMTK.zip,16 MB,https://androiddatahost.com/mh756
Karbonn K57,Karbonn_K57_MT6260_241013_FMTK.zip,11 MB,https://androiddatahost.com/ghrtj
Karbonn K58,Karbonn_K58_V01_140618_FSPD.zip,4 MB,https://androiddatahost.com/fgf4j
Karbonn KD100,Karbonn_KD100_MT6253_010611_FMTK.zip,18 MB,https://androiddatahost.com/fg4gw
Karbonn KD10T,Karbonn_KD10T_MT6253_V009_050111_FMTK.zip,17.20 MB,https://androiddatahost.com/fh4hj
Karbonn KD10S,Karbonn_KD10S_MT6253_V009_250111_FMTK.zip,17.20 MB,https://androiddatahost.com/ty4db
Karbonn KC999,Karbonn_KC999_MT6253_V1.0_220811_FMTK.zip,10.70 MB,https://androiddatahost.com/vgf4r
Karbonn K102B,Karbonn_K102B_V02_110830_FSPD.zip,4.30 MB,https://androiddatahost.com/df67b
Karbonn K1 Indian,Karbonn_K1_Indian_V04_170104_RPLT.zip,3 MB,https://androiddatahost.com/gh4jh
Karbonn 105S,Karbonn_105S_V02_170627_RPLT.zip,3 MB,https://androiddatahost.com/gjh4t
Karbonn KC555,Karbonn_KC555_MT6226_V10B97_GSM_300310_FMTK.zip,9 MB,https://androiddatahost.com/hjhgi
Karbonn KC540,Karbonn_KC540_MT6260_V15B37_280514_FMTK.zip,36 MB,https://androiddatahost.com/yu34f
Karbonn KC520,Karbonn_KC520_MT6252_V4972_130110_FMTK.zip,8.60 MB,https://androiddatahost.com/ty65h
