Model,File Name,File Size,Download Link
Kenxinda P8,Kenxinda_P8_20180403_SPD.zip,767 MB,https://drive.google.com/file/d/1GLDvHBFUabBvDkYIOSchIb-7tVxoeZUU/view
Kenxinda P9,Kenxinda_P9_K170715-0388_20180408_SPD.zip,749 MB,https://drive.google.com/file/d/1w5awQONiBvC9jTI7GcA3Qz2T2j4Kb1tU/view
Kenxinda V5,Kenxinda_V5_SC7731C_W001_8GB_1GB_20160906_SPD.zip,599 MB,https://drive.google.com/file/d/1xsc0s8Y6hBCLiVHo1SdrXCYQI5-ZGUtH/view
Kenxinda Y50,Kenxinda_Y50_V06_20180930_SPD.zip,710 MB,https://drive.google.com/file/d/1BBs68pWMAPeEgn372l4lpLidSbMJLSrK/view
Kenxinda W55,Kenxinda_W55_SP9832A_20181225_6.0_OTA.zip,1 GB,https://drive.google.com/file/d/1ZjdbVkQAbjOg2HNxyBMOUGQOKHpUkIUB/view
Kenxinda K9 Metro,Kenxinda_K9_Metro_F160624-0266_T350h9_20160702_SPD.zip,119 MB,https://drive.google.com/file/d/1MNKj8qvT6u6-q33NifYe2FIhqByd-3G-/view
Kenxinda F1,Kenxinda_F1_MT6572_24092015_4.4.2.zip,403 MB,https://drive.google.com/file/d/1oGpI40oos9qXBH7NZgnXqpbLmUFQ0Sil/view?usp=drive_link
Kenxinda 530 Dual SIM,Kenxinda_530_Dual_SIM_MT6582_11092015_4.4.2.zip,511 MB,https://drive.google.com/file/d/16ebPCP87pJ7u9JzfIyGdMAG6CXyI9cJP/view
Kenxinda K9,Kenxinda_K9_150103_SPD.zip,150 MB,https://drive.google.com/file/d/1IGQVGjm5MI2-1pqBVp32wc03KIAoEoTQ/view
Kenxinda A6,Kenxinda_A6_MT6582_141127.zip,454 MB,https://www.mediafire.com/file/rbv91q47ydc1k9h/Kenxinda_A6_MT6582_141127.zip/file
Kenxinda Shine 2001,Kenxinda_Shine_2001_20150124_SPD.zip,149 MB,https://drive.google.com/file/d/149PRQkBok8VRzB0-aBi3DYQUDu5bVEs7/view
Kenxinda Star 5001,Kenxinda_Star_5001_20150124_SPD.zip,158 MB,https://drive.google.com/file/d/1fIzsDvHzkeg5hhRrtjvdaQML9d5N0Dwj/view
