Model,File Name,File Size,Download Link
Lyf LF2402S,LYF_LF2402S_000-02-06_310120_SPD.zip,231 MB,https://drive.google.com/file/d/1nfH2d5aoJV-lzhAt3vUlbzhHd5jovQNM/view
Lyf LF-2402,LYF_LF-2402_PC_SW_VER_01_00_270417_SPD.zip,228.7 MB,https://drive.google.com/file/d/1JI_0Sg43l8dCLEDxxDVjFezxDaNLekxD/view
Lyf F300B,LYF_F300B_001-01-42_041219_QFT.zip,716 MB,https://drive.google.com/file/d/1yYldNnmimrT4O2ZX8pTGkWUngj-5BvYc/view
Lyf F101K,Lyf_F101K_000-01-26_181117_SPD.zip,263 MB,https://drive.google.com/file/d/1EFJ1tIgV02EJAzKgn5IIwqIiKUPnwyI_/view
Lyf F120B,Lyf_F120B_001-02-34_170919_QFT.zip,686 MB,https://drive.google.com/file/d/1y7TXWhOmLgQEt0CyN_my8QJXNt7DONRh/view
Lyf F210Q,Lyf_F210Q_000-00-10_111219_QFIL.zip,307 MB,https://drive.google.com/file/d/1QysS5JJvBd9g24uof517b9p9G13TBWQR/view
Lyf F211S,LYF_F211S_000-01-19_290119_SPD.zip,226 MB,https://drive.google.com/file/d/1eYOcVzf8PiFR4aJD9G1GC398XBAApfUw/view
Lyf F220B,LYF_F220B_003-01-26_110119_QFT.zip,717 MB,https://drive.google.com/file/d/1OMgqLl2nLkvUiG7PqmB_cHmZAKt1EJJm/view
Lyf LF2403N,Lyf_LF2403N_001_02_21_110119_QFT.zip,679 MB,https://drive.google.com/file/d/1iufFeuCHJdrDAelidM8AzBgpvtp6_wTJ/view
Lyf Wind 7i LS-5016,Lyf_Wind_7i_LS-5016_12042017_QFIL.zip,1 GB,https://www.mediafire.com/file/k19l5hrfwzsbprm/Lyf_Wind_7i_LS-5016_V202_1GB_8GB_160918_QFIL.zip/file
LYF F90M,LYF_F90M_000_03_12_110119_QFIL.zip,329 MB,https://www.mediafire.com/file/2c8t9hwhgjbf73n/LYF_F90M_000_03_12_110119_QFIL.zip/file
LYF F81E,LYF_F81E_100818_SPD.zip,246 MB,https://drive.google.com/file/d/1v_pkOoQ8A1BUFYplCGnIaXzFS0aKu--p/view
LYF F50Y,LYF_F50Y_290818_QFIL.zip,406 MB,https://drive.google.com/file/d/1EMRjIflDgu5K69jRC7peFnzvNDqqGAoi/view
LYF F41T,LYF_F41T_02_04_100119_SPD.zip,256 MB,https://drive.google.com/file/d/1qpTI9Z2laXBb2AC4WylcMTI6syPGusOx/view
LYF F271i,LYF_F271i_01_13_140119_SPD.zip,233 MB,https://www.mediafire.com/file/fl93ws54n53ss5o/LYF_F271i_01_13_140119_SPD.zip/file
LYF F221S,LYF_F221S_000-00-06_250718.zip,231 MB,https://drive.google.com/file/d/1DYM-_8awuL7F6YHhAyIzg08_wEM06B1x/view
LYF F30C,LYF_F30C_191217_6.0.1_QFIL.zip,1 GB,https://drive.google.com/file/d/1HSva0tdfb1A8Cz7Tjaeq7ifueIjYINlj/view
LYF F61F,LYF_F61F_140917_6.0_SPD.zip,227 MB,https://drive.google.com/file/d/1EPrruwdNFpq41g8CpgDva6oooMTHCITN/view
Lyf Wind 2 LS-6001,Lyf_Wind_2_LS-6001_MT6735M_SW_VER_R25.zip,808 MB,https://www.mediafire.com/file/omfu19pca285z9j/Lyf_Wind_2_LS-6001_MT6735M_R16_040316.zip/file
