Model,File Name,File Size,Download Link
M.Party T1,M.Party_T1_SC2330B_140416_SPD.zip,168 MB,https://drive.google.com/file/d/1cO09wwDZXgBWQhxnV6-9MveSTrWUZfRd/view
M.Party C43,M.Party_C43_MT6572_R04_280913.zip,358 MB,https://drive.google.com/file/d/1BFjvUkXJ8rKh_FdHwwWLoPZT5yJzVb34/view
M.Party A13D-T6,M.Party_A13D-T6_6825C_SC2330B_PAIDUI_16_2_RC_131211_SPD.zip,176 MB,https://drive.google.com/file/d/1GGsgT37r_5nNkyrwcl_5e_AnJccT5Apd/view
M.Party A13D,M.Party_A13D_SC8825_TD_140429_SPD.zip,168 MB,https://drive.google.com/file/d/1nIBhkKxMz7a68mf2ZcXmk8J9FBh4Wdrp/view
M.Party A18B,M.Party_A18B_MT6572_140408.zip,373 MB,https://drive.google.com/file/d/1jQtyF1ghLpce6KFzZMRGrDbHCST-bAtX/view
M.Party A17A,M.Party_A17A_MT6572_140325.zip,543 MB,https://drive.google.com/file/d/1dHeia6NdFH_Tft_PW1EumjzsMcXdT6Cq/view
M.Party A9-B,M.Party_A9-B_SC6820_20130407_4.0.3_SPD.zip,147 MB,https://drive.google.com/file/d/13J1DFFNFoH7OxbRebLsRsouGB0ghTWBi/view
M.Party A8-D,M.Party_A8-D_MT6577_130206_4.0.zip,159 MB,https://www.mediafire.com/file/y23vbfgsv8gdv8a/M.Party_A8-D_MT6577_130206_4.0.zip/file
M.Party A1A,M.Party_A1A_MT6577_4.0.zip,210 MB,https://drive.google.com/file/d/1jXrGY5kjP5AHb1G0OBjQglV4VcWiLDig/view
M.Party A17,M.Party_A17_MT6572_20130730_4.2.2.zip,386 MB,https://www.mediafire.com/file/rv47wi2a5wgjpv3/M.Party_A17_MT6572_20130730_4.2.2.zip/file
M.Party A13,M.Party_A13_SC6820_20131026_4.0_SPD.zip,114 MB,https://drive.google.com/file/d/17XmOkuSTtsjP8aa4NbLwIG6H5gGFjGxu/view
M.Party A13-B,M.Party_A13-B_SP8825_20130921_4.0.3_SPD.zip,186 MB,https://drive.google.com/file/d/1YcH6ugchjIRNwxIsZsGs4wVU4HkxUF6P/view
M.Party A811,M.Party_A811_MT6573_20120427_2.3.6.zip,156 MB,https://drive.google.com/file/d/1rQzPNAr046kBAGWZx7Qps3F2PKhTTr5c/view
M.Party A19,M.Party_A19_MT6572_20140709_4.2.2.zip,368 MB,https://drive.google.com/file/d/11ansgue7spHRSkZPF1uwYHoAqeXoEJsf/view
M.Party A16,M.Party_A16_MT6572_20140328_4.2.2.zip,408 MB,https://drive.google.com/file/d/1lm-r4mcIrampob-8Yl0DdmPVIOi9lbQW/view
M.Party A15,M.Party_A15_MT6572_20150106_4.2.2.zip,336 MB,https://drive.google.com/file/d/1HiXkfWhIpu6EHV7ZKiVeIJQcQxNxbpfE/view
M.Party A15B,M.Party_A15B_MT6572_20130923_4.2.2.zip,284 MB,https://drive.google.com/file/d/1TZX0M_clb9ZWs1SC72c5KnerwAeRYPJM/view
M.Party A11,M.Party_A11_MT6582_20140424_4.2.2.zip,665 MB,https://drive.google.com/file/d/1-vtxzzn9h3gWtiDBlhZZzv9X9zsijkCG/view
M.Party A11-C,M.Party_A11-C_MT6572_20140122_4.2.2.zip,542 MB,https://drive.google.com/file/d/1US7smPm0RRKGA4mODUHumgo5lPZ2C1TX/view
M.Party A11D,M.Party_A11D_MT6582_20140320_4.2.2.zip,674 MB,https://drive.google.com/file/d/1b9rpTDAcZ9AnLuk_FwX9DzA7-TxAYmir/view
