Model,File Name,File Size,Download Link
Maximus Max 403,Maximus_Max_403_20140217_4.3_QPST.zip,727 MB,https://drive.google.com/file/d/1Gk6El7B7A36iOIA3cw3KN-Scuk3Vj5tF/view
Maximus M3 Atom,Maximus_M3_Atom_SC6820_2SIM_130507_2.3.5_SPD.zip,126 MB,https://www.mediafire.com/file/60urnh3jao22w3s/Maximus_M3_Atom_SC6820_2SIM_130507_2.3.5_SPD.zip/file
Maximus T2,Maximus_T2_MT6737M_V06_181129_SPMDT.zip,1 GB,https://drive.google.com/file/d/1YtdRzxbly9D8w0e4jIR-Tc0J4dh_TYSz/view
Maximus P9,Maximus_P9_MT6580_2SIM_B1_A6_64G_8G_V01_190904.zip,858 MB,https://drive.google.com/file/d/1ab7lLba7VwJDaxrvz3i4Jpe-TaOz0oaY/view
Maximus P2,Maximus_P2_MT6739_EU_16G_1G_V02_180830_8.1_SPMDT.zip,715 MB,https://drive.google.com/file/d/1pJO48tBEtnJWG6uI_cERfwYwgj5ur1r8/view
Maximus D6,Maximus_D6_SP7731C_,720 MB,https://drive.google.com/file/d/1tK_YCKBnGZFxcpCVfYr3FKGZU47bm1FZ/view
Maximus Max 912,Maximus_Max_912_SP7731_,656 MB,https://drive.google.com/file/d/1j0DZiVR_KAQl0-yhKqz2nEaPcEIYvQi_/view
Maximus P8,Maximus_P8_MT6580_110619_SPMDT.zip,865 MB,https://drive.google.com/file/d/13RiXnvF75e8cxT5osNPft-czXpC2t3t9/view
Maximus D1,Maximus_D1_V02_181010_SPD.zip,730 MB,https://www.mediafire.com/file/kclmyfqjmrhurpn/Maximus_D1_V02_181010_SPD.zip/file
Maximus G10 Max,Maximus_G10_Max_V10_128_16_2SIM_200529_SPD.zip,1.3 GB,https://www.mediafire.com/file/w0k7n8ob08knh9z/Maximus_G10_Max_V10_128_16_2SIM_200529_SPD.zip/file
Maximus P11,Maximus_P11_MT6580_220820_6.0.zip,1 GB,https://drive.google.com/file/d/1UvTtC5v-rQzAZc6K1SZbTpk1pkzMeFlf/view
Maximus P7 Plus,Maximus_P7_Plus_MT6739_GP_BD_V07_190408_8.1.0.zip,750 MB,https://drive.google.com/file/d/1iT_VcbwJy-2YipDOmknPA0nKzXkOswED/view
Maximus P3,Maximus_P3_MT6739_20181025_8.1.0.zip,986 MB,https://drive.google.com/file/d/1R2LRYjd2pnp30XaepNococvs6f3wb2uo/view
