Model,File Name,File Size,Download Link
Modecom FreeTab 7003 HD Plus X2 3G Plus,Modecom_FreeTab_7003_HD_Plus_X2_3G_Plus_20130725_4.0.4_OTA.zip,231 MB,https://drive.google.com/file/d/1Vm2Pi97SKUy6aih4q8oUarz94oH2KMTh/view
Modecom FreeTab 1014 IPS X4 3G Plus,Modecom_FreeTab_1014_IPS_X4_3G_Plus_MT6589_20130810_4.2.2.zip,388 MB,https://drive.google.com/file/d/181x1DsPP8OynTDzc4xgEhBMwBHpFoGdU/view
Modecom FreeTab 8001 IPS X2 3G Plus,Modecom_FreeTab_8001_IPS_X2_3G_Plus_MT6577_20130809_4.1.2.zip,264 MB,https://drive.google.com/file/d/1bJ7lOME9iNw0OtG76IfvPt5pAQY5XgSG/view
Modecom FreeTab 8015 IPS X4 LTE,Modecom_FreeTab_8015_IPS_X4_LTE_MT6735M_20151106_5.1.zip,779 MB,https://drive.google.com/file/d/1d1Z9O_nrtOa7ir2ZGHuTXn6tO1NnhnHp/view
Modecom Xino Z25 X2,Modecom_Xino_Z25_X2_MT6572_20140103_4.2.2.zip,369 MB,https://drive.google.com/file/d/1g5RVp7jmXzL7QzbpAyg1dL2wlB6_yyd4/view
Modecom Xino Z46 X4,Modecom_Xino_Z46_X4_MT6589_V1.01_20140122_4.2.1.zip,400 MB,https://drive.google.com/file/d/1e_3c1Tz86YJnP38nme-LtxLRPZMyNV-7/view
Modecom Smartphone Q503,Modecom_Smartphone_Q503_20170606_5.1_SPD.zip,491 MB,https://drive.google.com/file/d/1t5rLWmFmOwZy-5-gebgKYR5fhUhfrlob/view
Modecom FreeTab 9707 IPS2 X4 Plus,Modecom_FreeTab_9707_IPS2_X4_Plus_20150113_4.2.2_RBT.zip,343 MB,https://drive.google.com/file/d/1HiB-hoNtp7xSnQuVzpt6MFS2qCYfd9bn/view
Modecom FreeTab 8014 IPS X4,Modecom_FreeTab_8014_IPS_X4_20140129_4.4.2_PS.zip,427 MB,https://drive.google.com/file/d/1WL6F0wXd23zH5ZFp8I-JvgRO6XJIzBlH/view
Modecom FreeTab 9701,Modecom_FreeTab_9701_20130124_4.0.3_PS.zip,273 MB,https://drive.google.com/file/d/1oluAQOLOtzHQyEbBOhboFo0Yw4-myOG3/view
Modecom FreeTab 9701 HD X1,Modecom_FreeTab_9701_HD_X1_20131128_4.2.2_PS.zip,480 MB,https://drive.google.com/file/d/1mJbmulLEyMIxd0ejMJZ7q1F6oVLYu0OP/view
Modecom FreeTab 9702 HD X4,Modecom_FreeTab_9702_HD_X4_20150320_4.4.2_PS.zip,426 MB,https://drive.google.com/file/d/1PN52cCzMKQg5B1bezopsQYWXusJAjwOs/view
Modecom FreeTab 9706 IPS2 X4 Plus,Modecom_FreeTab_9706_IPS2_X4_Plus_20130723_4.2.2_PS.zip,698 MB,https://drive.google.com/file/d/13i_d5Rn_Lb2nvHvgs9KhOqAnw6PeHi3o/view
Modecom Smartphone Q502,Modecom_Smartphone_Q502_V1.0_20170710_SPD.zip,503 MB,https://drive.google.com/file/d/15_8bcClvJtA4eyAWmbhowGnkcR-_Kxo2/view
Modecom FreeTAB 1003 IPS X2,Modecom_FreeTAB_1003_IPS_X2_20140507_4.4.2_RBT.zip,304 MB,https://drive.google.com/file/d/1quok45qoVYfxC5wiJpLH3tUaQGu1iSGo/view
Modecom FreeTab 1331 HD X2,Modecom_FreeTab_1331_HD_X2_V1.1_20140219_4.1.1_RBT.zip,314 MB,https://drive.google.com/file/d/1QOYq0V9-b4mVVFM9tnd5gh8hXgfGcSkr/view
Modecom FreeTab 2096 Plus HD X2,Modecom_FreeTab_2096_Plus_HD_X2_V3_20130924_4.2.2_RBT.zip,270 MB,https://drive.google.com/file/d/1vi2Hb_ki-2o_FCQZUvmjcID08ep-PIyQ/view
Modecom FreeTab 2096 Plus,Modecom_FreeTab_2096_Plus_V1_20140122_4.1.1_RBT.zip,353 MB,https://drive.google.com/file/d/1hPsEbc_Z0v7EZR2CsuwJESmgLxu4ray8/view
