Model,File Name,File Size,Download Link
Multilaser 7 Vibe,Multilaser_7_Vibe_V1.2_300517_4.0_LS.zip,394 MB,https://drive.google.com/file/d/112VmC8H5r2dj2uxMk_ggi90VUNTX2iyw/view?usp=sharing
Multilaser U10 Ultra 4G,Multilaser_U10_Ultra_4G_V5_220708_10_SPD.zip,3.46 GB,https://drive.google.com/file/d/18re8PYnwi8E8ex0Iq0DMHlwdoWxFOuFN/view
Multilaser G Max 2,Multilaser_G_Max_2_128.V8_220808_SPD.zip,3.33 GB,https://drive.google.com/file/d/1wx-Q4Qo69CnsoxZN3natpvDktYzsqPzO/view
Multilaser M10 4G Pro ML-SO0G,Multilaser_M10_4G_Pro_ML-SO0G_090722_SPD.zip,3.46 GB,https://drive.google.com/file/d/1YUelNQvt49ICgqu4A-sAwhklWKXM47IB/view
Multilaser G2 S154,Multilaser_G2_S154_MT6761_V11_220526.zip,1.21 GB,https://drive.google.com/file/d/1846aZW22SUGP3WkNm9dE7zKUvaLfPLto/view
Multilaser M7 3G ML-JI0N,Multilaser_M7_3G_ML-JI0N_MT6580_V6_20230417.zip,4.24 GB,https://drive.google.com/file/d/11sObPfQn-u_dPXeCvLVppBXm60OzXb1U/view
Multilaser M7S Dual Core-SUPRA ML01,Multilaser_M7S_Dual_Core-SUPRA_ML01_140403_4.4_RBT.zip,498 MB,https://drive.google.com/file/d/19VN6sNZO4RlfRHAvlgsCTrJg8iTqQL4b/view
Multilaser M7S Plus Frozen,Multilaser_M7S_Plus_Frozen_V22_220108_RBT.zip,1.29 GB,https://drive.google.com/file/d/1VE8kGQ3iK-wtB-iJrcu1Cwru6HFk23Sw/view
Multilaser E Lite 2 P9146,Multilaser_E_Lite_2_P9146_,1010 MB,https://drive.google.com/file/d/1Ev7OWxmO_6izCLyYzLbdUxvNW0BgsYxm/view
Multilaser Multi H 5G P9180,Multilaser_Multi_H_5G_P9180_MT6833_,4.28 GB,https://drive.google.com/file/d/1dGQ2Yl_qR-e1W537wVLkKfqGfNsin8Bl/view
Multilaser M7 ML SO1E,Multilaser_M7_ML_SO1E_WIFI.V6_220627_USER_RBT.zip,1.90 GB,https://drive.google.com/file/d/1y6N3-pMJFBXpxk4jTJvjaKUbFOgOCKt8/view
Multilaser M7 3G,Multilaser_M7_3G_V6_20211222_SPD.zip,1.94 GB,https://drive.google.com/file/d/1L9R95kTfKvC9Ooqjp8wLMdp5MP07cTP2/view
Multilaser M8 4G,Multilaser_M8_4G_MT6739_V2_201111.zip,3.2 GB,https://drive.google.com/file/d/1ChCHYUkNh82QLqzPV0LkYMV9vpQQk4nl/view
Multilaser M7 3G ML-WI0B,Multilaser_M7_3G_ML-WI0B_M7_3G.V5_210826_SPD.zip,2 GB,https://drive.google.com/file/d/1BKdgIrrfRBS55losPp8AtoTqXucBYKoA/view
Multilaser M7SQC,Multilaser_M7SQC_V10_170518_PS.zip,527 MB,https://drive.google.com/file/d/1-ADwQxPrPW5yavc-_WugEKwfPQJFSulf/view
MultiLaser M7S Plus ML-JI22,MultiLaser_M7S_Plus_ML-JI22_V13_210311_LS.zip,832 MB,https://drive.google.com/file/d/1sFxb-w3ZxlpuoDbyavf2UtAha9O7EGfX/view
MultiLaser M7S Plus ML-JI12,MultiLaser_M7S_Plus_ML-JI12_V13_210311_LS.zip,832 MB,https://drive.google.com/file/d/1x69D3_8jentNtkyc5VVV0hoaSANGNrbT/view
MultiLaser M7S Plus ML-JI02,MultiLaser_M7S_Plus_ML-JI02_V13_210311_LS.zip,832 MB,https://drive.google.com/file/d/1OL9sWQvA87f8D9J6pplZsv9_6pEoVNfo/view
Multilaser M7S Plus Mickey ML-JI08,Multilaser_M7S_Plus_Mickey_ML-JI08_V17_210317_8.1_LS.zip,1.19 GB,https://drive.google.com/file/d/1eEpKydhu9v8LiYLz_LfUwdyIiDEmDO4h/view
Multilaser G Max 2 Preto P9156,Multilaser_G_Max_2_Preto_P9156_V5_210619_11_SPD.zip,2.31 GB,https://drive.google.com/file/d/1gv5WRpxk6YDDOt2UjtaLf7nRS7R8ejgI/view
Multilaser M9-3G,Multilaser_M9-3G_SO35_V7_180105_SPD.zip,1.1 GB,https://drive.google.com/file/d/1fv3hl9gcziKztddp1N_gTDHkOdIK5HfQ/view
