Model,File Name,File Size,Download Link
Panasonic KX-TU150,Panasonic_KX-TU150_MT6261_V01_20_191105_MIRA.zip,3.17 MB,https://androiddatahost.com/kx1tu
Panasonic Eluga Ray 610,Panasonic_Eluga_Ray_610_MT6762_EB-90S62E61v1005_060819_9.0.zip,1.37 GB,https://drive.google.com/file/d/1OSFAaI3EBX2p9ObhocDZ84uXICgJRlGS/view
Panasonic Eluga A3,Panasonic_Eluga_A3_MT6737M_EB-90S52EA3v1009_050717.zip,2 GB,https://drive.google.com/file/d/1h4xqjllfg1r2MvI8gg6pPMIMX1gWD1Gj/view
Panasonic Eluga Ray 500,Panasonic_Eluga_Ray_500_MT6737M_15082017.zip,2 GB,https://drive.google.com/file/d/1O-ENzBCIJnm_hXnNPFnTKnXHBJAuHx0_/view
Panasonic Eluga i6,Panasonic_Eluga_i6_MT6739_EB-90S54EL6v1011_9.0.zip,1.4 GB,https://drive.google.com/file/d/1XjFTxdpwe5y7Tz7W0uB0IFC7nHBb28yj/view
Panasonic Eluga Ray,Panasonic_Eluga_Ray_MT6737M_,1.3 GB,https://drive.google.com/file/d/1ztdOIKrSSvaroctK-QV5XFRB-vsotoig/view
Panasonic i2 Active,Panasonic_i2_Active_MT6737M_EB-90S50Y2A_,1.4 GB,https://drive.google.com/file/d/1nmcDRFp4udfVDzjZSU8wSNIUiLJMD5Z8/view
Panasonic Eluga i8,Panasonic_Eluga_i8_MT6765_EB-90S62EL8v1011_240220.zip,1 GB,https://drive.google.com/file/d/1dov3JT3UGQ8wocxVMToPX--dZDhxX671/view
Panasonic Eluga i7EE,Panasonic_Eluga_i7EE_MT6739_EB-90S54E7Ev2009.zip,1 GB,https://drive.google.com/file/d/1qrxHn1s1PCNhTDa0fGFvWtFpPRx_kkoE/view
Panasonic Eluga X1 Pro,Panasonic_Eluga_X1_Pro_MT6771_EB-90S62EX1v1007_06092018.zip,2 GB,https://drive.google.com/file/d/144Q-ahWSC5cjF_Gq-lwjFDdqydZLDvsf/view
Panasonic Eluga Z1 Pro,Panasonic_Eluga_Z1_Pro_MT6765_EB-90S62EZ1v1009_11092018.zip,2 GB,https://drive.google.com/file/d/10b7bAdxlg2NJYC5RX4y2t45SwlMiw0KL/view
Panasonic P110,Panasonic_P110_MT6739_EB-90S53P11v1008_23112018.zip,851 MB,https://drive.google.com/file/d/1rd61awQefpNEb1h1LxZiaH74689nmnya/view
Panasonic Eluga Note,Panasonic_Eluga_Note_MT6753_EB-90S55EN0v1025_08222016.zip,1 GB,https://drive.google.com/file/d/160aeIklC1j1htfr0433UHrWQkiZ6unOF/view
Panasonic Eluga Z1,Panasonic_Eluga_Z1_MT6765_EB-90S62EZ1v1009.zip,1 GB,https://drive.google.com/file/d/1J0QS2mMgp-4_P74Xo3XvzY5mBlRhTsKY/view
Panasonic Eluga X1,Panasonic_Eluga_X1_MT6771_EB-90S62EX1v1007.zip,1 GB,https://drive.google.com/file/d/1eb8W7cLt5QqU0CL2fV4A9ywI5iKJ53br/view
Panasonic Eluga Ray 550,Panasonic_Eluga_Ray_550_MT6737T_EB-90S57R55v1014.zip,1.9 GB,https://drive.google.com/file/d/1oougu4FAsMtELxwvD1IEnVn8tj1A6Tta/view
Panasonic P95,Panasonic_P95_EB-90S50P95v1013_0125_QFIL.zip,1.2 GB,https://drive.google.com/file/d/11g6Zt2T6rgLyaCTLBcWklD4BQ6kh4fCO/view
Panasonic P85 Nxt,Panasonic_P85_Nxt_EB-90S50P8Nv1021_QFIL.zip,1.4 GB,https://drive.google.com/file/d/1cwlX48meNbpXw2hrst3uAY0D7U5VFE6n/view
Panasonic Eluga Ray 600,Panasonic_Eluga_Ray_600_MT6739_EB-90S60ER6v1015.zip,1.5 GB,https://drive.google.com/file/d/1EbPuMpEbb6c99j3X-k2pg9lk_H5W9Psa/view
Panasonic Eluga Ray 530,Panasonic_Eluga_Ray_530_MT6739_EB-90S57E53v1011.zip,1.5 GB,https://drive.google.com/file/d/1cArkiVaYQ3XceTiRhPR3_gOdv_Wqq-S2/view
Panasonic P80,Panasonic_P80_MT6582_EB-90S50P80v1006_20150805_5.0.2.zip,869 MB,https://drive.google.com/file/d/1JFInQtN0miHK7BhjHBujKw3kJk-J70tB/view
Panasonic Eluga Ray 800,Panasonic_Eluga_Ray_800_SC9853i_EB-90S55ER8_v1017_7.0_SPD.zip,2 GB,https://drive.google.com/file/d/19HmFgO-CIkCvAbGQlw1Y7N5WScV4RYme/view
