Model,File Name,File Size,Download Link
Philips PH2 S702,Philips_PH2_S702_OP_250513_SPD.zip,980 MB,https://drive.google.com/file/d/1M731LXVHCY6S9LUT4TJeSNvYJnNSxCu1/view?usp=sharing
Philips S6311,Philips_S6311_OP_V018_250416_SPD.zip,2.79 GB,https://drive.google.com/file/d/1GCS4wbZZkZSF9MtFUgw_esgUvvDuFMjU/view?usp=sharing
Philips S359,Philips_S359_MT6737M_V17_AR_10052018_7.0.zip,811 MB,https://drive.google.com/file/d/1miwr5AcB1VDeWSzPbgB_84tOlRiEUxfR/view
Philips Xenium V377,Philips_Xenium_V377_MT6580_20160302_5.1.zip,1.26 GB,https://drive.google.com/file/d/1_ogBc4gMUyMpF5bHfqeItcSTLbGVruKn/view
Philips X586,Philips_X586_MT6735_V11_20161101_6.0.zip,1.23 GB,https://drive.google.com/file/d/1m_bBXW6wxQr3AoP5o58hV9s1tWr2Cl6o/view
Philips S7710,Philips_S7710_MT6768_OP_,3.66 GB,https://drive.google.com/file/d/1E2DMB-zILMGwdw9NuIjsV4J9qZ7s4KYv/view
Philips S6310,Philips_S6310_OP_V217_240318_13_SPD.zip,3.33 GB,https://drive.google.com/file/d/1kJQVbhUALVdQOYgXwWfJ5UYq8_dRjASI/view
Philips S616,Philips_S616_MT6753_V08_20170307_5.1.zip,697 MB,https://drive.google.com/file/d/1BYRWFUb-bO_iQu3WB62QULGV8h2W16cQ/view
Philips Xenium S266,Philips_Xenium_S266_SP9863A_V05_RU_14082020_10.zip,1.58 GB,https://drive.google.com/file/d/1qO_QRsXHbr2kX-O32WdGd8OGlY-tpFSA/view
Philips Xenium S566,Philips_Xenium_S566_SP9863A_V09_RU_14082020_10.zip,1.58 GB,https://drive.google.com/file/d/1_34pmlXTZQOkdetUSxiWaZGmr2HK9hTF/view
Philips Xenium V526,Philips_Xenium_V526_MT6735_,713 MB,https://drive.google.com/file/d/1nPy9Dd84lC85V9fDCkRzE9vNeOeoKmdH/view
Philips W6610 Marathon,Philips_W6610_Marathon_MT6582_V18_210514_4.2.2.zip,372 MB,https://drive.google.com/file/d/1CC1PGkL5dpdaF8geZEoQ_mzfbDig3XIJ/view
Philips W7376,Philips_W7376_QRD8X25_V24C_230513_QPST.zip,3.42 GB,https://drive.google.com/file/d/14JM8IdoeTrPMxMz7Jz6lYB1XamoM9RER/view
Philips S260,Philips_S260_SP9850KA_V06A_RU_171019_8.1.0_MIRA.zip,783 MB,https://drive.google.com/file/d/1qFHa574grKXd-MQTq3SWTPeGCOdfmMjj/view
Philips Xenium W9588,Philips_Xenium_W9588_MT6589_1346_00_V18A_131113.zip,393 MB,https://drive.google.com/file/d/1K4RteW-A9NVGZMq65F7Jv65VxEAGXUJj/view
Philips Xenium W8568,Philips_Xenium_W8568_MT6589_1344_00_V17A_311013.zip,381 MB,https://drive.google.com/file/d/1PtR5L27H8_lDsj1yL8QCkK5oUWy3rTHC/view
Philips Xenium W8560,Philips_Xenium_W8560_MT6589_1403_01_V16B_150114.zip,444 MB,https://drive.google.com/file/d/1l9w6hy73BO8T47V5wcVCga5U_vdn5Epe/view
Philips Xenium W8510,Philips_Xenium_W8510_MT6589_1351_02_V24E_201213.zip,462 MB,https://drive.google.com/file/d/1EwI5o4Xwbo7AO3NXAQbuVUpbMCqof1rp/view
Philips Xenium W737,Philips_Xenium_W737_QRD8X25_1305_01_V31G_260213.zip,209 MB,https://drive.google.com/file/d/1BX--qKXwwS8nNsghD_7UrneInpxHHNcW/view
Philips W8510 Topaz,Philips_W8510_Topaz_MT6589_V14E_RU_271113_4.2.2.zip,407 MB,https://drive.google.com/file/d/1pt1mxz8yItY8CCvY6m1R-hRE-dErU6UH/view
Philips E518,Philips_E518_MT6739_231119.zip,567 MB,https://drive.google.com/file/d/1AfKZHc1SZ-LXgas8_SDFRQVYq-iEH7AT/view
Philips S327,Philips_S327_MT6737M_201217_7.0.zip,867 MB,https://firmwaredrive.com/index.php?a=downloads&b=file&id=11212
Philips S397,Philips_S397_SP9863A_,1.37 GB,https://firmwaredrive.com/index.php?a=downloads&b=file&id=11214
Philips TLE722G,Philips_TLE722G_MT6580_130319_7.0.zip,738 MB,https://firmwaredrive.com/index.php?a=downloads&b=file&id=11215
Philips S561,Philips_S561_1947_V09_RU_191119_SPD.zip,1.5 GB,https://drive.google.com/file/d/1FhKiON61_g5p-ifyqKsIB641D7zbgyV7/view
Philips V8526,Philips_V8526_MT6582_V24A_130514.zip,416 MB,https://drive.google.com/file/d/1xqyTMpXDrbyO7guzf1a7XVkjBaZL8891/view
Philips V989,Philips_V989_MT6752_1503_V20A_150115.zip,603 MB,https://drive.google.com/file/d/1sGR56WExVoOwVzXxtEckLlY3zRWT4My1/view
Philips S356T,Philips_S356T_MT6752_1452_V09A_311214.zip,789 MB,https://drive.google.com/file/d/1DPuUcPj4fczqX_MvFwJtRD7R78cmKSwR/view
Philips S316T,Philips_S316T_MT6752_1453_V05A_291214.zip,850 MB,https://drive.google.com/file/d/1SmIigbjrQBOuP8Z5SFzSG3ZCqVXNKJZb/view
Philips i908,Philips_i908_MT6592_010814.zip,403 MB,https://www.mediafire.com/file/gggr5hc3q7jm7i5/Philips_i908_MT6592_010814.zip/file
Philips i928,Philips_i928_MT6592_020914.zip,928 MB,https://www.mediafire.com/file/oru5p5r8lyuk811/Philips_i928_MT6592_020914.zip/file
Philips W626,Philips_W626_MT6573_V17C_190612.zip,311 MB,https://www.mediafire.com/file/znlswdjkt4d4p0o/Philips_W626_MT6573_V17C_190612.zip/file
