Model,File Name,File Size,Download Link
Poco C85,Poco_C85_MT6768_,6.93 GB,https://drive.google.com/file/d/19TGbv9JrsFxrWMlRqPhMxm9wpOWDykZY/view?usp=sharing
Poco F7,Poco_F7_,8.74 GB,https://drive.google.com/file/d/1j_rLRUdhG3Nq24EfIH1rErtwBRtOl5Hs/view?usp=sharing
Poco M7,Poco_M7_,5.24 GB,https://drive.google.com/file/d/1GJG_FfAzMOsusv7O7LdvpzzkuDmSPHH9/view?usp=drive_link
Poco M7 Plus 5G,Poco_M7_Plus_5G_,6.85 GB,https://drive.google.com/file/d/1zqTHWtN4W7mEA_4XmlU1ateKnDwfY8Af/view?usp=sharing
Poco F7 Ultra,Poco_F7_Ultra_,8.86 GB,https://drive.google.com/file/d/17_Zf-YFC6-C-kcao4fY6nr5lgICq1ZG7/view?usp=sharing
Poco C71,Poco_C71_,3.20 GB,https://drive.google.com/file/d/1M6LEgo30OHwaZyeKLJD09Gmw0jL-nM0L/view?usp=sharing
Poco C51,Poco_C51_MT6765_,1.96 GB,https://drive.google.com/file/d/1s87jAQiA3AjfaNgsEOUXUz4Vsu87O5Xu/view?usp=sharing
Poco X7 Pro,Poco_X7_Pro_MT6899_,7 GB,https://drive.google.com/file/d/1UdJ8eE-KBVzSC4PMCo24F3V1ZF27qCQE/view
Poco M6 5G,Poco_M6_5G_MT6835_,5.57 GB,https://drive.google.com/file/d/1LaL5ZYerhCQIsLNuD4WMj51L5bHQaGuR/view
Poco Pad,Poco_Pad_,4.94 GB,https://drive.google.com/file/d/1nT4JRLJf3vdUdesnUowHX1TamfV7p3ws/view
Poco M7 Pro 5G,Poco_M7_Pro_5G_MT6855_,5.9 GB,https://drive.google.com/file/d/1WXsyFqJMrQJaiIYpoD-EnqWoPN-NReN5/view
Poco Pad 5G,Poco_Pad_5G_,3 GB,https://drive.google.com/file/d/1-Zs8-0yUcX1mXMpiDRGBlKMxv3MzyyfD/view
Poco M6,Poco_M6_MT6768_GL_,6.23 GB,https://drive.google.com/file/d/1qRDmMUl-ijxBsBaa6zHKieXSEoOh033v/view
Poco C75 5G,Poco_C75_5G_,5.15 GB,https://drive.google.com/file/d/138Dyv--uh-9KIRnCFAFD0dHmCma4TP7U/view
Poco X6 Neo 5G,Poco_X6_Neo_5G_MT6781_,5.88 GB,https://drive.google.com/file/d/1THJewXwGWIpM8L_mCADz2a2iT7eBQGJ2/view
Poco X6 5G,Poco_X6_5G_,6.21 GB,https://drive.google.com/file/d/1K3kYQZ2oT1RqWkhcytncZCObolU5im36/view
Poco F6,Poco_F6_,8 GB,https://drive.google.com/file/d/1wkffot6domjaAnX5-YPL9SwCRFtIQ-5Y/view
Poco F7 Pro,Poco_F7_Pro_,8.37 GB,https://drive.google.com/file/d/1g4c7gVWNPt_l-p_My_oa3i1i3Dw4jYlI/view
Poco X7,Poco_X7_MT6878_,7.8 GB,https://drive.google.com/file/d/1om2war0zfAKsnlFoVGhHEeZOBZdv12Ro/view
Poco M7 5G,Poco_M7_5G_,5.23 GB,https://drive.google.com/file/d/1mSg00KBqu8UKud3dvHfpYCanVQP-IJ1k/view
Poco C75,Poco_C75_MT6768_,6.63 GB,https://drive.google.com/file/d/1v6CYgGGpbLCUAsMPOT2DdEvlvlLsJGSZ/view
Poco M6 Plus 5G,Poco_M6_Plus_5G_,6.47 GB,https://drive.google.com/file/d/1XBaQeYVuL35s7z7jizWLKU1qYydNpYB0/view
Poco M6 Pro,Poco_M6_Pro_MT6789_,6.87 GB,https://drive.google.com/file/d/1n8ygIwvz_BabQArRjnB-mymKrsfvNUFx/view
Poco X6 Pro 5G,Poco_X6_Pro_5G_MT6897_,7.4 GB,https://drive.google.com/file/d/1PgXiIQbHqzNcLkrrrBYV28fZ4UW6n0I_/view
Poco F6 Pro,Poco_F6_Pro_,7.98 GB,https://drive.google.com/file/d/187Erj_YIWiJHGWaYHBWeUmC4kkbxEhgT/view
Poco C65,Poco_C65_MT6768_V14.0.1.0.TGPTWXM_20231107.0000.00_Taiwan_13.zip,5.14 GB,https://drive.google.com/file/d/1OGZdirM7a8qNBMqdpFJQhX2jKGntA8bA/view
Poco M6 Pro 5G,Poco_M6_Pro_5G_,5.60 GB,https://drive.google.com/file/d/15aDR5hDmqgBBAwYgHwdaOtW5zsZAXxnw/view
Poco F5,Poco_F5_,6.81 GB,https://drive.google.com/file/d/1AqqrgAGQCZ5cZZRGYqaS6YikNc60u-ji/view
Poco F3 Pro,Poco_F3_Pro_21.8.26_20210825.0000.00_China_11_XFT.zip,5.39 GB,https://drive.google.com/file/d/1nVFp-veSgTbx7oqQiaKc9kkhysjQjqIl/view
Poco X5 5G,Poco_X5_5G_,5.02 GB,https://drive.google.com/file/d/1wlOWVN7LkaTfJfCdq7uDNw3NbWKwlrj-/view
Poco X5 Pro 5G,Poco_X5_Pro_5G_,6.47 GB,https://drive.google.com/file/d/1Y92X03s38bZlcK-fM94zlbH4ATRKMxHq/view
Poco X5 Pro,Poco_X5_Pro_,6.27 GB,https://drive.google.com/file/d/1oJfzSWZdEVxbNOExu_Z6m7DwHpobBI8C/view
Poco C55,Poco_C55_MT6768_,4.21 GB,https://drive.google.com/file/d/1sDBL3wP5V4eG_JjHa3R1GI9mnyr6Rs2p/view
Poco F5 Pro,Poco_F5_Pro_V14.0.4.0.TMNMIXM_20230426.0000.00_Global_13_XFT.zip,6.9 GB,https://drive.google.com/file/d/1MGktiaVTcxY1CxWOZzKt0S1mJS_yfDLb/view
Poco X3 NFC,Poco_X3_NFC_,4.04 GB,https://drive.google.com/file/d/1b81dEafQLMSl0jQcHd71ElJgTNuzuQX1/view
Poco M5S,Poco_M5S_MT6765_,2.98 GB,https://drive.google.com/file/d/1dfONIrACDoMBTyT1eJ4_ZhypmBfkoNR7/view
Poco C50,Poco_C50_MT6761_,1.76 MB,https://drive.google.com/file/d/1UaOPflK3iCpg5RsBo2N_1M2Q5VcMGu0y/view
Poco M3 Pro 5G,Poco_M3_Pro_5G_MT6833_V12.0.1.0.RKSRUXM_20210512.0000.00_Russia_11.zip,3.86 GB,https://drive.google.com/file/d/1Y3caoX7schwYzu08qmerq4-qJHpZ6974/view
Poco M5,Poco_M5_MT6789_,5.35 GB,https://drive.google.com/file/d/172VyIDm_ylaP630jTIb9XqoUIes2fziA/view
Poco C31,Poco_C31_MT6765_V12.0.1.0.QCRINRF_20210912.0000.00_India_10.zip,2.24 GB,https://drive.google.com/file/d/1tzGLO0_F_AF8P33M_bnzxdlRnFqhW9a8/view
