Model,File Name,File Size,Download Link
Positivo YPY AB7E,Positivo_YPY_AB7E_FNDE_81-7_POL_131113_RBT.zip,490 MB,https://drive.google.com/file/d/1hnXagpVevvUCxFoTFQOrs8IgGNyrj8P1/view
Positivo T810C,Positivo_T810C_211018_SPD.zip,1.28 GB,https://drive.google.com/file/d/1alkXYGQ1JNZfY4ETkGH7AwEtPURdx-tj/view
Positivo T810B,Positivo_T810B_211018_SPD.zip,1.28 GB,https://drive.google.com/file/d/1rI_pJytEIqBr435VN3_yTxcYGwkryUu7/view
Positivo T810,Positivo_T810_211018_SPD.zip,1.28 GB,https://drive.google.com/file/d/1sIGW4VTZ576LwoNwnlAfih_OeXsN_00R/view
Positivo Tablet T1085,Positivo_Tablet_T1085_MT6771_120519_9.zip,1.43 GB,https://drive.google.com/file/d/1pnD6ddmFegQJ278aIdxPBJolOx6WkrkM/view
Positivo Twist 4 Pro S518B,Positivo_Twist_4_Pro_S518B_210923_SPD.zip,995 MB,https://drive.google.com/file/d/1AVfld034IDdnBe70FjFdJPsg9XrcnXtw/view
Positivo SP2,Positivo_SP2_V01_281120_SPD.zip,753 MB,https://drive.google.com/file/d/1QKoOYk-y1eKYEf-lKUwdol6n7dTuM0yy/view
Positivo Pro X T2040,Positivo_Pro_X_T2040_210703_SPD.zip,1 GB,https://drive.google.com/file/d/1ks8dVK9vugL1QV1ZCt6he3Y05IvGXV2C/view
Positivo T705 Kids,Positivo_T705_Kids_140910_RBT.zip,825 MB,https://drive.google.com/file/d/1ActZufzSKxQH3iT_YYWm5h8WU5tcGAgb/view
Positivo Twist 4 Fit S509N,Positivo_Twist_4_Fit_S509N_210614_10_SPD.zip,976 MB,https://drive.google.com/file/d/1pvayT1vIzGoEcFLqNv3Fuo-yoIPg5KDg/view
Positivo Twist 4 S514,Positivo_Twist_4_S514_210615_10_SPD.zip,983 MB,https://drive.google.com/file/d/1fMYf4ChsmYcS4lHYKahpUahRmfhkZeCA/view
Positivo T705,Positivo_T705_USPI_140709_RBT.zip,500 MB,https://drive.google.com/file/d/1EMPiLUUWBy75sML7KnN93ungXyFLnCM6/view
Positivo T708B,Positivo_T708B_USPI_140709_RBT.zip,500 MB,https://drive.google.com/file/d/16tHGSIh3wIp9ww964Q2bjT_-vdScWUqs/view
Positivo T1075,Positivo_T1075_MT6735_UCBC_170724_7.0.zip,955 MB,https://drive.google.com/file/d/16zNh16FG7Ugp4J_4m5bbZIHI36lBHgZh/view
Positivo YPY AB10H,Positivo_YPY_AB10H_150128_4.4.2_PS.zip,461 MB,https://drive.google.com/file/d/1xvtRCfZO5oIt92BcKFaJ7PrKI0DkE9uo/view
