Model,File Name,File Size,Download Link
Prestigio Grace PMT4791,Prestigio_Grace_PMT4791_RU_1.0.18_210608_SPD.zip,2.4 GB,https://drive.google.com/file/d/1u3ffRpWxEt7euuKv9i3gE6t5vwUqcFFK/view
Prestigio Grace B1 PFP1242 Duo,Prestigio_Grace_B1_PFP1242_Duo_MT6261_GPRS_V32_MIRA.zip,3.4 MB,https://drive.google.com/file/d/1F5IoSncz6YnYuFmn92up9_iWx9Ftv1KB/view
Prestigio Muze D5 LTE PSP5513 DUO,Prestigio_Muze_D5_LTE_PSP5513_DUO_SC9832_20180428_7.0_SPD.zip,1.34 GB,https://drive.google.com/file/d/1wZLirMVNu3z5fVCY_oaMa0GnGrav3vRi/view
Prestigio Node A8 PMT4208,Prestigio_Node_A8_PMT4208_3G_E_RU_V2.1.0.10_211015.zip,1 GB,https://drive.google.com/file/d/1BXyATejeOAt6fS00VwvDUATVVd1Sn92v/view
Prestigio Grace 5588 4G PMT5588,Prestigio_Grace_5588_4G_PMT5588_MT6735_V1.0.06_180926.zip,1 GB,https://drive.google.com/file/d/1TJDn6QiVUQVZQPwN2Cvc0AV2M0dEssHA/view
Prestigio Wize PMT1157 4G,Prestigio_Wize_PMT1157_4G_RU_V1.0.03_191106_SPD.zip,593 MB,https://drive.google.com/file/d/1Dj16HCOCXOMuHwm9BivLiCwuorPjEy52/view
Prestigio Wize E3 PSP3509 Duo,Prestigio_Wize_E3_PSP3509_Duo_V3.0.04_151221_SPD.zip,392 MB,https://drive.google.com/file/d/1C1Ep-v0A_amDkULs0SWOW1AYgnYHW5dU/view
Prestigio Wize PMT3401 3G,Prestigio_Wize_PMT3401_3G_MT6580_180117_6.0.zip,1.15 GB,https://drive.google.com/file/d/1O1tiskM2Yb9q_PtIR6b-iHEhtx4xFBSc/view
Prestigio Wize PMT4111,Prestigio_Wize_PMT4111_EEA_201102_SPD.zip,945 MB,https://drive.google.com/file/d/15IG179V6bD47Qu9di6nT0kUauUTckXgf/view
Prestigio Wize 4G PMT1157,Prestigio_Wize_4G_PMT1157_1.0.02_190813_SPD.zip,822 MB,https://drive.google.com/file/d/1rlFu1y69r-BJefwJXHdttJrM2xoAX8mi/view
Prestigio MultiPad Wize 3341 3G PMT3341,Prestigio_MultiPad_Wize_3341_3G_PMT3341_V2.0.01_160106_5.1.1_DGUI.zip,838 MB,https://drive.google.com/file/d/14ClXUdRj-rO5fAIhk1tcaQjapNo7dBJ5/view
Prestigio Muze 3231 4G PMT3231,Prestigio_Muze_3231_4G_PMT3231_1.0.01_210106_SPD.zip,1.13 GB,https://drive.google.com/file/d/1Pr4gPaCsGnG27IKmQWtouwhaSLSe6sFP/view
Prestigio Grace 4991 4G PMT4991,Prestigio_Grace_4991_4G_PMT4991_210519_SPD.zip,1.37 GB,https://drive.google.com/file/d/1TVtbgt_hMM5up5vqAhsRLljui0mFogPh/view
Prestigio Grace PMT3768,Prestigio_Grace_PMT3768_MT6580_190105_8.1.0.zip,667 MB,https://drive.google.com/file/d/1kIw8TSYGbErzvJoim5qSue56ewhPsq9X/view
Prestigio Wize 3771 3G PMT3771,Prestigio_Wize_3771_3G_PMT3771_MT6580_V1.0.06_181210.zip,1.12 GB,https://drive.google.com/file/d/1EOZnduHl7UyepQZKXvBRHG8hJ49WD6H9/view
Prestigio Wize 3G PMT4227,Prestigio_Wize_3G_PMT4227_RU_191017_SPD.zip,796 MB,https://drive.google.com/file/d/1TOg_k_oDr1eI_sIUnS7v9iShE7q7P5Xx/view
Prestigio Q Pro 4G PMT4238,Prestigio_Q_Pro_4G_PMT4238_EEA_V2_211117_SPD.zip,1.42 GB,https://drive.google.com/file/d/12M4ErJojBbANk6_MdCt0la6hXR4Yqb-w/view
Prestigio Muze G3 PSP3511 Duo,Prestigio_Muze_G3_PSP3511_Duo_V1.0.05_171023_OTA.zip,1 GB,https://drive.google.com/file/d/16BmUuox1unn0zCQv5jFzPckZqgQqjntm/view
Prestigio Wize O3 PSP3458 Duo,Prestigio_Wize_O3_PSP3458_Duo_1.0.03_160518_SPD.zip,727 MB,https://drive.google.com/file/d/1_xA1SsoydGA1h5ZBGd88k_vFvi7pzVsO/view
Prestigio Muze K3 LTE,Prestigio_Muze_K3_LTE_MT6739_RU_150522.zip,697 MB,https://drive.google.com/file/d/1DKGJRLomfUfxXiLPvV5EfFtJx9iFZUm1/view
Prestigio Smartkids PMT3997,Prestigio_Smartkids_PMT3997_RU_V1.0.06_190617_RFT.zip,781 MB,https://drive.google.com/file/d/11i7rzpY11WQsHWcomeu1FBI3mq2IbPPH/view
Prestigio PSP3406 Duo,Prestigio_PSP3406_Duo_V1.0.07_20181018_SPD.zip,745 MB,https://drive.google.com/file/d/1DQgWhiSehtgS7cnXwXCAPIjXmSIp6mrF/view
Prestigio Grace 7788 4G PMT7788,Prestigio_Grace_7788_4G_PMT7788_MT6735_1.0.04_180925.zip,1 GB,https://drive.google.com/file/d/1ssbIrkveP11d09pdeYD4BdudzuFkORBe/view
Prestigio Grace 7781 4G,Prestigio_Grace_7781_4G_MT7781_V2_201903_8.1.zip,1 GB,https://drive.google.com/file/d/1PD67151OxrPRmDQ-wqtnmZhSrSgxXuhX/view
Prestigio SmartKids UP 10.1 PMT3104,Prestigio_SmartKids_UP_10.1_PMT3104_RU_Rev1_V1.0.02_210406_RFT.zip,1.68 GB,https://drive.google.com/file/d/1it2uY007tuwzKO57mC3CWUliPav047TF/view
