Model,File Name,File Size,Download Link
QMobile E3 Dual,QMobile_E3_Dual_MT6735_MP_9_25_170926_7.0.zip,1.63 GB,https://drive.google.com/file/d/15zTm0p3D6W2aHnnYVq6-IfruZureDtLR/view
Qmobile GLi,Qmobile_GLi_SP7731E_171019_8.1.0_MIRA.zip,788 MB,https://drive.google.com/file/d/1rNgi8C-5Cghvp3fZ79JKa-U7VeWN0t2l/view
Qmobile V20 Pro,Qmobile_V20_Pro_MT6580_V1.0.6_09152019_6.0.zip,1 GB,https://drive.google.com/file/d/1bGt9SxQKu_A76uZCn9WHeBiAr4VD1Ws8/view
QMobile Phantom P2,QMobile_Phantom_P2_MT6580_V1.0_190328_6.0.zip,858 MB,https://drive.google.com/file/d/141Ys1cHx_-W5-1urkmEO1X0h8qgO58aQ/view
QMobile LT900 Pro,QMobile_LT900_Pro_SC8830_V1.0_190819_8.1_MIRA.zip,674 MB,https://drive.google.com/file/d/1AXApYOxY7iV3meG-uQqA2CcYhQtrvjus/view
QMobile T2,QMobile_T2_SP7715GA_130915_4.4.2_MIRA.zip,243 MB,https://drive.google.com/file/d/1j-Vg5TO6lgj5Hclz5mFFd5n2lVfHhPxI/view
Qmobile View,Qmobile_View_MT6580_V01_201211_6.0.zip,852 MB,https://drive.google.com/file/d/1xO3pt3kJFpB6i41N5QW4FvrnlcXwpBCD/view
QMobile J1,QMobile_J1_MT6737M_050617_7.0.zip,1.49 GB,https://drive.google.com/file/d/1w5nkvbZjY4M_39SUK_LbiSzfcIvM4EZN/view
Qmobile Fancy 7,Qmobile_Fancy_7_MT6580_100419_6.0.zip,851 MB,https://drive.google.com/file/d/1cIhDf-hu-oAL6kbz9tyRUIHVUrtw6JLO/view
Qmobile C200,Qmobile_C200_MT6260_V9_MIRA.zip,3.4 MB,https://androiddatahost.com/gfjrd
Qmobile E70,Qmobile_E70_MT6260_MIRA.zip,6 MB,https://androiddatahost.com/hjtch
Qmobile E875,Qmobile_E875_MT6260_MIRA.zip,11 MB,https://androiddatahost.com/hgfdt
Qmobile M80,Qmobile_M80_MT6260_V1_F10_MIRA.zip,3.3 MB,https://androiddatahost.com/hjrtb
Qmobile Q120,Qmobile_Q120_MT6260_PK_05_06_MIRA.zip,3 MB,https://androiddatahost.com/gtyir
Qmobile R850,Qmobile_R850_MT6260_V3_MIRA.zip,6.20 MB,https://androiddatahost.com/yujds
QMobile QTab V7 Pro,QMobile_QTab_V7_Pro_MT6580_V14_270420.zip,1.12 GB,https://drive.google.com/file/d/1YdUBWezQwErUd6gc9k6jWAB6ptLOqo00/view
QMobile QSmart Hot 5,QMobile_QSmart_Hot_5_MT6763_MP_0804_180610_9.0.zip,1.52 GB,https://drive.google.com/file/d/1Xyjl5PgYlDnba3KWuTW8s21qJV8WpjtZ/view
QMobile QTab Q800,QMobile_QTab_Q800_MT6582_071014.zip,601 MB,https://drive.google.com/file/d/18Bh3aks3qjHZKlCKwDjSOuaiuCknWJ9D/view
Qmobile XLi,Qmobile_XLi_SP7731E_171019_8.1.0.zip,724 MB,https://drive.google.com/file/d/1DUBSC2acmNJI6nzngnA5d7lMj8eq7-KE/view
QMobile QSmart Hot 1,QMobile_QSmart_Hot_1_MT6739_V07_110121_10.zip,1.39 GB,https://drive.google.com/file/d/1aPhKcukIehygLrgELCDcecQSe7mwEsFX/view
