Model,File Name,File Size,Download Link
Samsung SM-X520,SM-X520_X520XXS4AYG5_X520OJM4AYG5_ILO_4file.zip,9.15 GB,https://drive.google.com/file/d/1uhdRqdulrtEp4YQwlFOfqe_yNN1lBQr1/view?usp=drive_link
Samsung SM-X526C,SM-X526C_X526CZCS4AYH2_X526CCHC4AYH2_CHC_4file.zip,8.12 GB,https://drive.google.com/file/d/1-XN1Wgck0WSBHWN6LixDnc7FuO0erIxL/view?usp=sharing
Samsung SM-X616N,SM-X616N_X616NKOS8CYG1_X616NKOO8CYG1_KOO_4file.zip,7.22 GB,https://drive.google.com/file/d/1sk4VKvu0C3NCyttai6Id3pEdEI2EX53j/view?usp=sharing
Samsung SM-X620,SM-X620_X620XXS4AYG5_X620OXM4AYG5_CAU_4file.zip,10.07 GB,https://drive.google.com/file/d/1GLF0Cd10HXW-otQSqMJp6V3XkuB_FMJI/view?usp=sharing
Samsung SM-X626B,SM-X626B_X626BXXS4AYH2_X626BOJM4AYH2_ACR_4file.zip,9.22 GB,https://drive.google.com/file/d/1VLLRS0nRnwc6qSJnSNUBMhyQ6qaeRvgl/view?usp=sharing
Samsung SM-A266U1,SM-A266U1_A266U1UES4AYH1_A266U1OYM4AYH1_ACG_4file.zip,7.05 GB,https://drive.google.com/file/d/1VRLeh9VGNMLsOuyjLWJVyAy4C600mfw4/view?usp=drive_link
Samsung SM-A176B,SM-A176B_A176BXXS2AYI3_A176BOLM2AYI3_XXV_4file.zip,6.51 GB,https://drive.google.com/file/d/17XiZyUeLxZ8npAf4EmX1YeKTRBldyd2M/view?usp=sharing
Samsung SM-A266U,SM-A266U_A266USQS4AYH1_A266UOYN4AYH1_USC_4file.zip,7 GB,https://drive.google.com/file/d/1Wn8WnUif5_LCzCSsnx6M6E9PLq5gMQDL/view?usp=sharing
Samsung SM-A075F,SM-A075F_A075FXXU1AYG5_A075FOJM1AYG6_ACR_4file.zip,6.2 GB,https://drive.google.com/file/d/1_HeSV-nMiaGImjePsLTRaDuGG4_vdXcf/view?usp=drive_link
Samsung SCG32,SCG32_SCG32KDS1AYH2_SCG32QDI1AYH2_KDI_4file.zip,16 GB,https://drive.google.com/file/d/1nhu0v17J2sbF-qLLmW_xZIBsRWqrIibS/view?usp=sharing
Samsung SCG31,SCG31_SCG31KDS1AYH2_SCG31QDI1AYH2_KDI_4file.zip,15.81 GB,https://drive.google.com/file/d/1sU9bZOX8Zpgnsrgb5nApjvuZwZqwSL_-/view?usp=sharing
Samsung SM-E055F,SM-E055F_E055FXXS5BYG9_E055FODM5BYG9_INS_4File.zip,6.1 GB,https://drive.google.com/file/d/1QAdHBDbUVKNDcR-WFVu23A-_VX7U6xXr/view?usp=drive_link
Samsung SM-F7660,SM-F7660_F7660ZCS2AYGD_F7660CHC2AYGD_CHC_4file.zip,14.04 GB,https://drive.google.com/file/d/1IjR_94Dn7szm7rESZQfzYO3G8lUj7twB/view?usp=drive_link
Samsung SM-F966U1,SM-F966U1_F966U1UES2AYGG_F966U1OWA2AYGG_PCT_4file.zip,16.33 GB,https://drive.google.com/file/d/1Rq0TNi0tYk7FvgOoLV_240glu7HoK4ih/view?usp=drive_link
Samsung SM-F966U,SM-F966U_F966USQS2AYGG_F966UOYN2AYGG_ATT_5file.zip,16.58 GB,https://drive.google.com/file/d/155klMcOJ3JEek16zRLiO0ihMYxLekaV9/view?usp=drive_link
Samsung SM-F966N,SM-F966N_F966NKSU3AYGH_F966NOKR3AYGH_KOO_4file.zip,16.23 GB,https://drive.google.com/file/d/1PWDiGod50akrKCqV0TKunP8aFApX_Bvc/view?usp=drive_link
Samsung SM-F766U1,SM-F766U1_F766U1UES2AYGD_F766U1OWA2AYGD_PCT_4file.zip,15.1 GB,https://drive.google.com/file/d/1RZeptRAWLUiAlDA5map2VZFBHMi_pwD-/view?usp=drive_link
Samsung SM-M156S,SM-M156S_M156SKSS5BYH1_M156SSKC5BYH1_SKC_4file.zip,6.99 GB,https://drive.google.com/file/d/14qeAwNlr-QUYQbkzR_43S7gkxT-QxZSO/view?usp=sharing
Samsung SM-S931B,SM-S931B_S931BXXS5AYF6_S931BOXM5AYF6_ACR_4file.zip,23.63 GB,https://drive.google.com/file/d/1A2fTGHhpzqCrX9-xdUmsyjOCw3eMi7LG/view?usp=drive_link
