Model,File Name,File Size,Download Link
Symphony Z72,Symphony_Z72_HW1_V06_250224_SPD.zip,3.09 GB,https://drive.google.com/file/d/1zCebU5vjMgrFBrx0Ew8VuvnluUP47vL2/view?usp=drive_link
Symphony Max 10,Symphony_Max_10_HW2_V5_3GB_120225_SPD.zip,2.57 GB,https://drive.google.com/file/d/12H7Bb9GZMK6z0-oZivNvOgjcZnKpx3aQ/view?usp=drive_link
Symphony Z70,Symphony_Z70_HW2_V10_081024_SPD.zip,2.71 GB,https://drive.google.com/file/d/1osg0BT1CJ73OW21NM_XzW6H6EZ0FbnIx/view?usp=sharing
Symphony Atom 5,Symphony_Atom_5_HW2_V8_080125_SPD.zip,2.90 GB,https://drive.google.com/file/d/1F-3Awn4i9kpyaGL7mkgEZau94IlduqZx/view?usp=sharing
Symphony G26,Symphony_G26_HW3_V10_240116_SPD.zip,2.18 GB,https://drive.google.com/file/d/1vNhKQ3h3wDI660fPMsSR0159znPUeAZy/view?usp=sharing
Symphony G27,Symphony_G27_HW2_V9_290924_SPD.zip,2.45 GB,https://drive.google.com/file/d/1KHf9dN5PVlpeARywxvO3NPF0LDDEZdgp/view?usp=sharing
Symphony G27 Lite,Symphony_G27_Lite_HW1_V11_290924_SPD.zip,1.98 GB,https://drive.google.com/file/d/1W1GBONjmCj1ntyE1JYNCaLITIXvCdoMU/view?usp=sharing
Symphony Helio 40,Symphony_Helio_40_MT6768_HW1_V14_130225.zip,2.50 GB,https://drive.google.com/file/d/1vAbnQeC0RZFI_8CkJeqXGr2CPPhVR0G_/view?usp=sharing
Symphony Helio 50,Symphony_Helio_50_MT6768_HW1_V16_241106.zip,2.75 GB,https://drive.google.com/file/d/1-TZp10p0vFwzXeh4uV_TudV_vRH8w57n/view?usp=sharing
Symphony Helio 80,Symphony_Helio_80_MT6789_HW1_V12_151123_MXML.zip,2.90 GB,https://drive.google.com/file/d/1_JQz6UsH3M0VcB7SvaLkxpXbpOOPvahw/view?usp=sharing
Symphony Helio 90,Symphony_Helio_90_MT6789_HW1_V7_021124_MXML.zip,3.60 GB,https://drive.google.com/file/d/1uRHaop8Xo8DLP-cIdipQNhmEjfkLMEk0/view?usp=sharing
Symphony Helio 100,Symphony_Helio_100_MT6789_HW1_V7_170225_MXML.zip,3.64 GB,https://drive.google.com/file/d/1m5AhFE6oCaFXPVz_5y96piDi1Ys4vUZL/view?usp=sharing
