Model,File Name,File Size,Download Link
Fairphone 6,Fairphone_6_15.91.0_VS15_250606_QFIL.zip,3.07 GB,https://drive.google.com/file/d/1G16b6yZtlTmNSZPhLCLtV6wqySs8vvJz/view?usp=drive_link
Artline KM3,Artline_KM3_V1_190320_9.0_Amlo_OTA.zip,614.9 MB,https://drive.google.com/file/d/10DwNUqjPU2CJktVVxCSxCRocWN8EHlNT/view?usp=drive_link
Junsun 8227L,Junsun_8227L_UI03_V7_20230717.zip,1013 MB,https://drive.google.com/file/d/1EdIX62yJyqEU0WZmRwet4UGII7gHDhcV/view?usp=sharing
AGM G2 Guardian,AGM_G2_Guardian_EEA_N2060.6.04.03.EU_20230823_MIRA.zip,2.55 GB,https://drive.google.com/file/d/1n4iITbV6btK3TvG21JTWwgDdU_mI4q1_/view?usp=sharing
AGM Pad P1,AGM_Pad_P1_MT6789_EU_SW_0818_V3.04_230818.zip,2.44 GB,https://drive.google.com/file/d/1eDkZm2xQWvaW6Ghej10aydS6YAkubqO1/view?usp=sharing
Vimoq P40 P662LO,Vimoq_P40_P662LO_V99_230718_SPD.zip,3.71 GB,https://drive.google.com/file/d/1fxY_AFUqym_Ynas1JMsS4m8q5Fg6MRrB/view
Videostrong Yoka KB2 Pro,Videostrong_Yoka_KB2_Pro_V0213_120817_OTA.zip,785 MB,https://drive.google.com/file/d/1CwLdl6nTfnOf-yxcC3iO5ojqhyi2Lu85/view
Videostrong Yoka KB2,Videostrong_Yoka_KB2_V0928_171102_OTA.zip,986 MB,https://drive.google.com/file/d/1s-ToyI7APz8d-5bjep_cDTuJuMFQJU4j/view
T98 Mini,T98_Mini_RK3318_201124_10_RBT.zip,1.12 GB,https://drive.google.com/file/d/1gFUnzoicBimN7BaVds4zXPxkXVw_MtJv/view
AGM T90,AGM_T90_MSM8976.LA.1.2.1_EU_20180423_QPST.zip,1.53 GB,https://drive.google.com/file/d/1CmjeO-qufcb228L4h_bAaqb7yTzjaR8C/view
7Step Aqua,7_Step_Aqua_MT6580_20170713.zip,531 MB,https://drive.google.com/file/d/1Gva0o5iyz967YPFGxLT-uRMxGypGONv1/view
Innovatech Amazing A32,Innovatech_Amazing_A32_MT6737M_V1.6_180913_7.0.zip,1.10 GB,https://drive.google.com/file/d/1lDweIPjdGQtRMDzRs_6U2tNDX-g662EJ/view
TopDevice Tablet A10 TDT4541 4G,TopDevice_Tablet_A10_TDT4541_4G_241019_SPD.zip,3.02 GB,https://drive.google.com/file/d/1zTl9m5EhnRreOuFGdm1uK732j0p7DtOz/view
Boxput Lemon TV Mini,Boxput_Lemon_TV_Mini_H618_V12.1.1.88_240821_LS.zip,1 GB,https://drive.google.com/file/d/1y4TQ9VGlOnsvV6jRNPA-Q8TdKdjph4E3/view
Jsmax Mid-713D,Jsmax_Mid-713D_RBT.zip,335 MB,https://drive.google.com/file/d/1egWbMMG1aYngv4OALg6FCF4502L5Ksix/view
Q96 Max,Q96_Max_220809_OTA_11.zip,607 MB,https://drive.google.com/file/d/1nTpTBHsbkMyDUI2TxneADMEzQYnn-hxI/view
Inovalley GSM50,Inovalley_GSM50_MT6572_260718_4.4.2.zip,343 MB,https://drive.google.com/file/d/1bVwG3rb62pGJ8iVOjtWevbyDK6tJe6Ea/view
iConz Z4 WiFi,iConz_Z4_WiFi_MT8163_V01_20170622_6.0.zip,610 MB,https://drive.google.com/file/d/16cLLkjlQFvbkn-vonbvZIoddeCMmHkuR/view
Likuid Max 5.0,Likuid_Max_5.0_MT6572_V2.2_20151231_4.4.2.zip,504 MB,https://drive.google.com/file/d/1F7_YjcJ0oku-KO5zjNQHKdoxY9q3zb5p/view
Likuid Q45,Likuid_Q45_MT6572_20140626_4.2.2.zip,359 MB,https://drive.google.com/file/d/1HPD3VRprOi2aO7lGA-2FBtuKYUBUzm1i/view
Likuid Q47 Bleyd II,Likuid_Q47_Bleyd_II_MT6582_20150330_4.4.2.zip,451 MB,https://drive.google.com/file/d/1APb110b0AISGan0hqgwczE2yUHcMyaRM/view
Likuid Zinco,Likuid_Zinco_MT6570_20170601.zip,935 MB,https://drive.google.com/file/d/1GT5z9ZfQIAhfxtmbfGyGIOmNO0O0wXiR/view
Insys AC7-DJ02,Insys_AC7-DJ02_MT6580_V1.02_20170919_6.0.zip,663 MB,https://drive.google.com/file/d/199l1D00hDP5UDRZtt3m5_90N7EiE9TqG/view
Fairphone 2,Fairphone_2_20170305_5.1_CMD.zip,598 MB,https://drive.google.com/file/d/1X87CzfCQ19Td3RFgNSWSbzf9bOkqfL1b/view
Felux X Pro,Felux_X_Pro_SP9863A_V1.03_15102021_11_SPD.zip,1.88 GB,https://drive.google.com/file/d/1St14GGmGGu7LLaIGu19FkKmoVdekH0aA/view
FairPhone 3,FairPhone_3_MSM8953_A.0134_20211116_10_QPST.zip,3 GB,https://drive.google.com/file/d/1RHn3p3XyvkTDgj1qNxjoHusPb_gz0JuW/view
DW Q8C1,DW_Q8C1_MT6582_V1.0.3_220722_12.zip,752 MB,https://drive.google.com/file/d/10Ze_2Hgq-Mz2W1FsGlrEJ0ZIfqU9Y_A5/view
Tagtech TAG-Tab III,Tagtech_TAG-Tab_III_MT6771_200925_10.zip,1.14 GB,https://drive.google.com/file/d/1C1OcNrlww0DV1Nf80Al4H-_YE3RA_CDY/view
