Model,File Name,File Size,Download Link
Vega V1,Vega_V1_MT6580_01062020_9.0.zip,859 MB,https://drive.google.com/file/d/1xNosIA_DdbgmbHKVf3H8tDbmoPNL8X-C/view
Vega 7124H,Vega_7124H_131122_4.2.2_PS.zip,360 MB,https://drive.google.com/file/d/1zN3qma2SS-OLlPHI7aoH7nwQZxWQqQTT/view
Vega Tab 77 K706,Vega_Tab_77_K706_MT6580_V10_060916_5.1.zip,724 MB,https://drive.google.com/file/d/1v95aykBcrU0NMINmSyZt75PzKfRy82S0/view
Vega CX10,Vega_CX10_151030_5.1.1_LS.zip,406 MB,https://drive.google.com/file/d/12SlVZKNKvsSlPUBn1txs6xDBoLR06iw4/view
Vega V5,Vega_V5_MT6572_210317_9.0.zip,342 MB,https://drive.google.com/file/d/1q6qBHNAwIwsz9GoA49bbliV32SARZW3N/view
Vega V6,Vega_V6_MT6572_210323_4.4.2.zip,347 MB,https://drive.google.com/file/d/15o1OuCSpC4fkAoLV22ZiFRFCch8W9U6_/view
Vega V2,Vega_V2_MT6572_121119_9.0.zip,344 MB,https://drive.google.com/file/d/1pnG0Xcc-gu7y8eBU4q2tm_lpN6JT7Sdz/view
Vega V1,Vega_V1_MT6580_01062020_9.0.zip,859 MB,https://drive.google.com/file/d/1xNosIA_DdbgmbHKVf3H8tDbmoPNL8X-C/view
Vega 7124H,Vega_7124H_131122_4.2.2_PS.zip,360 MB,https://drive.google.com/file/d/1zN3qma2SS-OLlPHI7aoH7nwQZxWQqQTT/view
Vega Tab 77 K706,Vega_Tab_77_K706_MT6580_V10_060916_5.1.zip,724 MB,https://drive.google.com/file/d/1v95aykBcrU0NMINmSyZt75PzKfRy82S0/view
Vega CX10,Vega_CX10_151030_5.1.1_LS.zip,406 MB,https://drive.google.com/file/d/12SlVZKNKvsSlPUBn1txs6xDBoLR06iw4/view
Vega V5,Vega_V5_MT6572_210317_9.0.zip,342 MB,https://drive.google.com/file/d/1q6qBHNAwIwsz9GoA49bbliV32SARZW3N/view
Vega V6,Vega_V6_MT6572_210323_4.4.2.zip,347 MB,https://drive.google.com/file/d/15o1OuCSpC4fkAoLV22ZiFRFCch8W9U6_/view
Vega V2,Vega_V2_MT6572_121119_9.0.zip,344 MB,https://drive.google.com/file/d/1pnG0Xcc-gu7y8eBU4q2tm_lpN6JT7Sdz/view
