Model,File Name,File Size,Download Link
Vertex Lion DC,Vertex_Lion_DC_MT6580_ZT.HW1.R1M.V21_12092020_8.1.0.zip,786 MB,https://drive.google.com/file/d/1HGzCSmcFaGgc8CVZP76tkWrS3-Qj_eQJ/view
Vertex Impress Tor,Vertex_Impress_Tor_MSM8909_V1.0.0_170407_6.0.1_QPST.zip,1.10 GB,https://drive.google.com/file/d/1Shh2BfI7y_qSh3JuRq4N032rVGVrw69O/view
Vertex Pro P300 4G,Vertex_Pro_P300_4G_MT6739_3_32_V01_191213_9.0.zip,1.42 GB,https://drive.google.com/file/d/1r8LxjujmlTSwspFF_5_hiTYQZ1VgncGV/view
Vertex Impress Sunset 4G,Vertex_Impress_Sunset_4G_MT6739_111018.zip,718 MB,https://www.mediafire.com/file/qmtzl5gxbjpe6ks/Vertex_Impress_Sunset_4G_MT6739_111018.zip/file
Vertex Impress Rosso,Vertex_Impress_Rosso_MT6739_121018.zip,718 MB,https://www.mediafire.com/file/ol32ujhfm0b6535/Vertex_Impress_Rosso_MT6739_121018.zip/file
Vertex Impress Sun,Vertex_Impress_Sun_MT6737M_HW1_R1_V07_171028.zip,1 GB,https://drive.google.com/file/d/1TMMPIncPBiOs_cPDsjMXwO6gkmE2imB5/view
Vertex Impress Dune,Vertex_Impress_Dune_MT6737M_HW1_R1_V04_070317.zip,850 MB,https://drive.google.com/file/d/16zKkNuULXCwZT1eDVz-X2FH4H3F8uCEb/view
Vertex Impress Zeon 4G,Vertex_Impress_Zeon_4G_MT6739_V06_101118.zip,718 MB,https://drive.google.com/file/d/1kXfOx0FNm6LXVXQVnBZ055HyqqQVBwvj/view
Vertex Impress Zeon 3G,Vertex_Impress_Zeon_3G_MT6580_HV_HW1_R1_V07_050918.zip,751 MB,https://drive.google.com/file/d/1Yq7YUTS7sz0wYMhxrzsKP6KlHKLNCaAL/view
Vertex Tiger,Vertex_Tiger_MT6737M_HW1_R1_V20_180614.zip,1.1 GB,https://drive.google.com/file/d/15-HJHLDit4sj8M6T5PZ7Cwvugigi89ou/view
Vertex Tab 4G 10-1,Vertex_Tab_4G_10-1_MT6737M_R07_20180202.zip,1 GB,https://drive.google.com/file/d/1UG74abZBNTdlaxurZ1NGJptbUuuO8Nkx/view
Vertex Tab 4G 8-1,Vertex_Tab_4G_8-1_MT6737M_V07_20180201.zip,1.1 GB,https://drive.google.com/file/d/1GDdwDx38Jvj2YI-cDFI4mzQSrl0gxbsk/view
Vertex Tab 3G 7-2,Vertex_Tab_3G_7-2_V13_20190321_SPD.zip,1.2 GB,https://drive.google.com/file/d/1CopjjUWUKdfClp05QXgKpOBcac0Bq4IL/view
Vertex Tab 3G 7-1,Vertex_Tab_3G_7-1_MT6580_FW_20180310.zip,1015 MB,https://drive.google.com/file/d/1Q0yXh6jGQqNNBSjBmT5k5vmx-LmlnwIU/view
Vertex Impress Wolf,Vertex_Impress_Wolf_HW1_R1M_V12_20181120_SPD.zip,1 GB,https://drive.google.com/file/d/1RIYArgf-WArulPhhANnE5Wuun7dP8Gs7/view
Vertex Impress Vira,Vertex_Impress_Vira_MT6739_BA_HW1_R1M_V07_181030.zip,1.3 GB,https://drive.google.com/file/d/1IDFgopB_XZ_fnQf_JtFlC-Du0HcGiz2X/view
Vertex Impress Vega,Vertex_Impress_Vega_MT6737M_HW1_R01_V03_20190527.zip,1.2 GB,https://drive.google.com/file/d/1YLTNvVqF1SNJzvFoyRQ2c9vqjM7PRrlq/view
Vertex Impress Sunset NFC,Vertex_Impress_Sunset_NFC_MT6739_SH_HW1M_R1_V08_101118.zip,718 MB,https://drive.google.com/file/d/1z_hXd9GmBAZ8F0VnmgX7jeMdmgmQXCLr/view
Vertex Impress Stone 4G,Vertex_Impress_Stone_4G_MT6739_SH_HW1M_R1_V05_090419.zip,736 MB,https://drive.google.com/file/d/1PYGHjNWi6ZoglFUxyr51HfHKE963meYK/view
Vertex Impress Spring,Vertex_Impress_Spring_HW1_R1_V12_261118_SPD.zip,1 GB,https://drive.google.com/file/d/1MzQG1zvYa0DfiJwJVhxvkaBSQ7cKfvbo/view
Vertex Impress Reef,Vertex_Impress_Reef_MT6737M_HW1_R1_V07_180906.zip,1 GB,https://drive.google.com/file/d/1iCBLdMO9YezxibI-ZhNnn_aMLmge01mS/view
Vertex Impress Pluto 4G,Vertex_Impress_Pluto_4G_MT6739_SH_HW1M_R1_V08_20180928.zip,696 MB,https://drive.google.com/file/d/10nCCTttzzic-C6k6crA_AbE4RzIWDvlX/view
Vertex Impress Phonic,Vertex_Impress_Phonic_MT6739_HW1_R1_V16_101218.zip,1 GB,https://drive.google.com/file/d/1VWTuzWU4Z6B7K4LwtzPdjYvY_t5EA6tB/view
Vertex Impress Pear,Vertex_Impress_Pear_MT6580_HW1_R1_V12_20180806.zip,1 GB,https://drive.google.com/file/d/19ksAkhBHMIgVpKti7zugRkQoV_zwjirv/view
Vertex Impress New,Vertex_Impress_New_MT6737T_HO_HW1_R1_V09_150918.zip,859 MB,https://drive.google.com/file/d/1RZlt76YW5N-rUKsjwo7JkiIyk-bM73HY/view
Vertex Impress Luck NFC 4G,Vertex_Impress_Luck_NFC_4G_MT6739_BA_HW1_R1M_V07_181123.zip,924 MB,https://drive.google.com/file/d/1kWqhbAH_avJEqJyN1ZHNpzVAM81ADoGN/view
Vertex Impress Lion Dual Cam 3G,Vertex_Impress_Lion_Dual_Cam_3G_MT6580_HW1_R1_V13_251018.zip,1.3 GB,https://drive.google.com/file/d/1kLcKsD0OzT6hxs2Nh-oYS459BBSM-LYm/view
